rhinopithecus_roxellana ENSRROG00000044198
rhinopithecus_bieti ENSRBIG00000039433
piliocolobus_tephrosceles ENSPTEG00000035476
colobus_angolensis_palliatus ENSCANG00000038382
cercocebus_atys ENSCATG00000041509
papio_anubis ENSPANG00000031965
macaca_nemestrina ENSMNEG00000021036
macaca_fascicularis ENSMFAG00000036582
mandrillus_leucophaeus ENSMLEG00000041977
theropithecus_gelada ENSTGEG00000027752
pan_troglodytes ENSPTRG00000052346
pan_paniscus ENSPPAG00000010613
homo_sapiens ENSG00000230601
gorilla_gorilla ENSGGOG00000042957
nomascus_leucogenys ENSNLEG00000032999
saimiri_boliviensis_boliviensis ENSSBOG00000026046
cebus_capucinus_imitator ENSCCAG00000036693
callithrix_jacchus ENSCJAG00000040765
aotus_nancymaae ENSANAG00000030262
carlito_syrichta ENSTSYG00000033586
propithecus_coquereli ENSPCOG00000011736
prolemur_simus ENSPSMG00000012144
castor_canadensis ENSCCNG00000028772
dipodomys_ordii ENSDORG00000027780
chinchilla_lanigera ENSCLAG00000017361
mus_spicilegus ENSMSIG00000031780
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058935
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027061
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026095
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028433
meriones_unguiculatus ENSMUGG00000023535
cricetulus_griseus_crigri_1.0 ENSCGRG00000011000
cricetulus_griseus_crigri-picr ENSCGRG00015013486
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003062
mesocricetus_auratus ENSMAUG00000000204
microtus_ochrogaster ENSMOCG00000021581
peromyscus_maniculatus_bairdii ENSPEMG00000017861
nannospalax_galili ENSNGAG00000012741
equus_asinus_asinus ENSEASG00005022627
equus_caballus ENSECAG00000027986
bison_bison_bison ENSBBBG00000010385
spermophilus_dauricus ENSSDAG00000012702
urocitellus_parryii ENSUPAG00010016096
canis_lupus_familiaris ENSCAFG00000029773
vulpes_vulpes ENSVVUG00000003797
ursus_americanus ENSUAMG00000007197
ursus_maritimus ENSUMAG00000006771
felis_catus ENSFCAG00000043714
panthera_tigris_altaica ENSPTIG00000015586
dasypus_novemcinctus ENSDNOG00000048398
