hippocampus_comes ENSHCOG00000011763
periophthalmus_magnuspinnatus ENSPMGG00000020841
mastacembelus_armatus ENSMAMG00000019649
monopterus_albus ENSMALG00000003542
anabas_testudineus ENSATEG00000017047
gasterosteus_aculeatus ENSGACG00000004737
mola_mola ENSMMOG00000002469
seriola_dumerili ENSSDUG00000001688
seriola_lalandi_dorsalis ENSSLDG00000002088
scophthalmus_maximus ENSSMAG00000009485
amphiprion_ocellaris ENSAOCG00000003400
amphiprion_percula ENSAPEG00000022935
acanthochromis_polyacanthus ENSAPOG00000001247
stegastes_partitus ENSSPAG00000011084
maylandia_zebra ENSMZEG00005008901
astatotilapia_calliptera ENSACLG00000025482
haplochromis_burtoni ENSHBUG00000021403
pundamilia_nyererei ENSPNYG00000018464
neolamprologus_brichardi ENSNBRG00000013000
oreochromis_niloticus ENSONIG00000010011
amphilophus_citrinellus ENSACIG00000008006
xiphophorus_maculatus ENSXMAG00000006142
gambusia_affinis ENSGAFG00000006174
poecilia_formosa ENSPFOG00000017093
poecilia_mexicana ENSPMEG00000012177
poecilia_latipinna ENSPLAG00000005613
poecilia_reticulata ENSPREG00000006512
xiphophorus_couchianus ENSXCOG00000009060
cyprinodon_variegatus ENSCVAG00000017232
fundulus_heteroclitus ENSFHEG00000003972
kryptolebias_marmoratus ENSKMAG00000014934
oryzias_latipes_asm223467v1 ENSORLG00000011879
oryzias_latipes_asm223469v1 ENSORLG00015001083
oryzias_latipes_asm223471v1 ENSORLG00020015983
oryzias_melastigma ENSOMEG00000021333
labrus_bergylta ENSLBEG00000003401
cynoglossus_semilaevis ENSCSEG00000010758
tetraodon_nigroviridis ENSTNIG00000016631
takifugu_rubripes ENSTRUG00000007143
gadus_morhua ENSGMOG00000018313
esox_lucius ENSELUG00000012506
astyanax_mexicanus ENSAMXG00000003499
pygocentrus_nattereri ENSPNAG00000016922
danio_rerio ENSDARG00000013763
paramormyrops_kingsleyae ENSPKIG00000020891
scleropages_formosus ENSSFOG00015005314
seriola_lalandi_dorsalis ENSSLDG00000012621
labrus_bergylta ENSLBEG00000023247
gadus_morhua ENSGMOG00000009195
esox_lucius ENSELUG00000003798
pygocentrus_nattereri ENSPNAG00000005309
astyanax_mexicanus ENSAMXG00000004762
danio_rerio ENSDARG00000041703
lepisosteus_oculatus ENSLOCG00000015682
anas_platyrhynchos_platyrhynchos ENSAPLG00000000581
anser_brachyrhynchus ENSABRG00000018934
gallus_gallus ENSGALG00000008676
meleagris_gallopavo ENSMGAG00000006816
coturnix_japonica ENSCJPG00005004133
numida_meleagris ENSNMEG00000010073
lonchura_striata_domestica ENSLSDG00000014002
taeniopygia_guttata ENSTGUG00000005958
serinus_canaria ENSSCAG00000012207
zonotrichia_albicollis ENSZALG00000006479
junco_hyemalis ENSJHYG00000013944
parus_major ENSPMJG00000004155
cyanistes_caeruleus ENSCCEG00000019003
ficedula_albicollis ENSFALG00000007560
manacus_vitellinus ENSMVIG00005013934
lepidothrix_coronata ENSLCOG00000014779
melopsittacus_undulatus ENSMUNG00000012138
calidris_pygmaea ENSCPGG00000019459
calidris_pugnax ENSCPUG00000002821
apteryx_owenii ENSAOWG00000010600
apteryx_haastii ENSAHAG00000005584
apteryx_rowi ENSARWG00000012673
dromaius_novaehollandiae ENSDNVG00000001154
nothoprocta_perdicaria ENSNPEG00000003044
crocodylus_porosus ENSCPRG00005010096
gopherus_agassizii ENSGAGG00000020328
chelonoidis_abingdonii ENSCABG00000007897
chrysemys_picta_bellii ENSCPBG00000023436
pogona_vitticeps ENSPVIG00000009049
anolis_carolinensis ENSACAG00000013887
salvator_merianae ENSSMRG00000023501
sphenodon_punctatus ENSSPUG00000009614
notamacropus_eugenii ENSMEUG00000005787
phascolarctos_cinereus ENSPCIG00000000650
monodelphis_domestica ENSMODG00000005444
myotis_lucifugus ENSMLUG00000012180
pteropus_vampyrus ENSPVAG00000000422
equus_asinus_asinus ENSEASG00005001933
equus_caballus ENSECAG00000014760
ursus_americanus ENSUAMG00000013963
ursus_maritimus ENSUMAG00000024888
ailuropoda_melanoleuca ENSAMEG00000005309
mustela_putorius_furo ENSMPUG00000001305
neovison_vison ENSNVIG00000014503
canis_lupus_dingo ENSCAFG00020027513
canis_lupus_familiaris ENSCAFG00000005479
vulpes_vulpes ENSVVUG00000013194
panthera_pardus ENSPPRG00000003892
panthera_tigris_altaica ENSPTIG00000005432
felis_catus ENSFCAG00000011082
bos_mutus ENSBMUG00000004843
bos_taurus ENSBTAG00000015438
bison_bison_bison ENSBBBG00000010157
capra_hircus ENSCHIG00000022721
ovis_aries ENSOARG00000017736
tursiops_truncatus ENSTTRG00000007292
sus_scrofa ENSSSCG00000024692
sorex_araneus ENSSARG00000005889
erinaceus_europaeus ENSEEUG00000011906
castor_canadensis ENSCCNG00000011305
dipodomys_ordii ENSDORG00000002490
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025296
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027422
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024377
mus_spicilegus ENSMSIG00000021488
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025821
rattus_norvegicus ENSRNOG00000005958
meriones_unguiculatus ENSMUGG00000009902
cricetulus_griseus_crigri_1.0 ENSCGRG00000005046
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023883
cricetulus_griseus_crigri-picr ENSCGRG00015007531
peromyscus_maniculatus_bairdii ENSPEMG00000012715
microtus_ochrogaster ENSMOCG00000010378
nannospalax_galili ENSNGAG00000010319
jaculus_jaculus ENSJJAG00000011577
ictidomys_tridecemlineatus ENSSTOG00000025839
spermophilus_dauricus ENSSDAG00000003777
urocitellus_parryii ENSUPAG00010003789
marmota_marmota_marmota ENSMMMG00000002621
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018289
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007309
fukomys_damarensis ENSFDAG00000010205
chinchilla_lanigera ENSCLAG00000017033
cavia_porcellus ENSCPOG00000022191
oryctolagus_cuniculus ENSOCUG00000021320
ochotona_princeps ENSOPRG00000000979
tupaia_belangeri ENSTBEG00000009613
pan_troglodytes ENSPTRG00000013276
pan_paniscus ENSPPAG00000035464
homo_sapiens ENSG00000125844
gorilla_gorilla ENSGGOG00000009013
pongo_abelii ENSPPYG00000010728
nomascus_leucogenys ENSNLEG00000009692
cercocebus_atys ENSCATG00000043743
mandrillus_leucophaeus ENSMLEG00000031256
theropithecus_gelada ENSTGEG00000017948
papio_anubis ENSPANG00000018776
macaca_fascicularis ENSMFAG00000008658
macaca_mulatta ENSMMUG00000013787
macaca_nemestrina ENSMNEG00000036412
chlorocebus_sabaeus ENSCSAG00000011641
colobus_angolensis_palliatus ENSCANG00000013717
piliocolobus_tephrosceles ENSPTEG00000036432
rhinopithecus_bieti ENSRBIG00000044244
rhinopithecus_roxellana ENSRROG00000028582
saimiri_boliviensis_boliviensis ENSSBOG00000022194
cebus_capucinus_imitator ENSCCAG00000028254
callithrix_jacchus ENSCJAG00000004913
aotus_nancymaae ENSANAG00000031056
carlito_syrichta ENSTSYG00000037036
propithecus_coquereli ENSPCOG00000016164
microcebus_murinus ENSMICG00000013693
prolemur_simus ENSPSMG00000000299
otolemur_garnettii ENSOGAG00000010859
choloepus_hoffmanni ENSCHOG00000002440
dasypus_novemcinctus ENSDNOG00000047811
octodon_degus ENSODEG00000013199
prolemur_simus ENSPSMG00000001868
mesocricetus_auratus ENSMAUG00000020068
loxodonta_africana ENSLAFG00000015681
echinops_telfairi ENSETEG00000006432
procavia_capensis ENSPCAG00000013547
ornithorhynchus_anatinus ENSOANG00000001247
xenopus_tropicalis ENSXETG00000000777
latimeria_chalumnae ENSLACG00000012685
petromyzon_marinus ENSPMAG00000007725
crocodylus_porosus ENSCPRG00005003475
monodelphis_domestica ENSMODG00000027789
labrus_bergylta ENSLBEG00000008721
takifugu_rubripes ENSTRUG00000023209
