cricetulus_griseus_crigri-picr ENSCGRG00015028723
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015646
cricetulus_griseus_crigri_1.0 ENSCGRG00000016297
mesocricetus_auratus ENSMAUG00000016109
peromyscus_maniculatus_bairdii ENSPEMG00000007304
microtus_ochrogaster ENSMOCG00000017436
mus_spicilegus ENSMSIG00000017506
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056870
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014104
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014908
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027347
rattus_norvegicus ENSRNOG00000003242
nannospalax_galili ENSNGAG00000013532
jaculus_jaculus ENSJJAG00000019167
dipodomys_ordii ENSDORG00000016486
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002398
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009593
fukomys_damarensis ENSFDAG00000008501
cavia_porcellus ENSCPOG00000010495
cavia_aperea ENSCAPG00000003265
octodon_degus ENSODEG00000010757
chinchilla_lanigera ENSCLAG00000013693
erinaceus_europaeus ENSEEUG00000002551
spermophilus_dauricus ENSSDAG00000001669
ictidomys_tridecemlineatus ENSSTOG00000026178
urocitellus_parryii ENSUPAG00010023080
marmota_marmota_marmota ENSMMMG00000009002
oryctolagus_cuniculus ENSOCUG00000026935
ochotona_princeps ENSOPRG00000010732
carlito_syrichta ENSTSYG00000036106
carlito_syrichta ENSTSYG00000007612
pan_troglodytes ENSPTRG00000012726
pan_paniscus ENSPPAG00000027271
homo_sapiens ENSG00000144366
gorilla_gorilla ENSGGOG00000022116
nomascus_leucogenys ENSNLEG00000006515
piliocolobus_tephrosceles ENSPTEG00000021235
colobus_angolensis_palliatus ENSCANG00000032454
rhinopithecus_roxellana ENSRROG00000038453
rhinopithecus_bieti ENSRBIG00000037206
papio_anubis ENSPANG00000013330
theropithecus_gelada ENSTGEG00000027531
macaca_fascicularis ENSMFAG00000044122
macaca_nemestrina ENSMNEG00000031414
macaca_mulatta ENSMMUG00000008265
chlorocebus_sabaeus ENSCSAG00000012462
cercocebus_atys ENSCATG00000024065
mandrillus_leucophaeus ENSMLEG00000034208
callithrix_jacchus ENSCJAG00000005197
saimiri_boliviensis_boliviensis ENSSBOG00000024201
cebus_capucinus_imitator ENSCCAG00000036515
aotus_nancymaae ENSANAG00000019231
microcebus_murinus ENSMICG00000016453
prolemur_simus ENSPSMG00000004447
propithecus_coquereli ENSPCOG00000027146
otolemur_garnettii ENSOGAG00000000327
tupaia_belangeri ENSTBEG00000008753
ovis_aries ENSOARG00000016512
capra_hircus ENSCHIG00000021523
bos_mutus ENSBMUG00000022879
bos_taurus ENSBTAG00000007141
bison_bison_bison ENSBBBG00000005891
vicugna_pacos ENSVPAG00000007899
tursiops_truncatus ENSTTRG00000014902
sus_scrofa ENSSSCG00000016033
equus_asinus_asinus ENSEASG00005021296
equus_caballus ENSECAG00000023352
pteropus_vampyrus ENSPVAG00000001214
ursus_maritimus ENSUMAG00000018796
ursus_americanus ENSUAMG00000007610
ailuropoda_melanoleuca ENSAMEG00000011609
neovison_vison ENSNVIG00000002181
mustela_putorius_furo ENSMPUG00000012293
canis_lupus_dingo ENSCAFG00020008550
canis_lupus_familiaris ENSCAFG00000014796
vulpes_vulpes ENSVVUG00000027135
panthera_tigris_altaica ENSPTIG00000015302
panthera_pardus ENSPPRG00000024998
felis_catus ENSFCAG00000024177
sorex_araneus ENSSARG00000004825
dasypus_novemcinctus ENSDNOG00000043936
choloepus_hoffmanni ENSCHOG00000003723
echinops_telfairi ENSETEG00000006370
procavia_capensis ENSPCAG00000013581
loxodonta_africana ENSLAFG00000007132
ornithorhynchus_anatinus ENSOANG00000031823
taeniopygia_guttata ENSTGUG00000011065
lonchura_striata_domestica ENSLSDG00000002044
junco_hyemalis ENSJHYG00000004867
zonotrichia_albicollis ENSZALG00000014587
serinus_canaria ENSSCAG00000004016
ficedula_albicollis ENSFALG00000004480
parus_major ENSPMJG00000008195
cyanistes_caeruleus ENSCCEG00000013692
lepidothrix_coronata ENSLCOG00000012089
manacus_vitellinus ENSMVIG00005014907
melopsittacus_undulatus ENSMUNG00000015359
calidris_pygmaea ENSCPGG00000014296
calidris_pugnax ENSCPUG00000012420
anas_platyrhynchos_platyrhynchos ENSAPLG00000016317
anser_brachyrhynchus ENSABRG00000019292
gallus_gallus ENSGALG00000054944
coturnix_japonica ENSCJPG00005013819
meleagris_gallopavo ENSMGAG00000004654
numida_meleagris ENSNMEG00000018430
apteryx_rowi ENSARWG00000015934
apteryx_haastii ENSAHAG00000015261
apteryx_owenii ENSAOWG00000005080
dromaius_novaehollandiae ENSDNVG00000000003
nothoprocta_perdicaria ENSNPEG00000015058
salvator_merianae ENSSMRG00000019396
notechis_scutatus ENSNSUG00000014243
gopherus_agassizii ENSGAGG00000002366
chelonoidis_abingdonii ENSCABG00000008067
chrysemys_picta_bellii ENSCPBG00000005345
pelodiscus_sinensis ENSPSIG00000008086
crocodylus_porosus ENSCPRG00005012225
anolis_carolinensis ENSACAG00000015515
pogona_vitticeps ENSPVIG00000015103
sphenodon_punctatus ENSSPUG00000016855
latimeria_chalumnae ENSLACG00000002760
xenopus_tropicalis ENSXETG00000010782
notamacropus_eugenii ENSMEUG00000007624
phascolarctos_cinereus ENSPCIG00000015225
sarcophilus_harrisii ENSSHAG00000003109
monodelphis_domestica ENSMODG00000010712
myotis_lucifugus ENSMLUG00000007736
ornithorhynchus_anatinus ENSOANG00000021593
pygocentrus_nattereri ENSPNAG00000022810
astyanax_mexicanus ENSAMXG00000029207
ictalurus_punctatus ENSIPUG00000018114
danio_rerio ENSDARG00000057833
esox_lucius ENSELUG00000002071
scleropages_formosus ENSSFOG00015010372
paramormyrops_kingsleyae ENSPKIG00000019734
pygocentrus_nattereri ENSPNAG00000022465
astyanax_mexicanus ENSAMXG00000035082
ictalurus_punctatus ENSIPUG00000007217
danio_rerio ENSDARG00000001733
scleropages_formosus ENSSFOG00015014580
cynoglossus_semilaevis ENSCSEG00000016945
hippocampus_comes ENSHCOG00000017003
fundulus_heteroclitus ENSFHEG00000013646
cyprinodon_variegatus ENSCVAG00000022087
xiphophorus_couchianus ENSXCOG00000014780
xiphophorus_maculatus ENSXMAG00000007102
gambusia_affinis ENSGAFG00000010353
poecilia_formosa ENSPFOG00000015272
poecilia_latipinna ENSPLAG00000004187
poecilia_mexicana ENSPMEG00000006795
poecilia_reticulata ENSPREG00000020679
kryptolebias_marmoratus ENSKMAG00000000623
oryzias_latipes_asm223467v1 ENSORLG00000014478
