oreochromis_niloticus ENSONIG00000004568
mola_mola ENSMMOG00000005261
poecilia_formosa ENSPFOG00000023690
poecilia_latipinna ENSPLAG00000015624
poecilia_mexicana ENSPMEG00000018221
echinops_telfairi ENSETEG00000014893
choloepus_hoffmanni ENSCHOG00000013689
sorex_araneus ENSSARG00000012564
equus_asinus_asinus ENSEASG00005020854
cricetulus_griseus_crigri_1.0 ENSCGRG00000004827
mus_spicilegus ENSMSIG00000024783
prolemur_simus ENSPSMG00000024831
ochotona_princeps ENSOPRG00000015811
tupaia_belangeri ENSTBEG00000012752
notamacropus_eugenii ENSMEUG00000000335
sphenodon_punctatus ENSSPUG00000015239
