papio_anubis ENSPANG00000034704
mandrillus_leucophaeus ENSMLEG00000039167
macaca_nemestrina ENSMNEG00000035255
rhinopithecus_roxellana ENSRROG00000034966
rhinopithecus_bieti ENSRBIG00000031719
colobus_angolensis_palliatus ENSCANG00000041853
pongo_abelii ENSPPYG00000011632
pan_paniscus ENSPPAG00000027497
pan_troglodytes ENSPTRG00000051013
gorilla_gorilla ENSGGOG00000024706
nomascus_leucogenys ENSNLEG00000032160
saimiri_boliviensis_boliviensis ENSSBOG00000023496
cebus_capucinus_imitator ENSCCAG00000024897
aotus_nancymaae ENSANAG00000022218
tupaia_belangeri ENSTBEG00000003782
sorex_araneus ENSSARG00000003752
erinaceus_europaeus ENSEEUG00000007387
echinops_telfairi ENSETEG00000004061
