theropithecus_gelada ENSTGEG00000017242
papio_anubis ENSPANG00000032262
macaca_fascicularis ENSMFAG00000035939
macaca_mulatta ENSMMUG00000018804
mandrillus_leucophaeus ENSMLEG00000041133
mandrillus_leucophaeus ENSMLEG00000042759
cercocebus_atys ENSCATG00000014658
rhinopithecus_roxellana ENSRROG00000031730
gorilla_gorilla ENSGGOG00000043697
pan_troglodytes ENSPTRG00000042767
cebus_capucinus_imitator ENSCCAG00000033245
aotus_nancymaae ENSANAG00000027938
cricetulus_griseus_crigri-picr ENSCGRG00015001738
equus_caballus ENSECAG00000037590
