mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021554
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000107002
mus_spicilegus ENSMSIG00000002406
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020658
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016362
meriones_unguiculatus ENSMUGG00000007697
peromyscus_maniculatus_bairdii ENSPEMG00000031154
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009993
nannospalax_galili ENSNGAG00000018559
castor_canadensis ENSCCNG00000030879
urocitellus_parryii ENSUPAG00010021106
ictidomys_tridecemlineatus ENSSTOG00000031536
marmota_marmota_marmota ENSMMMG00000010243
chinchilla_lanigera ENSCLAG00000018103
octodon_degus ENSODEG00000020100
cavia_porcellus ENSCPOG00000030439
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021273
dipodomys_ordii ENSDORG00000029286
oryctolagus_cuniculus ENSOCUG00000029069
ochotona_princeps ENSOPRG00000006951
pan_paniscus ENSPPAG00000013217
pan_troglodytes ENSPTRG00000043568
gorilla_gorilla ENSGGOG00000040018
homo_sapiens ENSG00000270170
pongo_abelii ENSPPYG00000014450
nomascus_leucogenys ENSNLEG00000032636
rhinopithecus_bieti ENSRBIG00000029452
rhinopithecus_roxellana ENSRROG00000027283
piliocolobus_tephrosceles ENSPTEG00000001768
macaca_mulatta ENSMMUG00000007826
macaca_fascicularis ENSMFAG00000022884
macaca_nemestrina ENSMNEG00000021909
cercocebus_atys ENSCATG00000020477
mandrillus_leucophaeus ENSMLEG00000024835
theropithecus_gelada ENSTGEG00000026748
papio_anubis ENSPANG00000030459
callithrix_jacchus ENSCJAG00000042375
prolemur_simus ENSPSMG00000007413
microcebus_murinus ENSMICG00000049349
bos_taurus ENSBTAG00000048390
bison_bison_bison ENSBBBG00000010637
capra_hircus ENSCHIG00000012351
ovis_aries ENSOARG00000002122
sus_scrofa ENSSSCG00000038542
myotis_lucifugus ENSMLUG00000017502
sorex_araneus ENSSARG00000014295
equus_caballus ENSECAG00000035871
equus_asinus_asinus ENSEASG00005006717
ursus_americanus ENSUAMG00000023880
neovison_vison ENSNVIG00000007883
canis_lupus_dingo ENSCAFG00020003009
panthera_pardus ENSPPRG00000015777
felis_catus ENSFCAG00000039793
phascolarctos_cinereus ENSPCIG00000005123
danio_rerio ENSDARG00000104726
pygocentrus_nattereri ENSPNAG00000011341
oryzias_latipes_asm223469v1 ENSORLG00015004423
oryzias_latipes_asm223467v1 ENSORLG00000024594
oryzias_melastigma ENSOMEG00000010453
scophthalmus_maximus ENSSMAG00000020071
haplochromis_burtoni ENSHBUG00000003870
astatotilapia_calliptera ENSACLG00000026800
maylandia_zebra ENSMZEG00005004772
pundamilia_nyererei ENSPNYG00000015665
neolamprologus_brichardi ENSNBRG00000019929
amphilophus_citrinellus ENSACIG00000010060
poecilia_mexicana ENSPMEG00000018317
poecilia_latipinna ENSPLAG00000022429
poecilia_formosa ENSPFOG00000020618
poecilia_reticulata ENSPREG00000021628
fundulus_heteroclitus ENSFHEG00000002289
cyprinodon_variegatus ENSCVAG00000012803
xiphophorus_maculatus ENSXMAG00000020195
xiphophorus_couchianus ENSXCOG00000010977
gambusia_affinis ENSGAFG00000010202
kryptolebias_marmoratus ENSKMAG00000009736
cynoglossus_semilaevis ENSCSEG00000019317
mastacembelus_armatus ENSMAMG00000011307
monopterus_albus ENSMALG00000016064
anabas_testudineus ENSATEG00000021638
amphiprion_percula ENSAPEG00000013278
amphiprion_ocellaris ENSAOCG00000012465
acanthochromis_polyacanthus ENSAPOG00000016276
seriola_lalandi_dorsalis ENSSLDG00000020427
seriola_lalandi_dorsalis ENSSLDG00000005940
seriola_lalandi_dorsalis ENSSLDG00000024129
seriola_lalandi_dorsalis ENSSLDG00000005320
seriola_dumerili ENSSDUG00000015417
mola_mola ENSMMOG00000004231
takifugu_rubripes ENSTRUG00000019538
gasterosteus_aculeatus ENSGACG00000006237
hippocampus_comes ENSHCOG00000017411
periophthalmus_magnuspinnatus ENSPMGG00000016078
seriola_lalandi_dorsalis ENSSLDG00000010039
seriola_dumerili ENSSDUG00000017233
paramormyrops_kingsleyae ENSPKIG00000025200
lepisosteus_oculatus ENSLOCG00000017372
latimeria_chalumnae ENSLACG00000017473
ictalurus_punctatus ENSIPUG00000011982
drosophila_melanogaster FBgn0260392
