monopterus_albus ENSMALG00000003293
mastacembelus_armatus ENSMAMG00000004402
anabas_testudineus ENSATEG00000019557
xiphophorus_maculatus ENSXMAG00000029492
gambusia_affinis ENSGAFG00000002935
poecilia_formosa ENSPFOG00000008564
poecilia_mexicana ENSPMEG00000021596
poecilia_latipinna ENSPLAG00000004724
fundulus_heteroclitus ENSFHEG00000022709
cyprinodon_variegatus ENSCVAG00000007543
kryptolebias_marmoratus ENSKMAG00000004452
oryzias_latipes_asm223469v1 ENSORLG00015013928
oryzias_latipes_asm223467v1 ENSORLG00000011352
oryzias_melastigma ENSOMEG00000000144
amphiprion_ocellaris ENSAOCG00000007527
amphiprion_percula ENSAPEG00000016772
acanthochromis_polyacanthus ENSAPOG00000008407
stegastes_partitus ENSSPAG00000007826
astatotilapia_calliptera ENSACLG00000010933
maylandia_zebra ENSMZEG00005008071
pundamilia_nyererei ENSPNYG00000019010
haplochromis_burtoni ENSHBUG00000009636
neolamprologus_brichardi ENSNBRG00000012201
gasterosteus_aculeatus ENSGACG00000020003
seriola_dumerili ENSSDUG00000018246
seriola_lalandi_dorsalis ENSSLDG00000016917
cynoglossus_semilaevis ENSCSEG00000013828
esox_lucius ENSELUG00000020368
paramormyrops_kingsleyae ENSPKIG00000024853
paramormyrops_kingsleyae ENSPKIG00000018752
