fundulus_heteroclitus ENSFHEG00000015778
cyprinodon_variegatus ENSCVAG00000007940
poecilia_formosa ENSPFOG00000007932
poecilia_mexicana ENSPMEG00000013698
poecilia_latipinna ENSPLAG00000008736
poecilia_reticulata ENSPREG00000005338
xiphophorus_maculatus ENSXMAG00000026215
xiphophorus_couchianus ENSXCOG00000007567
gambusia_affinis ENSGAFG00000011676
gasterosteus_aculeatus ENSGACG00000016155
anabas_testudineus ENSATEG00000021451
labrus_bergylta ENSLBEG00000010131
seriola_lalandi_dorsalis ENSSLDG00000020086
seriola_dumerili ENSSDUG00000008741
mastacembelus_armatus ENSMAMG00000001499
monopterus_albus ENSMALG00000007193
scophthalmus_maximus ENSSMAG00000009387
cynoglossus_semilaevis ENSCSEG00000010198
tetraodon_nigroviridis ENSTNIG00000006941
takifugu_rubripes ENSTRUG00000011784
mola_mola ENSMMOG00000017136
astatotilapia_calliptera ENSACLG00000012613
maylandia_zebra ENSMZEG00005009783
haplochromis_burtoni ENSHBUG00000014435
pundamilia_nyererei ENSPNYG00000020496
neolamprologus_brichardi ENSNBRG00000005749
oreochromis_niloticus ENSONIG00000018602
amphilophus_citrinellus ENSACIG00000019195
amphiprion_ocellaris ENSAOCG00000024720
amphiprion_percula ENSAPEG00000002865
acanthochromis_polyacanthus ENSAPOG00000016267
stegastes_partitus ENSSPAG00000003656
hippocampus_comes ENSHCOG00000004697
periophthalmus_magnuspinnatus ENSPMGG00000009178
esox_lucius ENSELUG00000004790
pogona_vitticeps ENSPVIG00000014931
anolis_carolinensis ENSACAG00000011308
notechis_scutatus ENSNSUG00000003455
salvator_merianae ENSSMRG00000019961
sphenodon_punctatus ENSSPUG00000015014
gopherus_agassizii ENSGAGG00000009841
chelonoidis_abingdonii ENSCABG00000002729
chrysemys_picta_bellii ENSCPBG00000001257
pelodiscus_sinensis ENSPSIG00000007842
crocodylus_porosus ENSCPRG00005011304
latimeria_chalumnae ENSLACG00000012948
xenopus_tropicalis ENSXETG00000006790
scleropages_formosus ENSSFOG00015012485
paramormyrops_kingsleyae ENSPKIG00000018906
pygocentrus_nattereri ENSPNAG00000017335
astyanax_mexicanus ENSAMXG00000036810
ictalurus_punctatus ENSIPUG00000013268
danio_rerio ENSDARG00000103545
gadus_morhua ENSGMOG00000011795
lepisosteus_oculatus ENSLOCG00000006973
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018920
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011534
fukomys_damarensis ENSFDAG00000015348
cavia_porcellus ENSCPOG00000014156
cavia_aperea ENSCAPG00000014052
octodon_degus ENSODEG00000006520
castor_canadensis ENSCCNG00000009147
urocitellus_parryii ENSUPAG00010013722
spermophilus_dauricus ENSSDAG00000018393
marmota_marmota_marmota ENSMMMG00000012298
peromyscus_maniculatus_bairdii ENSPEMG00000031134
microtus_ochrogaster ENSMOCG00000016376
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018434
cricetulus_griseus_crigri-picr ENSCGRG00015003115
cricetulus_griseus_crigri_1.0 ENSCGRG00000008061
mus_spicilegus ENSMSIG00000009866
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027184
meriones_unguiculatus ENSMUGG00000004746
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026215
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028523
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028551
rattus_norvegicus ENSRNOG00000023100
mesocricetus_auratus ENSMAUG00000008063
nannospalax_galili ENSNGAG00000010091
otolemur_garnettii ENSOGAG00000006625
pteropus_vampyrus ENSPVAG00000017648
myotis_lucifugus ENSMLUG00000000528
bos_mutus ENSBMUG00000010909
bos_taurus ENSBTAG00000011097
bison_bison_bison ENSBBBG00000001674
ovis_aries ENSOARG00000010702
capra_hircus ENSCHIG00000025637
tursiops_truncatus ENSTTRG00000009420
sus_scrofa ENSSSCG00000031352
vicugna_pacos ENSVPAG00000000915
ursus_maritimus ENSUMAG00000006901
ursus_americanus ENSUAMG00000020398
ailuropoda_melanoleuca ENSAMEG00000004714
neovison_vison ENSNVIG00000010848
mustela_putorius_furo ENSMPUG00000000770
canis_lupus_dingo ENSCAFG00020020540
canis_lupus_familiaris ENSCAFG00000018561
vulpes_vulpes ENSVVUG00000015438
panthera_pardus ENSPPRG00000019016
panthera_tigris_altaica ENSPTIG00000015008
felis_catus ENSFCAG00000038222
sorex_araneus ENSSARG00000011564
erinaceus_europaeus ENSEEUG00000013663
equus_asinus_asinus ENSEASG00005007945
equus_caballus ENSECAG00000000808
procavia_capensis ENSPCAG00000010608
pan_paniscus ENSPPAG00000043796
pan_troglodytes ENSPTRG00000050524
homo_sapiens ENSG00000152760
gorilla_gorilla ENSGGOG00000002407
pongo_abelii ENSPPYG00000001264
nomascus_leucogenys ENSNLEG00000015262
rhinopithecus_roxellana ENSRROG00000037150
rhinopithecus_bieti ENSRBIG00000030373
piliocolobus_tephrosceles ENSPTEG00000014981
colobus_angolensis_palliatus ENSCANG00000035972
macaca_fascicularis ENSMFAG00000044785
macaca_nemestrina ENSMNEG00000043428
chlorocebus_sabaeus ENSCSAG00000001357
theropithecus_gelada ENSTGEG00000013338
mandrillus_leucophaeus ENSMLEG00000039935
papio_anubis ENSPANG00000016821
cercocebus_atys ENSCATG00000010584
saimiri_boliviensis_boliviensis ENSSBOG00000026948
cebus_capucinus_imitator ENSCCAG00000030457
callithrix_jacchus ENSCJAG00000039041
aotus_nancymaae ENSANAG00000025126
carlito_syrichta ENSTSYG00000033248
propithecus_coquereli ENSPCOG00000014105
prolemur_simus ENSPSMG00000005736
microcebus_murinus ENSMICG00000046099
oryctolagus_cuniculus ENSOCUG00000004662
ochotona_princeps ENSOPRG00000009585
tupaia_belangeri ENSTBEG00000011902
dasypus_novemcinctus ENSDNOG00000039350
choloepus_hoffmanni ENSCHOG00000012429
loxodonta_africana ENSLAFG00000015819
phascolarctos_cinereus ENSPCIG00000028915
notamacropus_eugenii ENSMEUG00000003268
monodelphis_domestica ENSMODG00000000963
sarcophilus_harrisii ENSSHAG00000003847
ornithorhynchus_anatinus ENSOANG00000006855
coturnix_japonica ENSCJPG00005014505
numida_meleagris ENSNMEG00000010908
anser_brachyrhynchus ENSABRG00000017970
lepidothrix_coronata ENSLCOG00000003654
manacus_vitellinus ENSMVIG00005007284
taeniopygia_guttata ENSTGUG00000010158
serinus_canaria ENSSCAG00000007509
parus_major ENSPMJG00000012351
cyanistes_caeruleus ENSCCEG00000007271
zonotrichia_albicollis ENSZALG00000007626
junco_hyemalis ENSJHYG00000009912
melopsittacus_undulatus ENSMUNG00000012260
calidris_pygmaea ENSCPGG00000018024
calidris_pugnax ENSCPUG00000015115
latimeria_chalumnae ENSLACG00000005692
chrysemys_picta_bellii ENSCPBG00000003421
pygocentrus_nattereri ENSPNAG00000022176
astyanax_mexicanus ENSAMXG00000030280
ictalurus_punctatus ENSIPUG00000024795
petromyzon_marinus ENSPMAG00000007269
kryptolebias_marmoratus ENSKMAG00000005286
ciona_savignyi ENSCSAVG00000002877
