fundulus_heteroclitus ENSFHEG00000020863
cyprinodon_variegatus ENSCVAG00000023016
xiphophorus_maculatus ENSXMAG00000025120
xiphophorus_couchianus ENSXCOG00000019539
gambusia_affinis ENSGAFG00000014870
poecilia_latipinna ENSPLAG00000002845
poecilia_mexicana ENSPMEG00000019706
poecilia_reticulata ENSPREG00000017383
poecilia_formosa ENSPFOG00000023964
kryptolebias_marmoratus ENSKMAG00000002379
oryzias_latipes_asm223471v1 ENSORLG00020009817
oryzias_latipes_asm223467v1 ENSORLG00000021817
oryzias_latipes_asm223469v1 ENSORLG00015015764
oryzias_melastigma ENSOMEG00000007580
haplochromis_burtoni ENSHBUG00000003952
pundamilia_nyererei ENSPNYG00000005030
astatotilapia_calliptera ENSACLG00000019155
maylandia_zebra ENSMZEG00005015458
neolamprologus_brichardi ENSNBRG00000004933
amphilophus_citrinellus ENSACIG00000010183
amphiprion_ocellaris ENSAOCG00000011438
amphiprion_percula ENSAPEG00000003946
acanthochromis_polyacanthus ENSAPOG00000000242
stegastes_partitus ENSSPAG00000022297
stegastes_partitus ENSSPAG00000022294
scophthalmus_maximus ENSSMAG00000016687
cynoglossus_semilaevis ENSCSEG00000002199
seriola_dumerili ENSSDUG00000005908
seriola_lalandi_dorsalis ENSSLDG00000014379
mastacembelus_armatus ENSMAMG00000014301
monopterus_albus ENSMALG00000020594
anabas_testudineus ENSATEG00000023700
labrus_bergylta ENSLBEG00000005551
takifugu_rubripes ENSTRUG00000024845
tetraodon_nigroviridis ENSTNIG00000018323
mola_mola ENSMMOG00000003820
cynoglossus_semilaevis ENSCSEG00000002203
oryzias_latipes_asm223471v1 ENSORLG00020009806
oryzias_latipes_asm223467v1 ENSORLG00000025779
oryzias_latipes_asm223469v1 ENSORLG00015015758
oryzias_melastigma ENSOMEG00000007606
kryptolebias_marmoratus ENSKMAG00000002363
stegastes_partitus ENSSPAG00000022302
scophthalmus_maximus ENSSMAG00000016684
labrus_bergylta ENSLBEG00000005564
hippocampus_comes ENSHCOG00000007586
