seriola_lalandi_dorsalis ENSSLDG00000016651
seriola_dumerili ENSSDUG00000008260
scophthalmus_maximus ENSSMAG00000001943
takifugu_rubripes ENSTRUG00000022478
tetraodon_nigroviridis ENSTNIG00000001791
mola_mola ENSMMOG00000006238
labrus_bergylta ENSLBEG00000007632
poecilia_latipinna ENSPLAG00000002879
poecilia_latipinna ENSPLAG00000010529
poecilia_formosa ENSPFOG00000003434
poecilia_formosa ENSPFOG00000024404
poecilia_mexicana ENSPMEG00000014202
poecilia_mexicana ENSPMEG00000013889
poecilia_reticulata ENSPREG00000013276
xiphophorus_maculatus ENSXMAG00000021208
gambusia_affinis ENSGAFG00000013849
cyprinodon_variegatus ENSCVAG00000013832
fundulus_heteroclitus ENSFHEG00000009096
kryptolebias_marmoratus ENSKMAG00000007386
oryzias_latipes_asm223467v1 ENSORLG00000016556
oryzias_latipes_asm223471v1 ENSORLG00020021658
oryzias_latipes_asm223469v1 ENSORLG00015014566
oryzias_melastigma ENSOMEG00000010366
maylandia_zebra ENSMZEG00005001919
pundamilia_nyererei ENSPNYG00000002488
haplochromis_burtoni ENSHBUG00000019519
astatotilapia_calliptera ENSACLG00000002444
neolamprologus_brichardi ENSNBRG00000009593
oreochromis_niloticus ENSONIG00000008041
amphilophus_citrinellus ENSACIG00000011430
amphiprion_ocellaris ENSAOCG00000001247
amphiprion_percula ENSAPEG00000018090
acanthochromis_polyacanthus ENSAPOG00000011874
stegastes_partitus ENSSPAG00000011468
mastacembelus_armatus ENSMAMG00000010868
monopterus_albus ENSMALG00000001339
anabas_testudineus ENSATEG00000013306
gasterosteus_aculeatus ENSGACG00000006477
cynoglossus_semilaevis ENSCSEG00000015758
hippocampus_comes ENSHCOG00000019762
periophthalmus_magnuspinnatus ENSPMGG00000005658
gadus_morhua ENSGMOG00000002170
esox_lucius ENSELUG00000009773
pygocentrus_nattereri ENSPNAG00000000954
astyanax_mexicanus ENSAMXG00000043512
ictalurus_punctatus ENSIPUG00000006904
danio_rerio ENSDARG00000090834
scleropages_formosus ENSSFOG00015009223
paramormyrops_kingsleyae ENSPKIG00000009064
paramormyrops_kingsleyae ENSPKIG00000008670
scleropages_formosus ENSSFOG00015014562
lepisosteus_oculatus ENSLOCG00000008110
danio_rerio ENSDARG00000116052
danio_rerio ENSDARG00000102583
pogona_vitticeps ENSPVIG00000017132
anolis_carolinensis ENSACAG00000016886
notechis_scutatus ENSNSUG00000016031
salvator_merianae ENSSMRG00000003055
sphenodon_punctatus ENSSPUG00000015025
chelonoidis_abingdonii ENSCABG00000003220
gopherus_agassizii ENSGAGG00000023278
pelodiscus_sinensis ENSPSIG00000010485
castor_canadensis ENSCCNG00000009792
dipodomys_ordii ENSDORG00000002529
cricetulus_griseus_crigri_1.0 ENSCGRG00000017675
cricetulus_griseus_crigri-picr ENSCGRG00015003141
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009147
mesocricetus_auratus ENSMAUG00000015533
microtus_ochrogaster ENSMOCG00000013170
peromyscus_maniculatus_bairdii ENSPEMG00000020463
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000006235
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033013
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031890
mus_spicilegus ENSMSIG00000014716
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014756
rattus_norvegicus ENSRNOG00000012619
meriones_unguiculatus ENSMUGG00000019479
nannospalax_galili ENSNGAG00000014154
jaculus_jaculus ENSJJAG00000005085
ictidomys_tridecemlineatus ENSSTOG00000002992
urocitellus_parryii ENSUPAG00010007323
marmota_marmota_marmota ENSMMMG00000020144
spermophilus_dauricus ENSSDAG00000007773
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017626
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008341
fukomys_damarensis ENSFDAG00000010442
cavia_aperea ENSCAPG00000010109
cavia_porcellus ENSCPOG00000004895
chinchilla_lanigera ENSCLAG00000007667
octodon_degus ENSODEG00000015732
oryctolagus_cuniculus ENSOCUG00000015702
ochotona_princeps ENSOPRG00000000204
pan_paniscus ENSPPAG00000033976
pan_troglodytes ENSPTRG00000029123
homo_sapiens ENSG00000187266
gorilla_gorilla ENSGGOG00000022182
pongo_abelii ENSPPYG00000029877
nomascus_leucogenys ENSNLEG00000012517
papio_anubis ENSPANG00000011443
mandrillus_leucophaeus ENSMLEG00000031245
cercocebus_atys ENSCATG00000041649
theropithecus_gelada ENSTGEG00000027050
chlorocebus_sabaeus ENSCSAG00000006800
macaca_nemestrina ENSMNEG00000040576
macaca_fascicularis ENSMFAG00000038076
macaca_mulatta ENSMMUG00000038989
rhinopithecus_bieti ENSRBIG00000042049
piliocolobus_tephrosceles ENSPTEG00000036410
rhinopithecus_roxellana ENSRROG00000043146
colobus_angolensis_palliatus ENSCANG00000043358
cebus_capucinus_imitator ENSCCAG00000036869
saimiri_boliviensis_boliviensis ENSSBOG00000019025
callithrix_jacchus ENSCJAG00000005704
aotus_nancymaae ENSANAG00000030726
carlito_syrichta ENSTSYG00000028747
propithecus_coquereli ENSPCOG00000023871
microcebus_murinus ENSMICG00000034457
prolemur_simus ENSPSMG00000019860
otolemur_garnettii ENSOGAG00000015978
capra_hircus ENSCHIG00000008595
ovis_aries ENSOARG00000018299
bos_mutus ENSBMUG00000000317
bos_taurus ENSBTAG00000008197
bison_bison_bison ENSBBBG00000017814
tursiops_truncatus ENSTTRG00000001776
sus_scrofa ENSSSCG00000013618
ursus_americanus ENSUAMG00000027041
ursus_maritimus ENSUMAG00000019591
ailuropoda_melanoleuca ENSAMEG00000010606
neovison_vison ENSNVIG00000002747
mustela_putorius_furo ENSMPUG00000005434
canis_lupus_familiaris ENSCAFG00000017411
canis_lupus_dingo ENSCAFG00020004440
vulpes_vulpes ENSVVUG00000023614
panthera_pardus ENSPPRG00000013189
panthera_tigris_altaica ENSPTIG00000014295
felis_catus ENSFCAG00000004913
myotis_lucifugus ENSMLUG00000016264
pteropus_vampyrus ENSPVAG00000014883
equus_asinus_asinus ENSEASG00005004577
equus_caballus ENSECAG00000008049
loxodonta_africana ENSLAFG00000026069
procavia_capensis ENSPCAG00000015580
sorex_araneus ENSSARG00000003151
erinaceus_europaeus ENSEEUG00000005281
dasypus_novemcinctus ENSDNOG00000039128
phascolarctos_cinereus ENSPCIG00000017743
notamacropus_eugenii ENSMEUG00000001885
monodelphis_domestica ENSMODG00000006557
sarcophilus_harrisii ENSSHAG00000006505
ornithorhynchus_anatinus ENSOANG00000004348
xenopus_tropicalis ENSXETG00000007924
latimeria_chalumnae ENSLACG00000015043
