bos_mutus ENSBMUG00000013255
bos_taurus ENSBTAG00000044023
bison_bison_bison ENSBBBG00000018101
ovis_aries ENSOARG00000018572
capra_hircus ENSCHIG00000011604
tursiops_truncatus ENSTTRG00000011349
sus_scrofa ENSSSCG00000040183
equus_asinus_asinus ENSEASG00005020081
equus_caballus ENSECAG00000016512
pteropus_vampyrus ENSPVAG00000003903
myotis_lucifugus ENSMLUG00000011872
ursus_americanus ENSUAMG00000007177
ailuropoda_melanoleuca ENSAMEG00000017811
neovison_vison ENSNVIG00000017691
mustela_putorius_furo ENSMPUG00000008328
canis_lupus_familiaris ENSCAFG00000001998
canis_lupus_dingo ENSCAFG00020011877
felis_catus ENSFCAG00000045118
panthera_pardus ENSPPRG00000023860
ursus_maritimus ENSUMAG00000019087
vulpes_vulpes ENSVVUG00000015364
panthera_tigris_altaica ENSPTIG00000010732
vicugna_pacos ENSVPAG00000002256
sorex_araneus ENSSARG00000006069
erinaceus_europaeus ENSEEUG00000013910
echinops_telfairi ENSETEG00000015511
dasypus_novemcinctus ENSDNOG00000042456
prolemur_simus ENSPSMG00000010966
microcebus_murinus ENSMICG00000004219
otolemur_garnettii ENSOGAG00000034774
cercocebus_atys ENSCATG00000035974
mandrillus_leucophaeus ENSMLEG00000036979
theropithecus_gelada ENSTGEG00000002688
papio_anubis ENSPANG00000016091
chlorocebus_sabaeus ENSCSAG00000012617
macaca_nemestrina ENSMNEG00000040700
macaca_mulatta ENSMMUG00000008698
macaca_fascicularis ENSMFAG00000002529
rhinopithecus_roxellana ENSRROG00000030049
rhinopithecus_bieti ENSRBIG00000044436
colobus_angolensis_palliatus ENSCANG00000041187
piliocolobus_tephrosceles ENSPTEG00000028821
homo_sapiens ENSG00000105810
pan_troglodytes ENSPTRG00000019400
gorilla_gorilla ENSGGOG00000025851
pongo_abelii ENSPPYG00000017818
nomascus_leucogenys ENSNLEG00000015335
cebus_capucinus_imitator ENSCCAG00000032979
saimiri_boliviensis_boliviensis ENSSBOG00000034944
callithrix_jacchus ENSCJAG00000043437
aotus_nancymaae ENSANAG00000024969
propithecus_coquereli ENSPCOG00000025550
carlito_syrichta ENSTSYG00000013124
pan_paniscus ENSPPAG00000034434
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040274
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026928
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021700
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021701
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021702
