oreochromis_niloticus ENSONIG00000004680
gasterosteus_aculeatus ENSGACG00000010041
gadus_morhua ENSGMOG00000005039
pogona_vitticeps ENSPVIG00000020648
anolis_carolinensis ENSACAG00000011494
notechis_scutatus ENSNSUG00000014005
salvator_merianae ENSSMRG00000021264
sphenodon_punctatus ENSSPUG00000002680
apteryx_owenii ENSAOWG00000010747
apteryx_haastii ENSAHAG00000007338
apteryx_rowi ENSARWG00000004744
dromaius_novaehollandiae ENSDNVG00000001828
nothoprocta_perdicaria ENSNPEG00000005107
anser_brachyrhynchus ENSABRG00000008897
anas_platyrhynchos_platyrhynchos ENSAPLG00000009926
gallus_gallus ENSGALG00000036365
meleagris_gallopavo ENSMGAG00000001193
coturnix_japonica ENSCJPG00005015292
numida_meleagris ENSNMEG00000007244
calidris_pygmaea ENSCPGG00000008653
calidris_pugnax ENSCPUG00000011442
melopsittacus_undulatus ENSMUNG00000012541
crocodylus_porosus ENSCPRG00005008659
gopherus_agassizii ENSGAGG00000023537
chelonoidis_abingdonii ENSCABG00000009140
chrysemys_picta_bellii ENSCPBG00000008917
pelodiscus_sinensis ENSPSIG00000005621
junco_hyemalis ENSJHYG00000001696
ficedula_albicollis ENSFALG00000015136
manacus_vitellinus ENSMVIG00005011254
phascolarctos_cinereus ENSPCIG00000021163
notamacropus_eugenii ENSMEUG00000011921
sarcophilus_harrisii ENSSHAG00000014743
monodelphis_domestica ENSMODG00000018875
dipodomys_ordii ENSDORG00000025298
castor_canadensis ENSCCNG00000017024
urocitellus_parryii ENSUPAG00010004470
ictidomys_tridecemlineatus ENSSTOG00000012056
spermophilus_dauricus ENSSDAG00000020350
marmota_marmota_marmota ENSMMMG00000018654
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038902
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026261
mus_spicilegus ENSMSIG00000003258
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025319
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026761
rattus_norvegicus ENSRNOG00000053599
meriones_unguiculatus ENSMUGG00000013279
microtus_ochrogaster ENSMOCG00000019799
peromyscus_maniculatus_bairdii ENSPEMG00000006538
cricetulus_griseus_crigri-picr ENSCGRG00015017184
cricetulus_griseus_crigri_1.0 ENSCGRG00000006800
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020717
mesocricetus_auratus ENSMAUG00000010135
nannospalax_galili ENSNGAG00000006487
jaculus_jaculus ENSJJAG00000009420
chinchilla_lanigera ENSCLAG00000001558
octodon_degus ENSODEG00000011206
cavia_porcellus ENSCPOG00000015210
cavia_aperea ENSCAPG00000008502
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008750
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008998
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003935
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011915
fukomys_damarensis ENSFDAG00000018520
oryctolagus_cuniculus ENSOCUG00000004849
ochotona_princeps ENSOPRG00000007296
carlito_syrichta ENSTSYG00000007973
propithecus_coquereli ENSPCOG00000016891
microcebus_murinus ENSMICG00000016751
prolemur_simus ENSPSMG00000004693
otolemur_garnettii ENSOGAG00000008128
pan_troglodytes ENSPTRG00000001289
pan_paniscus ENSPPAG00000029740
homo_sapiens ENSG00000143442
gorilla_gorilla ENSGGOG00000010569
pongo_abelii ENSPPYG00000000864
nomascus_leucogenys ENSNLEG00000010214
rhinopithecus_bieti ENSRBIG00000044811
rhinopithecus_roxellana ENSRROG00000032667
colobus_angolensis_palliatus ENSCANG00000037060
piliocolobus_tephrosceles ENSPTEG00000028816
papio_anubis ENSPANG00000017623
theropithecus_gelada ENSTGEG00000016440
cercocebus_atys ENSCATG00000024127
macaca_mulatta ENSMMUG00000020925
macaca_fascicularis ENSMFAG00000043596
macaca_nemestrina ENSMNEG00000038332
mandrillus_leucophaeus ENSMLEG00000031084
chlorocebus_sabaeus ENSCSAG00000001803
cebus_capucinus_imitator ENSCCAG00000026952
saimiri_boliviensis_boliviensis ENSSBOG00000021437
callithrix_jacchus ENSCJAG00000007565
aotus_nancymaae ENSANAG00000028936
tupaia_belangeri ENSTBEG00000003698
bos_taurus ENSBTAG00000021289
bos_mutus ENSBMUG00000024528
bison_bison_bison ENSBBBG00000013525
ovis_aries ENSOARG00000021007
capra_hircus ENSCHIG00000020311
tursiops_truncatus ENSTTRG00000011438
sus_scrofa ENSSSCG00000006622
erinaceus_europaeus ENSEEUG00000003830
sorex_araneus ENSSARG00000013273
pteropus_vampyrus ENSPVAG00000011683
equus_asinus_asinus ENSEASG00005005607
equus_caballus ENSECAG00000021579
ursus_maritimus ENSUMAG00000002469
ursus_americanus ENSUAMG00000019434
ailuropoda_melanoleuca ENSAMEG00000000622
canis_lupus_familiaris ENSCAFG00000012719
canis_lupus_dingo ENSCAFG00020010728
vulpes_vulpes ENSVVUG00000012927
mustela_putorius_furo ENSMPUG00000003718
neovison_vison ENSNVIG00000014867
panthera_pardus ENSPPRG00000023722
panthera_tigris_altaica ENSPTIG00000020597
felis_catus ENSFCAG00000001864
myotis_lucifugus ENSMLUG00000002157
loxodonta_africana ENSLAFG00000011913
procavia_capensis ENSPCAG00000013591
echinops_telfairi ENSETEG00000009846
dasypus_novemcinctus ENSDNOG00000018257
choloepus_hoffmanni ENSCHOG00000007301
xenopus_tropicalis ENSXETG00000020724
latimeria_chalumnae ENSLACG00000002409
