ictalurus_punctatus ENSIPUG00000002570
astyanax_mexicanus ENSAMXG00000039673
amphiprion_ocellaris ENSAOCG00000006749
paramormyrops_kingsleyae ENSPKIG00000024602
paramormyrops_kingsleyae ENSPKIG00000008263
scleropages_formosus ENSSFOG00015017143
lepisosteus_oculatus ENSLOCG00000004149
serinus_canaria ENSSCAG00000005661
ficedula_albicollis ENSFALG00000001969
parus_major ENSPMJG00000003357
gallus_gallus ENSGALG00000034903
meleagris_gallopavo ENSMGAG00000001147
numida_meleagris ENSNMEG00000003760
anser_brachyrhynchus ENSABRG00000010198
calidris_pugnax ENSCPUG00000000486
calidris_pygmaea ENSCPGG00000006338
lepidothrix_coronata ENSLCOG00000012068
junco_hyemalis ENSJHYG00000012254
lonchura_striata_domestica ENSLSDG00000000767
melopsittacus_undulatus ENSMUNG00000003585
apteryx_owenii ENSAOWG00000004684
apteryx_haastii ENSAHAG00000000988
apteryx_rowi ENSARWG00000012199
coturnix_japonica ENSCJPG00005007949
callithrix_jacchus ENSCJAG00000040754
kryptolebias_marmoratus ENSKMAG00000014068
caenorhabditis_elegans_strain_n2 WBGene00011066
drosophila_melanogaster FBgn0033569
periophthalmus_magnuspinnatus ENSPMGG00000009825
oryzias_melastigma ENSOMEG00000022388
loxodonta_africana ENSLAFG00000009611
ciona_intestinalis ENSCING00000004507
drosophila_melanogaster FBgn0033491
