cynoglossus_semilaevis ENSCSEG00000000897
periophthalmus_magnuspinnatus ENSPMGG00000002601
monopterus_albus ENSMALG00000008912
takifugu_rubripes ENSTRUG00000009824
mola_mola ENSMMOG00000004409
tetraodon_nigroviridis ENSTNIG00000012786
gasterosteus_aculeatus ENSGACG00000003949
labrus_bergylta ENSLBEG00000009396
amphiprion_ocellaris ENSAOCG00000006346
amphiprion_percula ENSAPEG00000015875
acanthochromis_polyacanthus ENSAPOG00000012279
stegastes_partitus ENSSPAG00000000814
maylandia_zebra ENSMZEG00005000535
astatotilapia_calliptera ENSACLG00000000170
pundamilia_nyererei ENSPNYG00000007114
haplochromis_burtoni ENSHBUG00000014555
neolamprologus_brichardi ENSNBRG00000016327
oreochromis_niloticus ENSONIG00000005984
amphilophus_citrinellus ENSACIG00000017960
cyprinodon_variegatus ENSCVAG00000007469
fundulus_heteroclitus ENSFHEG00000015896
xiphophorus_maculatus ENSXMAG00000022848
xiphophorus_couchianus ENSXCOG00000011499
gambusia_affinis ENSGAFG00000003101
poecilia_formosa ENSPFOG00000015944
poecilia_mexicana ENSPMEG00000014035
poecilia_latipinna ENSPLAG00000007715
poecilia_reticulata ENSPREG00000008759
kryptolebias_marmoratus ENSKMAG00000012914
oryzias_latipes_asm223467v1 ENSORLG00000010614
oryzias_latipes_asm223471v1 ENSORLG00020010656
oryzias_latipes_asm223469v1 ENSORLG00015010308
oryzias_melastigma ENSOMEG00000004046
anabas_testudineus ENSATEG00000005245
mastacembelus_armatus ENSMAMG00000004261
hippocampus_comes ENSHCOG00000011709
seriola_dumerili ENSSDUG00000006953
seriola_lalandi_dorsalis ENSSLDG00000021728
scophthalmus_maximus ENSSMAG00000011142
gadus_morhua ENSGMOG00000005218
esox_lucius ENSELUG00000005338
pygocentrus_nattereri ENSPNAG00000002514
astyanax_mexicanus ENSAMXG00000000384
ictalurus_punctatus ENSIPUG00000014835
danio_rerio ENSDARG00000020953
pygocentrus_nattereri ENSPNAG00000019135
ictalurus_punctatus ENSIPUG00000001682
paramormyrops_kingsleyae ENSPKIG00000012679
scleropages_formosus ENSSFOG00015003350
