marmota_marmota_marmota ENSMMMG00000015987
spermophilus_dauricus ENSSDAG00000008639
ochotona_princeps ENSOPRG00000005325
carlito_syrichta ENSTSYG00000013426
cricetulus_griseus_crigri-picr ENSCGRG00015027569
mesocricetus_auratus ENSMAUG00000010756
microtus_ochrogaster ENSMOCG00000003261
peromyscus_maniculatus_bairdii ENSPEMG00000023942
nannospalax_galili ENSNGAG00000022766
jaculus_jaculus ENSJJAG00000012336
dipodomys_ordii ENSDORG00000011823
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003282
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011216
chinchilla_lanigera ENSCLAG00000012733
microcebus_murinus ENSMICG00000004390
propithecus_coquereli ENSPCOG00000026580
otolemur_garnettii ENSOGAG00000007928
homo_sapiens ENSG00000164920
gorilla_gorilla ENSGGOG00000006716
pan_paniscus ENSPPAG00000032547
pan_troglodytes ENSPTRG00000020463
pongo_abelii ENSPPYG00000018781
macaca_nemestrina ENSMNEG00000028787
macaca_fascicularis ENSMFAG00000030128
theropithecus_gelada ENSTGEG00000001869
cercocebus_atys ENSCATG00000044939
rhinopithecus_bieti ENSRBIG00000031817
rhinopithecus_roxellana ENSRROG00000039787
mandrillus_leucophaeus ENSMLEG00000034070
papio_anubis ENSPANG00000012764
piliocolobus_tephrosceles ENSPTEG00000000908
colobus_angolensis_palliatus ENSCANG00000042721
macaca_mulatta ENSMMUG00000022185
nomascus_leucogenys ENSNLEG00000002725
cebus_capucinus_imitator ENSCCAG00000034941
saimiri_boliviensis_boliviensis ENSSBOG00000035052
aotus_nancymaae ENSANAG00000034242
tupaia_belangeri ENSTBEG00000001576
ailuropoda_melanoleuca ENSAMEG00000000519
ursus_americanus ENSUAMG00000020839
neovison_vison ENSNVIG00000000004
canis_lupus_dingo ENSCAFG00020026780
canis_lupus_familiaris ENSCAFG00000000493
vulpes_vulpes ENSVVUG00000012285
panthera_tigris_altaica ENSPTIG00000017237
panthera_pardus ENSPPRG00000007822
felis_catus ENSFCAG00000014220
tursiops_truncatus ENSTTRG00000007477
ovis_aries ENSOARG00000002902
sus_scrofa ENSSSCG00000006073
pteropus_vampyrus ENSPVAG00000004363
erinaceus_europaeus ENSEEUG00000008304
prolemur_simus ENSPSMG00000012178
neovison_vison ENSNVIG00000024359
dasypus_novemcinctus ENSDNOG00000012011
mustela_putorius_furo ENSMPUG00000015246
ursus_maritimus ENSUMAG00000016994
equus_caballus ENSECAG00000017784
equus_asinus_asinus ENSEASG00005003076
bos_mutus ENSBMUG00000022694
bos_taurus ENSBTAG00000013213
bison_bison_bison ENSBBBG00000013191
capra_hircus ENSCHIG00000019458
chlorocebus_sabaeus ENSCSAG00000012312
piliocolobus_tephrosceles ENSPTEG00000004997
oryctolagus_cuniculus ENSOCUG00000022383
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022330
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020626
mus_spicilegus ENSMSIG00000016289
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019730
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019739
rattus_norvegicus ENSRNOG00000011136
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011416
meriones_unguiculatus ENSMUGG00000022458
cavia_porcellus ENSCPOG00000020572
octodon_degus ENSODEG00000004176
fukomys_damarensis ENSFDAG00000005026
myotis_lucifugus ENSMLUG00000013412
loxodonta_africana ENSLAFG00000009420
urocitellus_parryii ENSUPAG00010013120
ictidomys_tridecemlineatus ENSSTOG00000021263
castor_canadensis ENSCCNG00000018501
phascolarctos_cinereus ENSPCIG00000000464
procavia_capensis ENSPCAG00000003419
sarcophilus_harrisii ENSSHAG00000007793
chelonoidis_abingdonii ENSCABG00000012965
gopherus_agassizii ENSGAGG00000001082
chrysemys_picta_bellii ENSCPBG00000007541
pelodiscus_sinensis ENSPSIG00000011787
xenopus_tropicalis ENSXETG00000017850
latimeria_chalumnae ENSLACG00000005426
poecilia_reticulata ENSPREG00000020911
oryzias_melastigma ENSOMEG00000006838
astatotilapia_calliptera ENSACLG00000010895
maylandia_zebra ENSMZEG00005025443
haplochromis_burtoni ENSHBUG00000000903
oreochromis_niloticus ENSONIG00000006859
amphilophus_citrinellus ENSACIG00000004285
hippocampus_comes ENSHCOG00000013823
periophthalmus_magnuspinnatus ENSPMGG00000022451
xiphophorus_couchianus ENSXCOG00000017049
poecilia_latipinna ENSPLAG00000010963
acanthochromis_polyacanthus ENSAPOG00000008249
mola_mola ENSMMOG00000018232
amphiprion_percula ENSAPEG00000007554
amphiprion_ocellaris ENSAOCG00000000699
stegastes_partitus ENSSPAG00000014921
neolamprologus_brichardi ENSNBRG00000002444
pundamilia_nyererei ENSPNYG00000004536
gambusia_affinis ENSGAFG00000019763
xiphophorus_maculatus ENSXMAG00000002498
poecilia_mexicana ENSPMEG00000012257
poecilia_formosa ENSPFOG00000012273
fundulus_heteroclitus ENSFHEG00000019470
cyprinodon_variegatus ENSCVAG00000016630
kryptolebias_marmoratus ENSKMAG00000001273
oryzias_latipes_asm223469v1 ENSORLG00015012795
oryzias_latipes_asm223471v1 ENSORLG00020022443
oryzias_latipes_asm223467v1 ENSORLG00000002797
takifugu_rubripes ENSTRUG00000011070
tetraodon_nigroviridis ENSTNIG00000013301
gasterosteus_aculeatus ENSGACG00000003524
labrus_bergylta ENSLBEG00000024396
mastacembelus_armatus ENSMAMG00000004078
monopterus_albus ENSMALG00000012673
anabas_testudineus ENSATEG00000024821
seriola_dumerili ENSSDUG00000007760
seriola_lalandi_dorsalis ENSSLDG00000012512
cynoglossus_semilaevis ENSCSEG00000008785
scophthalmus_maximus ENSSMAG00000011794
gadus_morhua ENSGMOG00000016368
esox_lucius ENSELUG00000003493
scleropages_formosus ENSSFOG00015007324
paramormyrops_kingsleyae ENSPKIG00000016499
notechis_scutatus ENSNSUG00000012665
anolis_carolinensis ENSACAG00000016280
salvator_merianae ENSSMRG00000007353
crocodylus_porosus ENSCPRG00005003096
pygocentrus_nattereri ENSPNAG00000024124
astyanax_mexicanus ENSAMXG00000014504
ictalurus_punctatus ENSIPUG00000018295
danio_rerio ENSDARG00000038006
lepisosteus_oculatus ENSLOCG00000009790
calidris_pugnax ENSCPUG00000002469
melopsittacus_undulatus ENSMUNG00000000270
ficedula_albicollis ENSFALG00000005731
lepidothrix_coronata ENSLCOG00000008207
apteryx_rowi ENSARWG00000001796
apteryx_haastii ENSAHAG00000007494
apteryx_owenii ENSAOWG00000017603
nothoprocta_perdicaria ENSNPEG00000014340
junco_hyemalis ENSJHYG00000003744
zonotrichia_albicollis ENSZALG00000013051
lonchura_striata_domestica ENSLSDG00000017907
cyanistes_caeruleus ENSCCEG00000001378
serinus_canaria ENSSCAG00000004150
taeniopygia_guttata ENSTGUG00000012027
manacus_vitellinus ENSMVIG00005015296
parus_major ENSPMJG00000007232
calidris_pygmaea ENSCPGG00000013909
anser_brachyrhynchus ENSABRG00000001956
anas_platyrhynchos_platyrhynchos ENSAPLG00000031149
dromaius_novaehollandiae ENSDNVG00000008621
gallus_gallus ENSGALG00000037695
coturnix_japonica ENSCJPG00005000750
numida_meleagris ENSNMEG00000004630
pogona_vitticeps ENSPVIG00000014513
eptatretus_burgeri ENSEBUG00000001077
eptatretus_burgeri ENSEBUG00000015747
petromyzon_marinus ENSPMAG00000007745
