mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032137
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031023
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021491
rattus_norvegicus ENSRNOG00000056363
rattus_norvegicus ENSRNOG00000045697
meriones_unguiculatus ENSMUGG00000015974
cricetulus_griseus_crigri_1.0 ENSCGRG00000017878
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005516
mesocricetus_auratus ENSMAUG00000019990
microtus_ochrogaster ENSMOCG00000021015
peromyscus_maniculatus_bairdii ENSPEMG00000018897
colobus_angolensis_palliatus ENSCANG00000039376
papio_anubis ENSPANG00000031109
