vulpes_vulpes ENSVVUG00000011751
ursus_americanus ENSUAMG00000016562
erinaceus_europaeus ENSEEUG00000013906
mustela_putorius_furo ENSMPUG00000018947
neovison_vison ENSNVIG00000016330
ailuropoda_melanoleuca ENSAMEG00000019658
ursus_maritimus ENSUMAG00000013870
canis_lupus_familiaris ENSCAFG00000014417
pteropus_vampyrus ENSPVAG00000005177
bos_mutus ENSBMUG00000014026
bos_taurus ENSBTAG00000037883
bison_bison_bison ENSBBBG00000008343
capra_hircus ENSCHIG00000009838
ovis_aries ENSOARG00000019397
sus_scrofa ENSSSCG00000012256
otolemur_garnettii ENSOGAG00000032198
prolemur_simus ENSPSMG00000025704
macaca_mulatta ENSMMUG00000022734
theropithecus_gelada ENSTGEG00000008076
piliocolobus_tephrosceles ENSPTEG00000027691
pan_troglodytes ENSPTRG00000043024
pan_paniscus ENSPPAG00000026223
homo_sapiens ENSG00000102055
gorilla_gorilla ENSGGOG00000038310
pongo_abelii ENSPPYG00000020262
callithrix_jacchus ENSCJAG00000022173
spermophilus_dauricus ENSSDAG00000006093
urocitellus_parryii ENSUPAG00010001628
marmota_marmota_marmota ENSMMMG00000011202
cricetulus_griseus_crigri-picr ENSCGRG00015003571
peromyscus_maniculatus_bairdii ENSPEMG00000026824
mus_spicilegus ENSMSIG00000005726
meriones_unguiculatus ENSMUGG00000020046
castor_canadensis ENSCCNG00000002515
equus_asinus_asinus ENSEASG00005007319
equus_caballus ENSECAG00000034086
canis_lupus_dingo ENSCAFG00020027202
oryctolagus_cuniculus ENSOCUG00000012846
dasypus_novemcinctus ENSDNOG00000038085
loxodonta_africana ENSLAFG00000004738
