piliocolobus_tephrosceles ENSPTEG00000024859
colobus_angolensis_palliatus ENSCANG00000041686
chlorocebus_sabaeus ENSCSAG00000009455
pongo_abelii ENSPPYG00000017229
chlorocebus_sabaeus ENSCSAG00000018284
macaca_nemestrina ENSMNEG00000040889
macaca_mulatta ENSMMUG00000019371
macaca_fascicularis ENSMFAG00000035329
theropithecus_gelada ENSTGEG00000029357
mandrillus_leucophaeus ENSMLEG00000035946
papio_anubis ENSPANG00000018967
mandrillus_leucophaeus ENSMLEG00000029555
rhinopithecus_roxellana ENSRROG00000037394
rhinopithecus_bieti ENSRBIG00000033377
cercocebus_atys ENSCATG00000024393
pan_paniscus ENSPPAG00000031863
pan_troglodytes ENSPTRG00000018029
homo_sapiens ENSG00000231389
gorilla_gorilla ENSGGOG00000013625
nomascus_leucogenys ENSNLEG00000034417
cercocebus_atys ENSCATG00000039927
theropithecus_gelada ENSTGEG00000016024
pongo_abelii ENSPPYG00000017251
saimiri_boliviensis_boliviensis ENSSBOG00000026139
callithrix_jacchus ENSCJAG00000047947
aotus_nancymaae ENSANAG00000025586
cebus_capucinus_imitator ENSCCAG00000035048
carlito_syrichta ENSTSYG00000013384
propithecus_coquereli ENSPCOG00000015236
prolemur_simus ENSPSMG00000009402
microcebus_murinus ENSMICG00000003711
otolemur_garnettii ENSOGAG00000006476
castor_canadensis ENSCCNG00000026794
dipodomys_ordii ENSDORG00000004500
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009475
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019266
octodon_degus ENSODEG00000017716
cavia_porcellus ENSCPOG00000002427
cavia_aperea ENSCAPG00000016592
cavia_porcellus ENSCPOG00000035477
chinchilla_lanigera ENSCLAG00000010668
marmota_marmota_marmota ENSMMMG00000024227
ictidomys_tridecemlineatus ENSSTOG00000003558
spermophilus_dauricus ENSSDAG00000023391
spermophilus_dauricus ENSSDAG00000014894
spermophilus_dauricus ENSSDAG00000019868
urocitellus_parryii ENSUPAG00010012558
ochotona_princeps ENSOPRG00000007464
tupaia_belangeri ENSTBEG00000003630
tupaia_belangeri ENSTBEG00000000514
tupaia_belangeri ENSTBEG00000000037
procavia_capensis ENSPCAG00000007484
loxodonta_africana ENSLAFG00000021735
choloepus_hoffmanni ENSCHOG00000011512
dasypus_novemcinctus ENSDNOG00000043328
tupaia_belangeri ENSTBEG00000014955
theropithecus_gelada ENSTGEG00000029456
mustela_putorius_furo ENSMPUG00000001961
neovison_vison ENSNVIG00000004863
ursus_americanus ENSUAMG00000026889
ursus_maritimus ENSUMAG00000012616
ailuropoda_melanoleuca ENSAMEG00000001901
felis_catus ENSFCAG00000012247
felis_catus ENSFCAG00000044012
panthera_tigris_altaica ENSPTIG00000005948
panthera_pardus ENSPPRG00000002267
myotis_lucifugus ENSMLUG00000007762
vicugna_pacos ENSVPAG00000008050
vulpes_vulpes ENSVVUG00000025137
ochotona_princeps ENSOPRG00000000840
prolemur_simus ENSPSMG00000009792
choloepus_hoffmanni ENSCHOG00000011450
cricetulus_griseus_crigri_1.0 ENSCGRG00000018375
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009189
cricetulus_griseus_crigri-picr ENSCGRG00015028320
microtus_ochrogaster ENSMOCG00000010963
peromyscus_maniculatus_bairdii ENSPEMG00000015442
rattus_norvegicus ENSRNOG00000026669
meriones_unguiculatus ENSMUGG00000017321
mus_spicilegus ENSMSIG00000011214
oryctolagus_cuniculus ENSOCUG00000003319
notamacropus_eugenii ENSMEUG00000006412
