ursus_americanus ENSUAMG00000010802
ursus_maritimus ENSUMAG00000003283
ailuropoda_melanoleuca ENSAMEG00000013776
mustela_putorius_furo ENSMPUG00000002969
neovison_vison ENSNVIG00000021372
canis_lupus_dingo ENSCAFG00020007475
canis_lupus_familiaris ENSCAFG00000014043
vulpes_vulpes ENSVVUG00000019441
panthera_tigris_altaica ENSPTIG00000016270
panthera_pardus ENSPPRG00000004396
sorex_araneus ENSSARG00000000767
pteropus_vampyrus ENSPVAG00000016721
myotis_lucifugus ENSMLUG00000025596
homo_sapiens ENSG00000133433
homo_sapiens ENSG00000099984
pan_paniscus ENSPPAG00000035285
gorilla_gorilla ENSGGOG00000008725
pongo_abelii ENSPPYG00000012010
nomascus_leucogenys ENSNLEG00000002941
pan_troglodytes ENSPTRG00000045736
pan_troglodytes ENSPTRG00000014160
theropithecus_gelada ENSTGEG00000028331
papio_anubis ENSPANG00000033106
chlorocebus_sabaeus ENSCSAG00000010990
macaca_mulatta ENSMMUG00000023053
macaca_mulatta ENSMMUG00000018530
macaca_fascicularis ENSMFAG00000030999
macaca_nemestrina ENSMNEG00000028312
mandrillus_leucophaeus ENSMLEG00000036249
piliocolobus_tephrosceles ENSPTEG00000027233
colobus_angolensis_palliatus ENSCANG00000040597
rhinopithecus_roxellana ENSRROG00000036507
cercocebus_atys ENSCATG00000036424
rhinopithecus_bieti ENSRBIG00000028168
carlito_syrichta ENSTSYG00000008267
prolemur_simus ENSPSMG00000006419
microcebus_murinus ENSMICG00000047511
otolemur_garnettii ENSOGAG00000003724
mus_spicilegus ENSMSIG00000005282
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033318
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016265
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015452
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030868
rattus_norvegicus ENSRNOG00000052415
rattus_norvegicus ENSRNOG00000052360
rattus_norvegicus ENSRNOG00000060114
meriones_unguiculatus ENSMUGG00000010099
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012995
cricetulus_griseus_crigri_1.0 ENSCGRG00000003972
cricetulus_griseus_crigri-picr ENSCGRG00015017946
microtus_ochrogaster ENSMOCG00000015654
peromyscus_maniculatus_bairdii ENSPEMG00000011446
nannospalax_galili ENSNGAG00000000555
jaculus_jaculus ENSJJAG00000008178
ictidomys_tridecemlineatus ENSSTOG00000033899
ictidomys_tridecemlineatus ENSSTOG00000012540
spermophilus_dauricus ENSSDAG00000020024
marmota_marmota_marmota ENSMMMG00000000149
cavia_aperea ENSCAPG00000017839
cavia_porcellus ENSCPOG00000033118
oryctolagus_cuniculus ENSOCUG00000005066
tupaia_belangeri ENSTBEG00000010177
dasypus_novemcinctus ENSDNOG00000024216
notamacropus_eugenii ENSMEUG00000008552
notamacropus_eugenii ENSMEUG00000001520
notamacropus_eugenii ENSMEUG00000004714
notamacropus_eugenii ENSMEUG00000003374
phascolarctos_cinereus ENSPCIG00000001981
sarcophilus_harrisii ENSSHAG00000002869
monodelphis_domestica ENSMODG00000007141
