procavia_capensis ENSPCAG00000014721
loxodonta_africana ENSLAFG00000010468
echinops_telfairi ENSETEG00000019636
dasypus_novemcinctus ENSDNOG00000017710
nannospalax_galili ENSNGAG00000002261
nannospalax_galili ENSNGAG00000009806
castor_canadensis ENSCCNG00000000400
dipodomys_ordii ENSDORG00000024255
jaculus_jaculus ENSJJAG00000014307
jaculus_jaculus ENSJJAG00000022284
cricetulus_griseus_crigri_1.0 ENSCGRG00000013132
cricetulus_griseus_crigri-picr ENSCGRG00015006552
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009874
mesocricetus_auratus ENSMAUG00000012054
mesocricetus_auratus ENSMAUG00000017982
microtus_ochrogaster ENSMOCG00000012784
microtus_ochrogaster ENSMOCG00000012128
peromyscus_maniculatus_bairdii ENSPEMG00000025361
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024162
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023245
mus_spicilegus ENSMSIG00000024734
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036833
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024703
rattus_norvegicus ENSRNOG00000008190
chinchilla_lanigera ENSCLAG00000005965
octodon_degus ENSODEG00000014634
cavia_aperea ENSCAPG00000007097
cavia_aperea ENSCAPG00000012223
cavia_porcellus ENSCPOG00000000566
fukomys_damarensis ENSFDAG00000011576
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015351
urocitellus_parryii ENSUPAG00010012627
ictidomys_tridecemlineatus ENSSTOG00000014708
marmota_marmota_marmota ENSMMMG00000007641
spermophilus_dauricus ENSSDAG00000003801
oryctolagus_cuniculus ENSOCUG00000017544
pan_paniscus ENSPPAG00000033374
pan_troglodytes ENSPTRG00000021602
homo_sapiens ENSG00000130653
gorilla_gorilla ENSGGOG00000034988
pongo_abelii ENSPPYG00000019832
nomascus_leucogenys ENSNLEG00000008973
rhinopithecus_bieti ENSRBIG00000033220
rhinopithecus_roxellana ENSRROG00000043522
colobus_angolensis_palliatus ENSCANG00000038266
piliocolobus_tephrosceles ENSPTEG00000019893
piliocolobus_tephrosceles ENSPTEG00000019857
piliocolobus_tephrosceles ENSPTEG00000019797
theropithecus_gelada ENSTGEG00000004061
papio_anubis ENSPANG00000026436
mandrillus_leucophaeus ENSMLEG00000034096
cercocebus_atys ENSCATG00000044666
chlorocebus_sabaeus ENSCSAG00000016841
macaca_fascicularis ENSMFAG00000034327
macaca_mulatta ENSMMUG00000019607
macaca_nemestrina ENSMNEG00000032227
cebus_capucinus_imitator ENSCCAG00000032556
saimiri_boliviensis_boliviensis ENSSBOG00000023558
callithrix_jacchus ENSCJAG00000013340
aotus_nancymaae ENSANAG00000023660
carlito_syrichta ENSTSYG00000033063
propithecus_coquereli ENSPCOG00000018486
microcebus_murinus ENSMICG00000009566
prolemur_simus ENSPSMG00000005206
bos_taurus ENSBTAG00000012126
capra_hircus ENSCHIG00000024860
bos_mutus ENSBMUG00000025806
bos_mutus ENSBMUG00000025777
bison_bison_bison ENSBBBG00000015144
ovis_aries ENSOARG00000000920
tursiops_truncatus ENSTTRG00000010778
sus_scrofa ENSSSCG00000034978
pteropus_vampyrus ENSPVAG00000009346
equus_caballus ENSECAG00000017449
equus_asinus_asinus ENSEASG00005014099
vulpes_vulpes ENSVVUG00000003429
ursus_americanus ENSUAMG00000014788
ursus_maritimus ENSUMAG00000023497
ursus_americanus ENSUAMG00000012953
ailuropoda_melanoleuca ENSAMEG00000016179
mustela_putorius_furo ENSMPUG00000015148
neovison_vison ENSNVIG00000010327
canis_lupus_familiaris ENSCAFG00000019417
canis_lupus_dingo ENSCAFG00020003378
vulpes_vulpes ENSVVUG00000028946
panthera_pardus ENSPPRG00000002523
panthera_tigris_altaica ENSPTIG00000009974
felis_catus ENSFCAG00000003589
erinaceus_europaeus ENSEEUG00000009879
phascolarctos_cinereus ENSPCIG00000016525
notamacropus_eugenii ENSMEUG00000006626
sarcophilus_harrisii ENSSHAG00000010632
monodelphis_domestica ENSMODG00000017152
ornithorhynchus_anatinus ENSOANG00000001172
pogona_vitticeps ENSPVIG00000021055
anolis_carolinensis ENSACAG00000025275
notechis_scutatus ENSNSUG00000007863
salvator_merianae ENSSMRG00000007886
sphenodon_punctatus ENSSPUG00000017551
anser_brachyrhynchus ENSABRG00000019824
anas_platyrhynchos_platyrhynchos ENSAPLG00000003225
gallus_gallus ENSGALG00000008736
meleagris_gallopavo ENSMGAG00000001990
coturnix_japonica ENSCJPG00005016426
numida_meleagris ENSNMEG00000001490
lepidothrix_coronata ENSLCOG00000013768
manacus_vitellinus ENSMVIG00005008812
lonchura_striata_domestica ENSLSDG00000010671
taeniopygia_guttata ENSTGUG00000002701
serinus_canaria ENSSCAG00000010158
zonotrichia_albicollis ENSZALG00000009818
junco_hyemalis ENSJHYG00000016126
ficedula_albicollis ENSFALG00000005521
parus_major ENSPMJG00000014494
cyanistes_caeruleus ENSCCEG00000023176
taeniopygia_guttata ENSTGUG00000015111
lonchura_striata_domestica ENSLSDG00000004105
calidris_pugnax ENSCPUG00000019069
calidris_pygmaea ENSCPGG00000016933
melopsittacus_undulatus ENSMUNG00000002217
apteryx_haastii ENSAHAG00000015549
apteryx_owenii ENSAOWG00000009515
apteryx_rowi ENSARWG00000018685
dromaius_novaehollandiae ENSDNVG00000019160
nothoprocta_perdicaria ENSNPEG00000005400
crocodylus_porosus ENSCPRG00005011574
gopherus_agassizii ENSGAGG00000008501
chelonoidis_abingdonii ENSCABG00000016555
chrysemys_picta_bellii ENSCPBG00000017940
pelodiscus_sinensis ENSPSIG00000008529
xenopus_tropicalis ENSXETG00000032579
latimeria_chalumnae ENSLACG00000014281
labrus_bergylta ENSLBEG00000001303
gasterosteus_aculeatus ENSGACG00000003644
fundulus_heteroclitus ENSFHEG00000022113
cyprinodon_variegatus ENSCVAG00000017226
poecilia_mexicana ENSPMEG00000020045
poecilia_latipinna ENSPLAG00000019444
poecilia_formosa ENSPFOG00000003884
poecilia_reticulata ENSPREG00000013878
xiphophorus_maculatus ENSXMAG00000004935
xiphophorus_couchianus ENSXCOG00000015041
gambusia_affinis ENSGAFG00000013941
kryptolebias_marmoratus ENSKMAG00000017711
oryzias_latipes_asm223469v1 ENSORLG00015007700
oryzias_latipes_asm223469v1 ENSORLG00015007665
oryzias_latipes_asm223467v1 ENSORLG00000016786
oryzias_latipes_asm223471v1 ENSORLG00020017303
haplochromis_burtoni ENSHBUG00000014167
astatotilapia_calliptera ENSACLG00000006628
pundamilia_nyererei ENSPNYG00000019575
maylandia_zebra ENSMZEG00005004001
neolamprologus_brichardi ENSNBRG00000012640
oreochromis_niloticus ENSONIG00000010428
amphilophus_citrinellus ENSACIG00000010839
amphiprion_ocellaris ENSAOCG00000005996
amphiprion_percula ENSAPEG00000016958
acanthochromis_polyacanthus ENSAPOG00000010847
stegastes_partitus ENSSPAG00000021163
hippocampus_comes ENSHCOG00000001566
scophthalmus_maximus ENSSMAG00000012755
cynoglossus_semilaevis ENSCSEG00000016011
seriola_lalandi_dorsalis ENSSLDG00000011990
seriola_dumerili ENSSDUG00000006718
mastacembelus_armatus ENSMAMG00000019330
anabas_testudineus ENSATEG00000011876
anabas_testudineus ENSATEG00000011844
oryzias_melastigma ENSOMEG00000022741
labrus_bergylta ENSLBEG00000007972
periophthalmus_magnuspinnatus ENSPMGG00000023853
gadus_morhua ENSGMOG00000002815
esox_lucius ENSELUG00000004035
pygocentrus_nattereri ENSPNAG00000005249
astyanax_mexicanus ENSAMXG00000011939
ictalurus_punctatus ENSIPUG00000006295
danio_rerio ENSDARG00000040002
scleropages_formosus ENSSFOG00015017868
scleropages_formosus ENSSFOG00015017893
paramormyrops_kingsleyae ENSPKIG00000024857
monopterus_albus ENSMALG00000013512
mastacembelus_armatus ENSMAMG00000008127
anabas_testudineus ENSATEG00000020243
oryzias_latipes_asm223467v1 ENSORLG00000010537
oryzias_latipes_asm223471v1 ENSORLG00020011951
oryzias_latipes_asm223469v1 ENSORLG00015001040
oryzias_melastigma ENSOMEG00000022843
cynoglossus_semilaevis ENSCSEG00000019139
hippocampus_comes ENSHCOG00000020339
mola_mola ENSMMOG00000020972
tetraodon_nigroviridis ENSTNIG00000002895
astatotilapia_calliptera ENSACLG00000021521
pundamilia_nyererei ENSPNYG00000010379
maylandia_zebra ENSMZEG00005017563
neolamprologus_brichardi ENSNBRG00000020196
amphilophus_citrinellus ENSACIG00000008698
gasterosteus_aculeatus ENSGACG00000017517
poecilia_latipinna ENSPLAG00000022574
poecilia_formosa ENSPFOG00000019676
poecilia_mexicana ENSPMEG00000008385
poecilia_reticulata ENSPREG00000007691
xiphophorus_couchianus ENSXCOG00000004819
xiphophorus_maculatus ENSXMAG00000001213
gambusia_affinis ENSGAFG00000007002
cyprinodon_variegatus ENSCVAG00000001294
fundulus_heteroclitus ENSFHEG00000010915
kryptolebias_marmoratus ENSKMAG00000012190
scophthalmus_maximus ENSSMAG00000019446
seriola_dumerili ENSSDUG00000006638
seriola_lalandi_dorsalis ENSSLDG00000022340
labrus_bergylta ENSLBEG00000003545
amphiprion_ocellaris ENSAOCG00000016666
amphiprion_percula ENSAPEG00000006540
acanthochromis_polyacanthus ENSAPOG00000007815
stegastes_partitus ENSSPAG00000012658
periophthalmus_magnuspinnatus ENSPMGG00000024038
periophthalmus_magnuspinnatus ENSPMGG00000024037
astatotilapia_calliptera ENSACLG00000021480
haplochromis_burtoni ENSHBUG00000001348
pundamilia_nyererei ENSPNYG00000013203
neolamprologus_brichardi ENSNBRG00000020169
amphilophus_citrinellus ENSACIG00000021888
