bos_mutus ENSBMUG00000023566
bos_taurus ENSBTAG00000033481
bison_bison_bison ENSBBBG00000019670
capra_hircus ENSCHIG00000019568
sus_scrofa ENSSSCG00000032400
tursiops_truncatus ENSTTRG00000009588
myotis_lucifugus ENSMLUG00000013222
pteropus_vampyrus ENSPVAG00000013509
ursus_americanus ENSUAMG00000012775
ursus_maritimus ENSUMAG00000021194
ailuropoda_melanoleuca ENSAMEG00000007521
mustela_putorius_furo ENSMPUG00000015892
panthera_pardus ENSPPRG00000015535
panthera_tigris_altaica ENSPTIG00000009788
felis_catus ENSFCAG00000036814
equus_caballus ENSECAG00000030694
equus_asinus_asinus ENSEASG00005018503
microcebus_murinus ENSMICG00000005932
prolemur_simus ENSPSMG00000020876
propithecus_coquereli ENSPCOG00000014214
otolemur_garnettii ENSOGAG00000009850
pan_troglodytes ENSPTRG00000007577
pan_paniscus ENSPPAG00000030379
gorilla_gorilla ENSGGOG00000027309
homo_sapiens ENSG00000184471
pongo_abelii ENSPPYG00000006940
nomascus_leucogenys ENSNLEG00000008522
rhinopithecus_roxellana ENSRROG00000035549
rhinopithecus_bieti ENSRBIG00000036447
piliocolobus_tephrosceles ENSPTEG00000001920
cercocebus_atys ENSCATG00000045347
mandrillus_leucophaeus ENSMLEG00000036555
theropithecus_gelada ENSTGEG00000006073
papio_anubis ENSPANG00000023388
macaca_fascicularis ENSMFAG00000042628
macaca_nemestrina ENSMNEG00000045208
macaca_mulatta ENSMMUG00000001688
chlorocebus_sabaeus ENSCSAG00000011883
callithrix_jacchus ENSCJAG00000002657
cebus_capucinus_imitator ENSCCAG00000031548
saimiri_boliviensis_boliviensis ENSSBOG00000031870
aotus_nancymaae ENSANAG00000034200
urocitellus_parryii ENSUPAG00010014043
marmota_marmota_marmota ENSMMMG00000017687
spermophilus_dauricus ENSSDAG00000018201
castor_canadensis ENSCCNG00000015310
procavia_capensis ENSPCAG00000001861
echinops_telfairi ENSETEG00000012398
calidris_pugnax ENSCPUG00000012146
calidris_pygmaea ENSCPGG00000001013
melopsittacus_undulatus ENSMUNG00000013998
anser_brachyrhynchus ENSABRG00000014323
anas_platyrhynchos_platyrhynchos ENSAPLG00000020620
gallus_gallus ENSGALG00000005253
meleagris_gallopavo ENSMGAG00000005336
coturnix_japonica ENSCJPG00005005521
numida_meleagris ENSNMEG00000011941
lepidothrix_coronata ENSLCOG00000012696
manacus_vitellinus ENSMVIG00005013583
lonchura_striata_domestica ENSLSDG00000008910
taeniopygia_guttata ENSTGUG00000006866
serinus_canaria ENSSCAG00000006181
junco_hyemalis ENSJHYG00000004281
parus_major ENSPMJG00000017557
cyanistes_caeruleus ENSCCEG00000023106
ficedula_albicollis ENSFALG00000013659
apteryx_owenii ENSAOWG00000016167
apteryx_rowi ENSARWG00000017292
apteryx_haastii ENSAHAG00000014283
dromaius_novaehollandiae ENSDNVG00000013317
nothoprocta_perdicaria ENSNPEG00000014339
crocodylus_porosus ENSCPRG00005015018
chelonoidis_abingdonii ENSCABG00000020944
gopherus_agassizii ENSGAGG00000025566
chrysemys_picta_bellii ENSCPBG00000021064
pelodiscus_sinensis ENSPSIG00000007977
anolis_carolinensis ENSACAG00000006098
notechis_scutatus ENSNSUG00000002937
pogona_vitticeps ENSPVIG00000014503
salvator_merianae ENSSMRG00000016985
sphenodon_punctatus ENSSPUG00000005009
zonotrichia_albicollis ENSZALG00000005319
phascolarctos_cinereus ENSPCIG00000006753
notamacropus_eugenii ENSMEUG00000009713
sarcophilus_harrisii ENSSHAG00000002448
monodelphis_domestica ENSMODG00000016907
xenopus_tropicalis ENSXETG00000005727
eptatretus_burgeri ENSEBUG00000003920
