colobus_angolensis_palliatus ENSCANG00000002686
rhinopithecus_bieti ENSRBIG00000013066
cercocebus_atys ENSCATG00000017998
papio_anubis ENSPANG00000032865
mandrillus_leucophaeus ENSMLEG00000023867
theropithecus_gelada ENSTGEG00000005196
macaca_nemestrina ENSMNEG00000021330
macaca_fascicularis ENSMFAG00000027315
gorilla_gorilla ENSGGOG00000038509
homo_sapiens ENSG00000250366
aotus_nancymaae ENSANAG00000019310
prolemur_simus ENSPSMG00000023979
bison_bison_bison ENSBBBG00000022842
bos_mutus ENSBMUG00000006865
panthera_tigris_altaica ENSPTIG00000006242
panthera_pardus ENSPPRG00000021444
felis_catus ENSFCAG00000040762
neovison_vison ENSNVIG00000005234
phascolarctos_cinereus ENSPCIG00000030664
junco_hyemalis ENSJHYG00000004162
calidris_pygmaea ENSCPGG00000008299
anser_brachyrhynchus ENSABRG00000004167
apteryx_haastii ENSAHAG00000010640
sphenodon_punctatus ENSSPUG00000016111
