nannospalax_galili ENSNGAG00000010281
peromyscus_maniculatus_bairdii ENSPEMG00000018406
marmota_marmota_marmota ENSMMMG00000009195
panthera_pardus ENSPPRG00000005417
panthera_tigris_altaica ENSPTIG00000014360
felis_catus ENSFCAG00000005457
dasypus_novemcinctus ENSDNOG00000000267
loxodonta_africana ENSLAFG00000007212
ornithorhynchus_anatinus ENSOANG00000011564
sphenodon_punctatus ENSSPUG00000007818
xenopus_tropicalis ENSXETG00000034090
ciona_savignyi ENSCSAVG00000002421
drosophila_melanogaster FBgn0027512
