spermophilus_dauricus ENSSDAG00000001459
marmota_marmota_marmota ENSMMMG00000000443
ictidomys_tridecemlineatus ENSSTOG00000005544
urocitellus_parryii ENSUPAG00010013723
dipodomys_ordii ENSDORG00000029557
cricetulus_griseus_crigri-picr ENSCGRG00015009780
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018843
cricetulus_griseus_crigri_1.0 ENSCGRG00000017457
mesocricetus_auratus ENSMAUG00000007918
peromyscus_maniculatus_bairdii ENSPEMG00000028783
microtus_ochrogaster ENSMOCG00000010934
mus_spicilegus ENSMSIG00000017520
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075370
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021391
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020496
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016201
rattus_norvegicus ENSRNOG00000025990
meriones_unguiculatus ENSMUGG00000009673
nannospalax_galili ENSNGAG00000012165
jaculus_jaculus ENSJJAG00000012207
castor_canadensis ENSCCNG00000022930
urocitellus_parryii ENSUPAG00010004770
fukomys_damarensis ENSFDAG00000011017
oryctolagus_cuniculus ENSOCUG00000021383
oryctolagus_cuniculus ENSOCUG00000001361
sarcophilus_harrisii ENSSHAG00000001099
