dromaius_novaehollandiae ENSDNVG00000000093
nothoprocta_perdicaria ENSNPEG00000014163
coturnix_japonica ENSCJPG00005014966
ursus_maritimus ENSUMAG00000009056
canis_lupus_dingo ENSCAFG00020004545
sus_scrofa ENSSSCG00000028663
jaculus_jaculus ENSJJAG00000022825
rattus_norvegicus ENSRNOG00000002874
castor_canadensis ENSCCNG00000017912
octodon_degus ENSODEG00000016847
loxodonta_africana ENSLAFG00000001074
seriola_dumerili ENSSDUG00000003839
haplochromis_burtoni ENSHBUG00000012996
eptatretus_burgeri ENSEBUG00000009365
caenorhabditis_elegans_strain_n2 WBGene00012306
