meriones_unguiculatus ENSMUGG00000002990
mus_spicilegus ENSMSIG00000008700
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003224
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005450
octodon_degus ENSODEG00000003120
sphenodon_punctatus ENSSPUG00000006477
sphenodon_punctatus ENSSPUG00000006487
sphenodon_punctatus ENSSPUG00000011650
sphenodon_punctatus ENSSPUG00000006446
pogona_vitticeps ENSPVIG00000008172
pogona_vitticeps ENSPVIG00000006781
pogona_vitticeps ENSPVIG00000008171
notechis_scutatus ENSNSUG00000001103
salvator_merianae ENSSMRG00000010419
pogona_vitticeps ENSPVIG00000008162
gopherus_agassizii ENSGAGG00000007246
gopherus_agassizii ENSGAGG00000001459
gopherus_agassizii ENSGAGG00000019589
acanthochromis_polyacanthus ENSAPOG00000005987
poecilia_mexicana ENSPMEG00000014766
