heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006563
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006069
erinaceus_europaeus ENSEEUG00000009240
gorilla_gorilla ENSGGOG00000027482
nomascus_leucogenys ENSNLEG00000030884
colobus_angolensis_palliatus ENSCANG00000041172
rhinopithecus_roxellana ENSRROG00000033974
macaca_fascicularis ENSMFAG00000040995
macaca_mulatta ENSMMUG00000000331
cercocebus_atys ENSCATG00000030502
mandrillus_leucophaeus ENSMLEG00000030461
chinchilla_lanigera ENSCLAG00000008943
cavia_aperea ENSCAPG00000014062
octodon_degus ENSODEG00000003165
octodon_degus ENSODEG00000016828
octodon_degus ENSODEG00000005033
octodon_degus ENSODEG00000000221
microtus_ochrogaster ENSMOCG00000010964
pan_paniscus ENSPPAG00000040638
pan_troglodytes ENSPTRG00000045571
gorilla_gorilla ENSGGOG00000038737
piliocolobus_tephrosceles ENSPTEG00000028713
propithecus_coquereli ENSPCOG00000019414
mus_spicilegus ENSMSIG00000000720
sarcophilus_harrisii ENSSHAG00000009452
canis_lupus_dingo ENSCAFG00020008822
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012009
stegastes_partitus ENSSPAG00000005240
