maylandia_zebra ENSMZEG00005015865
anabas_testudineus ENSATEG00000013285
ictalurus_punctatus ENSIPUG00000017602
scleropages_formosus ENSSFOG00015019326
nannospalax_galili ENSNGAG00000000981
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006690
mus_spicilegus ENSMSIG00000020426
aotus_nancymaae ENSANAG00000020250
saimiri_boliviensis_boliviensis ENSSBOG00000025406
macaca_fascicularis ENSMFAG00000001872
macaca_nemestrina ENSMNEG00000007919
mandrillus_leucophaeus ENSMLEG00000040312
colobus_angolensis_palliatus ENSCANG00000041889
carlito_syrichta ENSTSYG00000025627
rhinopithecus_roxellana ENSRROG00000030532
cercocebus_atys ENSCATG00000017157
nomascus_leucogenys ENSNLEG00000033258
pan_troglodytes ENSPTRG00000045915
propithecus_coquereli ENSPCOG00000018425
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006044
cavia_porcellus ENSCPOG00000035797
equus_caballus ENSECAG00000038199
equus_asinus_asinus ENSEASG00005023469
vulpes_vulpes ENSVVUG00000010866
canis_lupus_dingo ENSCAFG00020016307
sus_scrofa ENSSSCG00000036912
serinus_canaria ENSSCAG00000008312
