chelonoidis_abingdonii ENSCABG00000016331
gopherus_agassizii ENSGAGG00000001252
chrysemys_picta_bellii ENSCPBG00000012930
pelodiscus_sinensis ENSPSIG00000002159
pogona_vitticeps ENSPVIG00000017875
notechis_scutatus ENSNSUG00000016850
salvator_merianae ENSSMRG00000002036
sphenodon_punctatus ENSSPUG00000010099
cavia_aperea ENSCAPG00000010232
cavia_porcellus ENSCPOG00000038085
octodon_degus ENSODEG00000012269
chinchilla_lanigera ENSCLAG00000015642
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001947
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008068
fukomys_damarensis ENSFDAG00000020064
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032281
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031840
mus_spicilegus ENSMSIG00000032075
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031163
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021628
rattus_norvegicus ENSRNOG00000019433
meriones_unguiculatus ENSMUGG00000013968
peromyscus_maniculatus_bairdii ENSPEMG00000021028
microtus_ochrogaster ENSMOCG00000016750
cricetulus_griseus_crigri_1.0 ENSCGRG00000015298
cricetulus_griseus_crigri-picr ENSCGRG00015001232
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021376
mesocricetus_auratus ENSMAUG00000005339
nannospalax_galili ENSNGAG00000020872
propithecus_coquereli ENSPCOG00000013539
microcebus_murinus ENSMICG00000047037
prolemur_simus ENSPSMG00000025469
castor_canadensis ENSCCNG00000026290
jaculus_jaculus ENSJJAG00000018501
pan_troglodytes ENSPTRG00000010697
pan_paniscus ENSPPAG00000028870
homo_sapiens ENSG00000105649
gorilla_gorilla ENSGGOG00000008890
pongo_abelii ENSPPYG00000009733
nomascus_leucogenys ENSNLEG00000005947
theropithecus_gelada ENSTGEG00000013856
mandrillus_leucophaeus ENSMLEG00000040567
chlorocebus_sabaeus ENSCSAG00000005381
papio_anubis ENSPANG00000009376
macaca_mulatta ENSMMUG00000005027
macaca_fascicularis ENSMFAG00000030826
macaca_nemestrina ENSMNEG00000030363
piliocolobus_tephrosceles ENSPTEG00000030465
rhinopithecus_roxellana ENSRROG00000028696
colobus_angolensis_palliatus ENSCANG00000031003
cercocebus_atys ENSCATG00000042078
rhinopithecus_bieti ENSRBIG00000029506
cebus_capucinus_imitator ENSCCAG00000025412
saimiri_boliviensis_boliviensis ENSSBOG00000022908
callithrix_jacchus ENSCJAG00000041641
aotus_nancymaae ENSANAG00000030989
otolemur_garnettii ENSOGAG00000010208
tupaia_belangeri ENSTBEG00000015207
ictidomys_tridecemlineatus ENSSTOG00000002981
spermophilus_dauricus ENSSDAG00000010029
marmota_marmota_marmota ENSMMMG00000001289
urocitellus_parryii ENSUPAG00010018778
ursus_americanus ENSUAMG00000027365
ursus_maritimus ENSUMAG00000009464
ailuropoda_melanoleuca ENSAMEG00000011085
mustela_putorius_furo ENSMPUG00000015711
neovison_vison ENSNVIG00000017588
canis_lupus_dingo ENSCAFG00020012068
canis_lupus_familiaris ENSCAFG00000014945
vulpes_vulpes ENSVVUG00000008188
panthera_pardus ENSPPRG00000004866
panthera_tigris_altaica ENSPTIG00000004193
felis_catus ENSFCAG00000002479
capra_hircus ENSCHIG00000007327
ovis_aries ENSOARG00000013177
bos_mutus ENSBMUG00000012359
bos_taurus ENSBTAG00000010635
bison_bison_bison ENSBBBG00000010744
tursiops_truncatus ENSTTRG00000012431
sus_scrofa ENSSSCG00000013897
myotis_lucifugus ENSMLUG00000003982
loxodonta_africana ENSLAFG00000013618
procavia_capensis ENSPCAG00000009281
equus_caballus ENSECAG00000023115
equus_asinus_asinus ENSEASG00005006221
ochotona_princeps ENSOPRG00000014772
dipodomys_ordii ENSDORG00000009070
carlito_syrichta ENSTSYG00000031701
dasypus_novemcinctus ENSDNOG00000043194
echinops_telfairi ENSETEG00000013842
notamacropus_eugenii ENSMEUG00000014056
phascolarctos_cinereus ENSPCIG00000012260
sarcophilus_harrisii ENSSHAG00000010227
monodelphis_domestica ENSMODG00000003214
ornithorhynchus_anatinus ENSOANG00000001291
pygocentrus_nattereri ENSPNAG00000016566
astyanax_mexicanus ENSAMXG00000016945
ictalurus_punctatus ENSIPUG00000005329
danio_rerio ENSDARG00000043835
astyanax_mexicanus ENSAMXG00000043573
pygocentrus_nattereri ENSPNAG00000000150
ictalurus_punctatus ENSIPUG00000008248
danio_rerio ENSDARG00000056347
scleropages_formosus ENSSFOG00015021049
paramormyrops_kingsleyae ENSPKIG00000006212
esox_lucius ENSELUG00000020770
gadus_morhua ENSGMOG00000011179
takifugu_rubripes ENSTRUG00000011189
mola_mola ENSMMOG00000007553
labrus_bergylta ENSLBEG00000028160
fundulus_heteroclitus ENSFHEG00000016398
cyprinodon_variegatus ENSCVAG00000000295
xiphophorus_couchianus ENSXCOG00000005779
xiphophorus_maculatus ENSXMAG00000023647
gambusia_affinis ENSGAFG00000004950
poecilia_formosa ENSPFOG00000000350
poecilia_latipinna ENSPLAG00000016314
poecilia_mexicana ENSPMEG00000007451
poecilia_reticulata ENSPREG00000011395
kryptolebias_marmoratus ENSKMAG00000005094
oryzias_latipes_asm223467v1 ENSORLG00000008371
oryzias_latipes_asm223471v1 ENSORLG00020014853
oryzias_latipes_asm223469v1 ENSORLG00015010251
oryzias_melastigma ENSOMEG00000003588
mastacembelus_armatus ENSMAMG00000006154
monopterus_albus ENSMALG00000018196
anabas_testudineus ENSATEG00000016526
cynoglossus_semilaevis ENSCSEG00000016102
amphiprion_percula ENSAPEG00000006195
amphiprion_ocellaris ENSAOCG00000006464
acanthochromis_polyacanthus ENSAPOG00000024078
stegastes_partitus ENSSPAG00000011661
maylandia_zebra ENSMZEG00005016480
astatotilapia_calliptera ENSACLG00000022842
pundamilia_nyererei ENSPNYG00000016958
haplochromis_burtoni ENSHBUG00000014123
neolamprologus_brichardi ENSNBRG00000024399
oreochromis_niloticus ENSONIG00000012719
amphilophus_citrinellus ENSACIG00000010910
seriola_dumerili ENSSDUG00000009466
seriola_lalandi_dorsalis ENSSLDG00000006642
scophthalmus_maximus ENSSMAG00000021022
hippocampus_comes ENSHCOG00000008803
gasterosteus_aculeatus ENSGACG00000008173
tetraodon_nigroviridis ENSTNIG00000010193
esox_lucius ENSELUG00000012788
periophthalmus_magnuspinnatus ENSPMGG00000022076
takifugu_rubripes ENSTRUG00000020920
tetraodon_nigroviridis ENSTNIG00000011073
oryzias_latipes_asm223467v1 ENSORLG00000005469
oryzias_latipes_asm223469v1 ENSORLG00015005130
oryzias_latipes_asm223471v1 ENSORLG00020022035
oryzias_melastigma ENSOMEG00000017758
scophthalmus_maximus ENSSMAG00000005141
cynoglossus_semilaevis ENSCSEG00000017271
seriola_lalandi_dorsalis ENSSLDG00000020924
seriola_lalandi_dorsalis ENSSLDG00000013046
seriola_dumerili ENSSDUG00000013259
mastacembelus_armatus ENSMAMG00000006185
monopterus_albus ENSMALG00000000306
anabas_testudineus ENSATEG00000017947
mola_mola ENSMMOG00000007240
gasterosteus_aculeatus ENSGACG00000015513
labrus_bergylta ENSLBEG00000014792
astatotilapia_calliptera ENSACLG00000007231
maylandia_zebra ENSMZEG00005003592
pundamilia_nyererei ENSPNYG00000003624
neolamprologus_brichardi ENSNBRG00000000839
oreochromis_niloticus ENSONIG00000010456
amphilophus_citrinellus ENSACIG00000020019
amphiprion_percula ENSAPEG00000016297
amphiprion_ocellaris ENSAOCG00000018573
acanthochromis_polyacanthus ENSAPOG00000000673
stegastes_partitus ENSSPAG00000000006
poecilia_latipinna ENSPLAG00000019317
poecilia_formosa ENSPFOG00000011744
poecilia_mexicana ENSPMEG00000006924
poecilia_reticulata ENSPREG00000009890
gambusia_affinis ENSGAFG00000012759
xiphophorus_maculatus ENSXMAG00000028167
xiphophorus_couchianus ENSXCOG00000007065
fundulus_heteroclitus ENSFHEG00000006252
kryptolebias_marmoratus ENSKMAG00000016175
poecilia_latipinna ENSPLAG00000022533
haplochromis_burtoni ENSHBUG00000014437
hippocampus_comes ENSHCOG00000002125
periophthalmus_magnuspinnatus ENSPMGG00000017340
gadus_morhua ENSGMOG00000000685
lepisosteus_oculatus ENSLOCG00000001958
latimeria_chalumnae ENSLACG00000000337
xenopus_tropicalis ENSXETG00000012930
seriola_lalandi_dorsalis ENSSLDG00000005143
anser_brachyrhynchus ENSABRG00000001610
cyanistes_caeruleus ENSCCEG00000003615
serinus_canaria ENSSCAG00000015714
salvator_merianae ENSSMRG00000022949
cyprinodon_variegatus ENSCVAG00000005892
periophthalmus_magnuspinnatus ENSPMGG00000013029
apteryx_haastii ENSAHAG00000006622
nothoprocta_perdicaria ENSNPEG00000011450
dromaius_novaehollandiae ENSDNVG00000011505
gallus_gallus ENSGALG00000030068
coturnix_japonica ENSCJPG00005011904
numida_meleagris ENSNMEG00000003939
anas_platyrhynchos_platyrhynchos ENSAPLG00000030234
calidris_pugnax ENSCPUG00000015648
calidris_pygmaea ENSCPGG00000010823
melopsittacus_undulatus ENSMUNG00000001616
parus_major ENSPMJG00000011732
lepidothrix_coronata ENSLCOG00000007766
lonchura_striata_domestica ENSLSDG00000011187
serinus_canaria ENSSCAG00000015711
manacus_vitellinus ENSMVIG00005007379
apteryx_owenii ENSAOWG00000013930
apteryx_rowi ENSARWG00000018749
manacus_vitellinus ENSMVIG00005019447
junco_hyemalis ENSJHYG00000006072
crocodylus_porosus ENSCPRG00005015806
eptatretus_burgeri ENSEBUG00000002395
