maylandia_zebra ENSMZEG00005010728
astatotilapia_calliptera ENSACLG00000019811
pundamilia_nyererei ENSPNYG00000019535
neolamprologus_brichardi ENSNBRG00000022708
acanthochromis_polyacanthus ENSAPOG00000010880
poecilia_mexicana ENSPMEG00000008016
poecilia_latipinna ENSPLAG00000005188
xiphophorus_maculatus ENSXMAG00000026384
fundulus_heteroclitus ENSFHEG00000006572
oryzias_latipes_asm223467v1 ENSORLG00000026944
anabas_testudineus ENSATEG00000016494
takifugu_rubripes ENSTRUG00000019547
esox_lucius ENSELUG00000016164
paramormyrops_kingsleyae ENSPKIG00000023823
