gorilla_gorilla ENSGGOG00000014929
homo_sapiens ENSG00000284395
pan_troglodytes ENSPTRG00000052156
pan_paniscus ENSPPAG00000011265
pongo_abelii ENSPPYG00000006952
nomascus_leucogenys ENSNLEG00000030883
macaca_fascicularis ENSMFAG00000039312
macaca_nemestrina ENSMNEG00000002629
papio_anubis ENSPANG00000034104
cercocebus_atys ENSCATG00000014112
callithrix_jacchus ENSCJAG00000038190
propithecus_coquereli ENSPCOG00000019562
meriones_unguiculatus ENSMUGG00000016180
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000114245
cricetulus_griseus_crigri-picr ENSCGRG00015016575
peromyscus_maniculatus_bairdii ENSPEMG00000028044
castor_canadensis ENSCCNG00000031286
urocitellus_parryii ENSUPAG00010014611
spermophilus_dauricus ENSSDAG00000017021
marmota_marmota_marmota ENSMMMG00000015837
panthera_pardus ENSPPRG00000013524
felis_catus ENSFCAG00000043313
sarcophilus_harrisii ENSSHAG00000009782
latimeria_chalumnae ENSLACG00000012692
lepisosteus_oculatus ENSLOCG00000006402
