neolamprologus_brichardi ENSNBRG00000008362
cyprinodon_variegatus ENSCVAG00000008277
poecilia_latipinna ENSPLAG00000005557
poecilia_mexicana ENSPMEG00000016870
poecilia_reticulata ENSPREG00000017591
gambusia_affinis ENSGAFG00000015760
xiphophorus_maculatus ENSXMAG00000024111
fundulus_heteroclitus ENSFHEG00000007193
oryzias_latipes_asm223471v1 ENSORLG00020015031
oryzias_latipes_asm223469v1 ENSORLG00015007183
amphiprion_percula ENSAPEG00000022452
seriola_dumerili ENSSDUG00000013275
seriola_lalandi_dorsalis ENSSLDG00000014886
cynoglossus_semilaevis ENSCSEG00000010256
anabas_testudineus ENSATEG00000012937
hippocampus_comes ENSHCOG00000000929
