mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071471
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021814
mus_spicilegus ENSMSIG00000012203
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020908
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016612
rattus_norvegicus ENSRNOG00000048212
meriones_unguiculatus ENSMUGG00000005591
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018997
cricetulus_griseus_crigri-picr ENSCGRG00015022934
cricetulus_griseus_crigri_1.0 ENSCGRG00000015076
peromyscus_maniculatus_bairdii ENSPEMG00000000988
spermophilus_dauricus ENSSDAG00000012790
spermophilus_dauricus ENSSDAG00000021585
urocitellus_parryii ENSUPAG00010002158
marmota_marmota_marmota ENSMMMG00000018285
oryctolagus_cuniculus ENSOCUG00000008319
theropithecus_gelada ENSTGEG00000027814
theropithecus_gelada ENSTGEG00000027802
macaca_mulatta ENSMMUG00000045755
macaca_mulatta ENSMMUG00000048758
macaca_fascicularis ENSMFAG00000018417
papio_anubis ENSPANG00000023817
chlorocebus_sabaeus ENSCSAG00000018701
rhinopithecus_roxellana ENSRROG00000019707
rhinopithecus_roxellana ENSRROG00000023712
pan_troglodytes ENSPTRG00000023081
pan_paniscus ENSPPAG00000032463
homo_sapiens ENSG00000197683
gorilla_gorilla ENSGGOG00000000720
pongo_abelii ENSPPYG00000011329
nomascus_leucogenys ENSNLEG00000033841
callithrix_jacchus ENSCJAG00000038290
prolemur_simus ENSPSMG00000007117
canis_lupus_familiaris ENSCAFG00000008826
ailuropoda_melanoleuca ENSAMEG00000018887
panthera_tigris_altaica ENSPTIG00000004981
panthera_pardus ENSPPRG00000012048
felis_catus ENSFCAG00000040719
pteropus_vampyrus ENSPVAG00000000974
sus_scrofa ENSSSCG00000034268
sus_scrofa ENSSSCG00000033712
sus_scrofa ENSSSCG00000037331
tursiops_truncatus ENSTTRG00000013285
vicugna_pacos ENSVPAG00000012427
erinaceus_europaeus ENSEEUG00000005805
sorex_araneus ENSSARG00000011389
procavia_capensis ENSPCAG00000008660
procavia_capensis ENSPCAG00000013781
echinops_telfairi ENSETEG00000002117
dasypus_novemcinctus ENSDNOG00000014734
choloepus_hoffmanni ENSCHOG00000012144
