macaca_mulatta ENSMMUG00000042861
mandrillus_leucophaeus ENSMLEG00000027343
vulpes_vulpes ENSVVUG00000008656
zonotrichia_albicollis ENSZALG00000009169
cyanistes_caeruleus ENSCCEG00000021276
manacus_vitellinus ENSMVIG00005010726
anser_brachyrhynchus ENSABRG00000017185
xenopus_tropicalis ENSXETG00000034077
serinus_canaria ENSSCAG00000000474
melopsittacus_undulatus ENSMUNG00000012977
calidris_pygmaea ENSCPGG00000013621
taeniopygia_guttata ENSTGUG00000017372
ficedula_albicollis ENSFALG00000008075
junco_hyemalis ENSJHYG00000015101
parus_major ENSPMJG00000018688
lepidothrix_coronata ENSLCOG00000010222
taeniopygia_guttata ENSTGUG00000017371
gallus_gallus ENSGALG00000036587
meleagris_gallopavo ENSMGAG00000002905
coturnix_japonica ENSCJPG00005021375
numida_meleagris ENSNMEG00000016171
dromaius_novaehollandiae ENSDNVG00000015632
nothoprocta_perdicaria ENSNPEG00000014692
apteryx_haastii ENSAHAG00000009415
apteryx_rowi ENSARWG00000004297
calidris_pugnax ENSCPUG00000017459
crocodylus_porosus ENSCPRG00005007367
crocodylus_porosus ENSCPRG00005007356
ochotona_princeps ENSOPRG00000009780
oryctolagus_cuniculus ENSOCUG00000005182
cavia_aperea ENSCAPG00000009669
pteropus_vampyrus ENSPVAG00000012215
choloepus_hoffmanni ENSCHOG00000012355
prolemur_simus ENSPSMG00000007646
microcebus_murinus ENSMICG00000017555
propithecus_coquereli ENSPCOG00000006907
cebus_capucinus_imitator ENSCCAG00000032265
saimiri_boliviensis_boliviensis ENSSBOG00000023712
callithrix_jacchus ENSCJAG00000007973
aotus_nancymaae ENSANAG00000026458
equus_caballus ENSECAG00000000218
equus_asinus_asinus ENSEASG00005016199
sus_scrofa ENSSSCG00000015536
pan_paniscus ENSPPAG00000043845
pan_troglodytes ENSPTRG00000001740
gorilla_gorilla ENSGGOG00000013931
homo_sapiens ENSG00000121454
pongo_abelii ENSPPYG00000000451
nomascus_leucogenys ENSNLEG00000015953
piliocolobus_tephrosceles ENSPTEG00000005659
colobus_angolensis_palliatus ENSCANG00000016518
rhinopithecus_roxellana ENSRROG00000043477
rhinopithecus_bieti ENSRBIG00000032888
cercocebus_atys ENSCATG00000045236
chlorocebus_sabaeus ENSCSAG00000012389
macaca_nemestrina ENSMNEG00000040868
macaca_fascicularis ENSMFAG00000040765
theropithecus_gelada ENSTGEG00000026884
papio_anubis ENSPANG00000011378
otolemur_garnettii ENSOGAG00000016064
apteryx_owenii ENSAOWG00000015944
chrysemys_picta_bellii ENSCPBG00000005451
ornithorhynchus_anatinus ENSOANG00000000969
castor_canadensis ENSCCNG00000026560
dipodomys_ordii ENSDORG00000023280
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002307
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009524
fukomys_damarensis ENSFDAG00000003446
cavia_porcellus ENSCPOG00000002285
chinchilla_lanigera ENSCLAG00000014634
octodon_degus ENSODEG00000002985
cricetulus_griseus_crigri_1.0 ENSCGRG00000010523
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015645
cricetulus_griseus_crigri-picr ENSCGRG00015016142
peromyscus_maniculatus_bairdii ENSPEMG00000007749
microtus_ochrogaster ENSMOCG00000020771
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026468
mus_spicilegus ENSMSIG00000013904
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015534
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014727
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027963
rattus_norvegicus ENSRNOG00000003595
nannospalax_galili ENSNGAG00000004174
ictidomys_tridecemlineatus ENSSTOG00000015761
urocitellus_parryii ENSUPAG00010003955
spermophilus_dauricus ENSSDAG00000007209
marmota_marmota_marmota ENSMMMG00000015816
ursus_americanus ENSUAMG00000016704
ursus_maritimus ENSUMAG00000017412
ailuropoda_melanoleuca ENSAMEG00000002919
tursiops_truncatus ENSTTRG00000012291
panthera_pardus ENSPPRG00000013805
panthera_tigris_altaica ENSPTIG00000020936
felis_catus ENSFCAG00000036053
canis_lupus_dingo ENSCAFG00020014557
ovis_aries ENSOARG00000018191
capra_hircus ENSCHIG00000016949
bos_mutus ENSBMUG00000014784
bos_taurus ENSBTAG00000003992
myotis_lucifugus ENSMLUG00000000926
echinops_telfairi ENSETEG00000014990
vicugna_pacos ENSVPAG00000010060
bison_bison_bison ENSBBBG00000001534
canis_lupus_familiaris ENSCAFG00000012750
carlito_syrichta ENSTSYG00000010536
loxodonta_africana ENSLAFG00000015360
meriones_unguiculatus ENSMUGG00000012714
neovison_vison ENSNVIG00000018662
mustela_putorius_furo ENSMPUG00000011451
erinaceus_europaeus ENSEEUG00000013869
jaculus_jaculus ENSJJAG00000011755
dasypus_novemcinctus ENSDNOG00000038172
procavia_capensis ENSPCAG00000011090
pogona_vitticeps ENSPVIG00000018725
anolis_carolinensis ENSACAG00000000857
notechis_scutatus ENSNSUG00000014253
salvator_merianae ENSSMRG00000011116
sphenodon_punctatus ENSSPUG00000017888
notamacropus_eugenii ENSMEUG00000002639
phascolarctos_cinereus ENSPCIG00000011487
monodelphis_domestica ENSMODG00000006371
chelonoidis_abingdonii ENSCABG00000010255
gopherus_agassizii ENSGAGG00000002492
pelodiscus_sinensis ENSPSIG00000010498
mandrillus_leucophaeus ENSMLEG00000038342
vulpes_vulpes ENSVVUG00000008659
mesocricetus_auratus ENSMAUG00000013032
sarcophilus_harrisii ENSSHAG00000010646
apteryx_owenii ENSAOWG00000015940
lonchura_striata_domestica ENSLSDG00000011188
chrysemys_picta_bellii ENSCPBG00000025771
latimeria_chalumnae ENSLACG00000009155
gasterosteus_aculeatus ENSGACG00000010846
labrus_bergylta ENSLBEG00000004704
takifugu_rubripes ENSTRUG00000010188
tetraodon_nigroviridis ENSTNIG00000015501
seriola_lalandi_dorsalis ENSSLDG00000003488
pundamilia_nyererei ENSPNYG00000008126
haplochromis_burtoni ENSHBUG00000021645
astatotilapia_calliptera ENSACLG00000022518
oreochromis_niloticus ENSONIG00000001917
amphilophus_citrinellus ENSACIG00000007782
amphiprion_percula ENSAPEG00000002152
amphiprion_ocellaris ENSAOCG00000002605
acanthochromis_polyacanthus ENSAPOG00000016552
poecilia_reticulata ENSPREG00000017901
poecilia_latipinna ENSPLAG00000012705
xiphophorus_maculatus ENSXMAG00000018968
fundulus_heteroclitus ENSFHEG00000005148
kryptolebias_marmoratus ENSKMAG00000022219
oryzias_latipes_asm223467v1 ENSORLG00000017360
oryzias_latipes_asm223469v1 ENSORLG00015009308
oryzias_latipes_asm223471v1 ENSORLG00020012885
oryzias_melastigma ENSOMEG00000011334
mastacembelus_armatus ENSMAMG00000004577
scophthalmus_maximus ENSSMAG00000005678
cynoglossus_semilaevis ENSCSEG00000013892
seriola_dumerili ENSSDUG00000000595
anabas_testudineus ENSATEG00000007338
monopterus_albus ENSMALG00000015728
mola_mola ENSMMOG00000019957
poecilia_formosa ENSPFOG00000008766
poecilia_formosa ENSPFOG00000008745
poecilia_formosa ENSPFOG00000009126
xiphophorus_couchianus ENSXCOG00000000450
gambusia_affinis ENSGAFG00000014428
poecilia_mexicana ENSPMEG00000017329
cyprinodon_variegatus ENSCVAG00000022366
neolamprologus_brichardi ENSNBRG00000014511
maylandia_zebra ENSMZEG00005003934
stegastes_partitus ENSSPAG00000002666
hippocampus_comes ENSHCOG00000002923
periophthalmus_magnuspinnatus ENSPMGG00000006312
gadus_morhua ENSGMOG00000013733
esox_lucius ENSELUG00000008898
danio_rerio ENSDARG00000039458
paramormyrops_kingsleyae ENSPKIG00000001277
scleropages_formosus ENSSFOG00015017224
lepisosteus_oculatus ENSLOCG00000009245
pygocentrus_nattereri ENSPNAG00000017218
astyanax_mexicanus ENSAMXG00000034589
ictalurus_punctatus ENSIPUG00000017217
scleropages_formosus ENSSFOG00015016940
petromyzon_marinus ENSPMAG00000010245
