cavia_aperea ENSCAPG00000016255
cavia_porcellus ENSCPOG00000027075
cavia_porcellus ENSCPOG00000022838
cavia_porcellus ENSCPOG00000019503
cavia_porcellus ENSCPOG00000025441
chinchilla_lanigera ENSCLAG00000014034
cricetulus_griseus_crigri_1.0 ENSCGRG00000017195
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022487
peromyscus_maniculatus_bairdii ENSPEMG00000021552
rattus_norvegicus ENSRNOG00000050003
rattus_norvegicus ENSRNOG00000033494
rattus_norvegicus ENSRNOG00000049200
rattus_norvegicus ENSRNOG00000037155
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000091620
mus_spicilegus ENSMSIG00000016263
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029875
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096630
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094672
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029874
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022594
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072780
mus_spicilegus ENSMSIG00000016297
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029876
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022595
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072778
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029877
mus_spicilegus ENSMSIG00000020714
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022596
mus_spicilegus ENSMSIG00000016228
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000091260
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094145
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000093820
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095486
mus_spicilegus ENSMSIG00000016238
rattus_norvegicus ENSRNOG00000028538
urocitellus_parryii ENSUPAG00010020719
ictidomys_tridecemlineatus ENSSTOG00000019508
marmota_marmota_marmota ENSMMMG00000010622
dasypus_novemcinctus ENSDNOG00000037871
dasypus_novemcinctus ENSDNOG00000048716
dasypus_novemcinctus ENSDNOG00000036294
dasypus_novemcinctus ENSDNOG00000037366
dasypus_novemcinctus ENSDNOG00000046879
