acanthochromis_polyacanthus ENSAPOG00000004908
stegastes_partitus ENSSPAG00000021560
cyprinodon_variegatus ENSCVAG00000011889
fundulus_heteroclitus ENSFHEG00000004485
anabas_testudineus ENSATEG00000019641
anabas_testudineus ENSATEG00000019672
pundamilia_nyererei ENSPNYG00000023726
haplochromis_burtoni ENSHBUG00000004264
haplochromis_burtoni ENSHBUG00000021819
neolamprologus_brichardi ENSNBRG00000012147
pundamilia_nyererei ENSPNYG00000024155
oreochromis_niloticus ENSONIG00000001527
pundamilia_nyererei ENSPNYG00000011251
haplochromis_burtoni ENSHBUG00000000505
amphilophus_citrinellus ENSACIG00000000877
amphilophus_citrinellus ENSACIG00000007070
scophthalmus_maximus ENSSMAG00000018251
pundamilia_nyererei ENSPNYG00000012099
haplochromis_burtoni ENSHBUG00000014709
oreochromis_niloticus ENSONIG00000006701
xiphophorus_maculatus ENSXMAG00000013601
gambusia_affinis ENSGAFG00000021638
poecilia_formosa ENSPFOG00000024368
anabas_testudineus ENSATEG00000020346
anabas_testudineus ENSATEG00000020338
anabas_testudineus ENSATEG00000020359
mastacembelus_armatus ENSMAMG00000018697
seriola_lalandi_dorsalis ENSSLDG00000013633
esox_lucius ENSELUG00000015244
pygocentrus_nattereri ENSPNAG00000023228
