heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000358
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000047
fukomys_damarensis ENSFDAG00000001212
chinchilla_lanigera ENSCLAG00000002336
cavia_porcellus ENSCPOG00000039571
cavia_porcellus ENSCPOG00000031473
cavia_porcellus ENSCPOG00000023631
cavia_aperea ENSCAPG00000007233
cavia_porcellus ENSCPOG00000039448
spermophilus_dauricus ENSSDAG00000012687
spermophilus_dauricus ENSSDAG00000013386
ictidomys_tridecemlineatus ENSSTOG00000026896
urocitellus_parryii ENSUPAG00010012864
urocitellus_parryii ENSUPAG00010012877
marmota_marmota_marmota ENSMMMG00000008181
cricetulus_griseus_crigri_1.0 ENSCGRG00000005815
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012224
cricetulus_griseus_crigri-picr ENSCGRG00015008884
mesocricetus_auratus ENSMAUG00000006587
peromyscus_maniculatus_bairdii ENSPEMG00000006239
microtus_ochrogaster ENSMOCG00000018561
meriones_unguiculatus ENSMUGG00000025363
ochotona_princeps ENSOPRG00000015346
ochotona_princeps ENSOPRG00000008178
myotis_lucifugus ENSMLUG00000022192
ovis_aries ENSOARG00000015647
capra_hircus ENSCHIG00000011302
bison_bison_bison ENSBBBG00000005881
bos_mutus ENSBMUG00000018091
bos_taurus ENSBTAG00000006986
sus_scrofa ENSSSCG00000035409
myotis_lucifugus ENSMLUG00000026734
ursus_americanus ENSUAMG00000028216
ursus_maritimus ENSUMAG00000005025
ailuropoda_melanoleuca ENSAMEG00000002000
mustela_putorius_furo ENSMPUG00000009625
neovison_vison ENSNVIG00000004236
canis_lupus_dingo ENSCAFG00020003317
canis_lupus_familiaris ENSCAFG00000025260
vulpes_vulpes ENSVVUG00000007870
panthera_pardus ENSPPRG00000012847
panthera_tigris_altaica ENSPTIG00000022011
felis_catus ENSFCAG00000023025
equus_caballus ENSECAG00000039123
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000053054
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026635
mus_spicilegus ENSMSIG00000010237
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025680
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027129
rattus_norvegicus ENSRNOG00000012281
meriones_unguiculatus ENSMUGG00000025359
peromyscus_maniculatus_bairdii ENSPEMG00000000326
microtus_ochrogaster ENSMOCG00000016098
cricetulus_griseus_crigri-picr ENSCGRG00015008868
cricetulus_griseus_crigri_1.0 ENSCGRG00000009000
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013383
mesocricetus_auratus ENSMAUG00000007729
nannospalax_galili ENSNGAG00000013297
fukomys_damarensis ENSFDAG00000001783
castor_canadensis ENSCCNG00000012775
dipodomys_ordii ENSDORG00000026496
loxodonta_africana ENSLAFG00000025758
echinops_telfairi ENSETEG00000005633
oryctolagus_cuniculus ENSOCUG00000029646
sarcophilus_harrisii ENSSHAG00000004291
sarcophilus_harrisii ENSSHAG00000005258
phascolarctos_cinereus ENSPCIG00000036569
phascolarctos_cinereus ENSPCIG00000035356
monodelphis_domestica ENSMODG00000020714
ornithorhynchus_anatinus ENSOANG00000000234
loxodonta_africana ENSLAFG00000008679
calidris_pygmaea ENSCPGG00000004497
calidris_pugnax ENSCPUG00000017048
gallus_gallus ENSGALG00000054856
coturnix_japonica ENSCJPG00005006947
gallus_gallus ENSGALG00000020160
numida_meleagris ENSNMEG00000006861
manacus_vitellinus ENSMVIG00005000562
manacus_vitellinus ENSMVIG00005000599
calidris_pugnax ENSCPUG00000017049
coturnix_japonica ENSCJPG00005006946
manacus_vitellinus ENSMVIG00005000616
manacus_vitellinus ENSMVIG00005000634
lepidothrix_coronata ENSLCOG00000001901
manacus_vitellinus ENSMVIG00005000647
junco_hyemalis ENSJHYG00000010088
zonotrichia_albicollis ENSZALG00000005653
serinus_canaria ENSSCAG00000014044
zonotrichia_albicollis ENSZALG00000004393
junco_hyemalis ENSJHYG00000010092
serinus_canaria ENSSCAG00000014039
lonchura_striata_domestica ENSLSDG00000009991
taeniopygia_guttata ENSTGUG00000016861
cyanistes_caeruleus ENSCCEG00000021483
cyanistes_caeruleus ENSCCEG00000021482
parus_major ENSPMJG00000009577
ficedula_albicollis ENSFALG00000006218
apteryx_haastii ENSAHAG00000013938
apteryx_rowi ENSARWG00000017575
apteryx_owenii ENSAOWG00000005984
dromaius_novaehollandiae ENSDNVG00000007906
