urocitellus_parryii ENSUPAG00010000686
spermophilus_dauricus ENSSDAG00000003120
marmota_marmota_marmota ENSMMMG00000015774
ictidomys_tridecemlineatus ENSSTOG00000013703
castor_canadensis ENSCCNG00000011683
oryctolagus_cuniculus ENSOCUG00000029676
tupaia_belangeri ENSTBEG00000014956
pan_troglodytes ENSPTRG00000003310
pan_paniscus ENSPPAG00000038017
gorilla_gorilla ENSGGOG00000027451
homo_sapiens ENSG00000149050
pongo_abelii ENSPPYG00000003523
nomascus_leucogenys ENSNLEG00000017477
theropithecus_gelada ENSTGEG00000019416
papio_anubis ENSPANG00000005949
cercocebus_atys ENSCATG00000014195
mandrillus_leucophaeus ENSMLEG00000039377
macaca_nemestrina ENSMNEG00000026996
macaca_mulatta ENSMMUG00000009267
macaca_fascicularis ENSMFAG00000040022
chlorocebus_sabaeus ENSCSAG00000004378
piliocolobus_tephrosceles ENSPTEG00000000441
colobus_angolensis_palliatus ENSCANG00000036883
rhinopithecus_roxellana ENSRROG00000038297
rhinopithecus_bieti ENSRBIG00000040772
cebus_capucinus_imitator ENSCCAG00000004613
saimiri_boliviensis_boliviensis ENSSBOG00000030822
callithrix_jacchus ENSCJAG00000013790
aotus_nancymaae ENSANAG00000023345
carlito_syrichta ENSTSYG00000009032
propithecus_coquereli ENSPCOG00000023321
microcebus_murinus ENSMICG00000029940
prolemur_simus ENSPSMG00000010271
otolemur_garnettii ENSOGAG00000012820
sorex_araneus ENSSARG00000012118
erinaceus_europaeus ENSEEUG00000008781
ovis_aries ENSOARG00000016339
capra_hircus ENSCHIG00000013511
bison_bison_bison ENSBBBG00000013663
bos_mutus ENSBMUG00000009536
bos_taurus ENSBTAG00000020289
tursiops_truncatus ENSTTRG00000003237
vicugna_pacos ENSVPAG00000003739
ursus_maritimus ENSUMAG00000015286
ursus_americanus ENSUAMG00000021011
ailuropoda_melanoleuca ENSAMEG00000007423
neovison_vison ENSNVIG00000013172
mustela_putorius_furo ENSMPUG00000010448
canis_lupus_dingo ENSCAFG00020009866
canis_lupus_dingo ENSCAFG00020016441
canis_lupus_familiaris ENSCAFG00000006709
vulpes_vulpes ENSVVUG00000027952
panthera_pardus ENSPPRG00000012140
panthera_tigris_altaica ENSPTIG00000017456
felis_catus ENSFCAG00000031518
equus_caballus ENSECAG00000011725
equus_asinus_asinus ENSEASG00005003157
procavia_capensis ENSPCAG00000009654
echinops_telfairi ENSETEG00000005673
dasypus_novemcinctus ENSDNOG00000042378
choloepus_hoffmanni ENSCHOG00000007945
