melopsittacus_undulatus ENSMUNG00000009548
lonchura_striata_domestica ENSLSDG00000000294
notechis_scutatus ENSNSUG00000003056
capra_hircus ENSCHIG00000008393
ovis_aries ENSOARG00000019988
bos_taurus ENSBTAG00000030179
bos_mutus ENSBMUG00000016752
bison_bison_bison ENSBBBG00000022963
tursiops_truncatus ENSTTRG00000013997
sus_scrofa ENSSSCG00000031660
erinaceus_europaeus ENSEEUG00000004608
sorex_araneus ENSSARG00000007064
ursus_americanus ENSUAMG00000001991
ursus_maritimus ENSUMAG00000017179
ailuropoda_melanoleuca ENSAMEG00000003087
neovison_vison ENSNVIG00000006077
mustela_putorius_furo ENSMPUG00000001952
canis_lupus_familiaris ENSCAFG00000000568
canis_lupus_dingo ENSCAFG00020007360
vulpes_vulpes ENSVVUG00000025675
panthera_tigris_altaica ENSPTIG00000006838
equus_caballus ENSECAG00000017304
equus_asinus_asinus ENSEASG00005020553
myotis_lucifugus ENSMLUG00000010723
pteropus_vampyrus ENSPVAG00000002242
ochotona_princeps ENSOPRG00000003066
oryctolagus_cuniculus ENSOCUG00000002401
castor_canadensis ENSCCNG00000009650
castor_canadensis ENSCCNG00000008887
dipodomys_ordii ENSDORG00000015461
mus_spicilegus ENSMSIG00000022642
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021069
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022619
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020172
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020177
rattus_norvegicus ENSRNOG00000032828
meriones_unguiculatus ENSMUGG00000013812
cricetulus_griseus_crigri-picr ENSCGRG00015023746
cricetulus_griseus_crigri_1.0 ENSCGRG00000004478
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023653
mesocricetus_auratus ENSMAUG00000010821
peromyscus_maniculatus_bairdii ENSPEMG00000023117
microtus_ochrogaster ENSMOCG00000017599
nannospalax_galili ENSNGAG00000014860
jaculus_jaculus ENSJJAG00000010188
ictidomys_tridecemlineatus ENSSTOG00000025549
urocitellus_parryii ENSUPAG00010006363
spermophilus_dauricus ENSSDAG00000009017
marmota_marmota_marmota ENSMMMG00000005134
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016634
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015302
fukomys_damarensis ENSFDAG00000009257
chinchilla_lanigera ENSCLAG00000017165
octodon_degus ENSODEG00000015596
cavia_aperea ENSCAPG00000007087
cavia_porcellus ENSCPOG00000040518
prolemur_simus ENSPSMG00000005826
microcebus_murinus ENSMICG00000000871
propithecus_coquereli ENSPCOG00000015005
otolemur_garnettii ENSOGAG00000031163
pan_troglodytes ENSPTRG00000014549
pan_paniscus ENSPPAG00000029752
homo_sapiens ENSG00000008735
gorilla_gorilla ENSGGOG00000007277
pongo_abelii ENSPPYG00000011996
