fukomys_damarensis ENSFDAG00000004606
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008998
octodon_degus ENSODEG00000000715
cavia_porcellus ENSCPOG00000000547
ictidomys_tridecemlineatus ENSSTOG00000001027
spermophilus_dauricus ENSSDAG00000005079
marmota_marmota_marmota ENSMMMG00000015829
urocitellus_parryii ENSUPAG00010010197
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074734
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015819
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016641
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031269
rattus_norvegicus ENSRNOG00000022632
meriones_unguiculatus ENSMUGG00000016399
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016625
cricetulus_griseus_crigri-picr ENSCGRG00015008641
cricetulus_griseus_crigri_1.0 ENSCGRG00000008895
mesocricetus_auratus ENSMAUG00000014901
peromyscus_maniculatus_bairdii ENSPEMG00000030116
jaculus_jaculus ENSJJAG00000015788
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034556
mus_spicilegus ENSMSIG00000018156
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000009596
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033391
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031931
rattus_norvegicus ENSRNOG00000026315
meriones_unguiculatus ENSMUGG00000020437
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017096
cricetulus_griseus_crigri_1.0 ENSCGRG00000002580
cricetulus_griseus_crigri-picr ENSCGRG00015001569
mesocricetus_auratus ENSMAUG00000018617
peromyscus_maniculatus_bairdii ENSPEMG00000020046
microtus_ochrogaster ENSMOCG00000010898
nannospalax_galili ENSNGAG00000021129
oryctolagus_cuniculus ENSOCUG00000004497
pan_paniscus ENSPPAG00000029819
pan_troglodytes ENSPTRG00000022102
homo_sapiens ENSG00000102387
gorilla_gorilla ENSGGOG00000004463
pongo_abelii ENSPPYG00000020550
nomascus_leucogenys ENSNLEG00000007532
macaca_mulatta ENSMMUG00000021581
macaca_fascicularis ENSMFAG00000046005
macaca_nemestrina ENSMNEG00000028576
theropithecus_gelada ENSTGEG00000011690
rhinopithecus_bieti ENSRBIG00000032020
rhinopithecus_roxellana ENSRROG00000034884
piliocolobus_tephrosceles ENSPTEG00000016376
papio_anubis ENSPANG00000024510
cercocebus_atys ENSCATG00000037171
mandrillus_leucophaeus ENSMLEG00000036706
chlorocebus_sabaeus ENSCSAG00000009969
colobus_angolensis_palliatus ENSCANG00000040008
cebus_capucinus_imitator ENSCCAG00000036511
saimiri_boliviensis_boliviensis ENSSBOG00000023870
callithrix_jacchus ENSCJAG00000004710
aotus_nancymaae ENSANAG00000032832
carlito_syrichta ENSTSYG00000012055
microcebus_murinus ENSMICG00000015583
propithecus_coquereli ENSPCOG00000023102
prolemur_simus ENSPSMG00000020825
otolemur_garnettii ENSOGAG00000004540
erinaceus_europaeus ENSEEUG00000009759
sorex_araneus ENSSARG00000006943
equus_caballus ENSECAG00000014171
equus_asinus_asinus ENSEASG00005010724
pteropus_vampyrus ENSPVAG00000001564
myotis_lucifugus ENSMLUG00000017465
bos_taurus ENSBTAG00000001979
bos_mutus ENSBMUG00000011361
ovis_aries ENSOARG00000001522
capra_hircus ENSCHIG00000014832
tursiops_truncatus ENSTTRG00000012772
vicugna_pacos ENSVPAG00000006481
sus_scrofa ENSSSCG00000012493
neovison_vison ENSNVIG00000005080
mustela_putorius_furo ENSMPUG00000002181
ailuropoda_melanoleuca ENSAMEG00000009247
canis_lupus_familiaris ENSCAFG00000017627
canis_lupus_dingo ENSCAFG00020007412
vulpes_vulpes ENSVVUG00000004979
panthera_tigris_altaica ENSPTIG00000016246
panthera_pardus ENSPPRG00000019387
felis_catus ENSFCAG00000029525
dasypus_novemcinctus ENSDNOG00000024104
loxodonta_africana ENSLAFG00000006941
procavia_capensis ENSPCAG00000003797
echinops_telfairi ENSETEG00000018047
ciona_intestinalis ENSCING00000003574
ciona_savignyi ENSCSAVG00000010502
