xiphophorus_maculatus ENSXMAG00000029569
xiphophorus_couchianus ENSXCOG00000004576
gambusia_affinis ENSGAFG00000010777
cyprinodon_variegatus ENSCVAG00000007356
stegastes_partitus ENSSPAG00000011824
scophthalmus_maximus ENSSMAG00000014230
cynoglossus_semilaevis ENSCSEG00000020709
anabas_testudineus ENSATEG00000010911
periophthalmus_magnuspinnatus ENSPMGG00000008954
amphiprion_ocellaris ENSAOCG00000009739
acanthochromis_polyacanthus ENSAPOG00000003827
seriola_lalandi_dorsalis ENSSLDG00000005843
mola_mola ENSMMOG00000016007
takifugu_rubripes ENSTRUG00000020242
labrus_bergylta ENSLBEG00000020699
esox_lucius ENSELUG00000014888
paramormyrops_kingsleyae ENSPKIG00000006583
scleropages_formosus ENSSFOG00015019661
paramormyrops_kingsleyae ENSPKIG00000014614
labrus_bergylta ENSLBEG00000007199
tetraodon_nigroviridis ENSTNIG00000000872
scophthalmus_maximus ENSSMAG00000000048
mastacembelus_armatus ENSMAMG00000022564
amphilophus_citrinellus ENSACIG00000000177
neolamprologus_brichardi ENSNBRG00000021978
fundulus_heteroclitus ENSFHEG00000011608
hippocampus_comes ENSHCOG00000002820
esox_lucius ENSELUG00000018095
pygocentrus_nattereri ENSPNAG00000018030
astyanax_mexicanus ENSAMXG00000039990
ictalurus_punctatus ENSIPUG00000021307
