rhinopithecus_bieti ENSRBIG00000005265
colobus_angolensis_palliatus ENSCANG00000030495
papio_anubis ENSPANG00000029750
macaca_nemestrina ENSMNEG00000031923
cercocebus_atys ENSCATG00000042114
propithecus_coquereli ENSPCOG00000017500
spermophilus_dauricus ENSSDAG00000005822
panthera_pardus ENSPPRG00000006828
panthera_tigris_altaica ENSPTIG00000013669
ursus_americanus ENSUAMG00000012221
sorex_araneus ENSSARG00000013286
procavia_capensis ENSPCAG00000013115
pan_paniscus ENSPPAG00000036869
pan_troglodytes ENSPTRG00000017979
gorilla_gorilla ENSGGOG00000009989
homo_sapiens ENSG00000255552
homo_sapiens ENSG00000204422
pongo_abelii ENSPPYG00000016452
nomascus_leucogenys ENSNLEG00000027097
rhinopithecus_roxellana ENSRROG00000009336
piliocolobus_tephrosceles ENSPTEG00000036816
macaca_mulatta ENSMMUG00000039268
macaca_fascicularis ENSMFAG00000032622
mandrillus_leucophaeus ENSMLEG00000031690
theropithecus_gelada ENSTGEG00000029390
callithrix_jacchus ENSCJAG00000037033
saimiri_boliviensis_boliviensis ENSSBOG00000025224
cebus_capucinus_imitator ENSCCAG00000031979
aotus_nancymaae ENSANAG00000031985
carlito_syrichta ENSTSYG00000028775
microcebus_murinus ENSMICG00000012720
oryctolagus_cuniculus ENSOCUG00000007952
dipodomys_ordii ENSDORG00000014188
castor_canadensis ENSCCNG00000011100
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017928
cricetulus_griseus_crigri-picr ENSCGRG00015028456
mesocricetus_auratus ENSMAUG00000000476
microtus_ochrogaster ENSMOCG00000004129
peromyscus_maniculatus_bairdii ENSPEMG00000018140
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022405
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021500
mus_spicilegus ENSMSIG00000005853
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000013766
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020495
rattus_norvegicus ENSRNOG00000027157
meriones_unguiculatus ENSMUGG00000002660
nannospalax_galili ENSNGAG00000001035
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018458
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017266
fukomys_damarensis ENSFDAG00000010187
cavia_aperea ENSCAPG00000017942
cavia_porcellus ENSCPOG00000039034
octodon_degus ENSODEG00000017710
chinchilla_lanigera ENSCLAG00000008055
urocitellus_parryii ENSUPAG00010020357
ictidomys_tridecemlineatus ENSSTOG00000020346
marmota_marmota_marmota ENSMMMG00000010150
equus_caballus ENSECAG00000019689
equus_asinus_asinus ENSEASG00005015763
myotis_lucifugus ENSMLUG00000022636
ursus_maritimus ENSUMAG00000014132
ailuropoda_melanoleuca ENSAMEG00000009207
mustela_putorius_furo ENSMPUG00000011107
neovison_vison ENSNVIG00000015755
canis_lupus_familiaris ENSCAFG00000000613
canis_lupus_dingo ENSCAFG00020020728
vulpes_vulpes ENSVVUG00000021057
felis_catus ENSFCAG00000031846
capra_hircus ENSCHIG00000015667
ovis_aries ENSOARG00000005973
bos_mutus ENSBMUG00000014295
bos_taurus ENSBTAG00000000582
bison_bison_bison ENSBBBG00000017900
sus_scrofa ENSSSCG00000040885
loxodonta_africana ENSLAFG00000005927
