oryctolagus_cuniculus ENSOCUG00000029053
tupaia_belangeri ENSTBEG00000017729
cebus_capucinus_imitator ENSCCAG00000022198
cebus_capucinus_imitator ENSCCAG00000023313
aotus_nancymaae ENSANAG00000032031
aotus_nancymaae ENSANAG00000024569
saimiri_boliviensis_boliviensis ENSSBOG00000028004
callithrix_jacchus ENSCJAG00000048283
nomascus_leucogenys ENSNLEG00000029049
nomascus_leucogenys ENSNLEG00000034046
homo_sapiens ENSG00000225396
homo_sapiens ENSG00000283594
pan_troglodytes ENSPTRG00000050068
gorilla_gorilla ENSGGOG00000001463
homo_sapiens ENSG00000268994
homo_sapiens ENSG00000275520
pan_troglodytes ENSPTRG00000048543
gorilla_gorilla ENSGGOG00000039205
pongo_abelii ENSPPYG00000020466
rhinopithecus_bieti ENSRBIG00000029728
rhinopithecus_roxellana ENSRROG00000042696
colobus_angolensis_palliatus ENSCANG00000018778
macaca_fascicularis ENSMFAG00000020985
macaca_fascicularis ENSMFAG00000002048
macaca_nemestrina ENSMNEG00000029054
cercocebus_atys ENSCATG00000024684
theropithecus_gelada ENSTGEG00000009983
colobus_angolensis_palliatus ENSCANG00000027184
rhinopithecus_roxellana ENSRROG00000030300
macaca_fascicularis ENSMFAG00000034324
mandrillus_leucophaeus ENSMLEG00000030656
cercocebus_atys ENSCATG00000030551
piliocolobus_tephrosceles ENSPTEG00000026917
carlito_syrichta ENSTSYG00000037099
carlito_syrichta ENSTSYG00000036989
microcebus_murinus ENSMICG00000043211
microcebus_murinus ENSMICG00000047883
propithecus_coquereli ENSPCOG00000019201
prolemur_simus ENSPSMG00000008706
cricetulus_griseus_crigri-picr ENSCGRG00015008580
cricetulus_griseus_crigri_1.0 ENSCGRG00000010905
peromyscus_maniculatus_bairdii ENSPEMG00000016284
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079476
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079479
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034469
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033305
felis_catus ENSFCAG00000043804
panthera_pardus ENSPPRG00000024347
neovison_vison ENSNVIG00000007062
