hippocampus_comes ENSHCOG00000002445
periophthalmus_magnuspinnatus ENSPMGG00000022209
acanthochromis_polyacanthus ENSAPOG00000012586
acanthochromis_polyacanthus ENSAPOG00000012639
poecilia_mexicana ENSPMEG00000013040
poecilia_latipinna ENSPLAG00000016519
xiphophorus_couchianus ENSXCOG00000007547
fundulus_heteroclitus ENSFHEG00000020348
oryzias_latipes_asm223471v1 ENSORLG00020014680
mastacembelus_armatus ENSMAMG00000013759
mastacembelus_armatus ENSMAMG00000013786
mola_mola ENSMMOG00000015046
mola_mola ENSMMOG00000015042
cynoglossus_semilaevis ENSCSEG00000019370
seriola_lalandi_dorsalis ENSSLDG00000000389
seriola_dumerili ENSSDUG00000009957
scophthalmus_maximus ENSSMAG00000007221
takifugu_rubripes ENSTRUG00000013026
tetraodon_nigroviridis ENSTNIG00000010967
gasterosteus_aculeatus ENSGACG00000012960
labrus_bergylta ENSLBEG00000024288
amphiprion_ocellaris ENSAOCG00000000490
amphiprion_percula ENSAPEG00000022911
stegastes_partitus ENSSPAG00000007779
anabas_testudineus ENSATEG00000001271
haplochromis_burtoni ENSHBUG00000022614
maylandia_zebra ENSMZEG00005013146
astatotilapia_calliptera ENSACLG00000006610
pundamilia_nyererei ENSPNYG00000002995
neolamprologus_brichardi ENSNBRG00000022086
oreochromis_niloticus ENSONIG00000000772
amphilophus_citrinellus ENSACIG00000001918
monopterus_albus ENSMALG00000016488
gambusia_affinis ENSGAFG00000006358
poecilia_formosa ENSPFOG00000013082
poecilia_reticulata ENSPREG00000013650
xiphophorus_maculatus ENSXMAG00000006742
poecilia_mexicana ENSPMEG00000021422
fundulus_heteroclitus ENSFHEG00000020436
cyprinodon_variegatus ENSCVAG00000021470
kryptolebias_marmoratus ENSKMAG00000019273
oryzias_latipes_asm223467v1 ENSORLG00000018028
oryzias_latipes_asm223469v1 ENSORLG00015012507
oryzias_melastigma ENSOMEG00000003791
gadus_morhua ENSGMOG00000006031
esox_lucius ENSELUG00000001071
pygocentrus_nattereri ENSPNAG00000010386
ictalurus_punctatus ENSIPUG00000018905
danio_rerio ENSDARG00000070432
