oryzias_melastigma ENSOMEG00000011891
gambusia_affinis ENSGAFG00000008708
labrus_bergylta ENSLBEG00000024903
mola_mola ENSMMOG00000019150
neolamprologus_brichardi ENSNBRG00000016573
cynoglossus_semilaevis ENSCSEG00000000742
cynoglossus_semilaevis ENSCSEG00000000747
anabas_testudineus ENSATEG00000012598
oryzias_latipes_asm223471v1 ENSORLG00020001130
oryzias_latipes_asm223467v1 ENSORLG00000025583
maylandia_zebra ENSMZEG00005006347
ictalurus_punctatus ENSIPUG00000006837
paramormyrops_kingsleyae ENSPKIG00000020490
scleropages_formosus ENSSFOG00015011643
