peromyscus_maniculatus_bairdii ENSPEMG00000014918
microtus_ochrogaster ENSMOCG00000010546
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021397
cricetulus_griseus_crigri_1.0 ENSCGRG00000017483
cricetulus_griseus_crigri-picr ENSCGRG00015007956
mesocricetus_auratus ENSMAUG00000017283
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025909
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024974
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037152
mus_spicilegus ENSMSIG00000012393
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026415
rattus_norvegicus ENSRNOG00000038218
meriones_unguiculatus ENSMUGG00000007463
nannospalax_galili ENSNGAG00000019599
mandrillus_leucophaeus ENSMLEG00000041831
cercocebus_atys ENSCATG00000042092
macaca_nemestrina ENSMNEG00000041905
theropithecus_gelada ENSTGEG00000010433
theropithecus_gelada ENSTGEG00000018616
macaca_fascicularis ENSMFAG00000003866
papio_anubis ENSPANG00000017811
chlorocebus_sabaeus ENSCSAG00000003539
rhinopithecus_bieti ENSRBIG00000029941
rhinopithecus_roxellana ENSRROG00000024598
piliocolobus_tephrosceles ENSPTEG00000013511
piliocolobus_tephrosceles ENSPTEG00000020917
piliocolobus_tephrosceles ENSPTEG00000038362
colobus_angolensis_palliatus ENSCANG00000034605
homo_sapiens ENSG00000109390
gorilla_gorilla ENSGGOG00000004832
pongo_abelii ENSPPYG00000015070
nomascus_leucogenys ENSNLEG00000034036
cebus_capucinus_imitator ENSCCAG00000020974
saimiri_boliviensis_boliviensis ENSSBOG00000020283
callithrix_jacchus ENSCJAG00000041850
aotus_nancymaae ENSANAG00000026650
carlito_syrichta ENSTSYG00000028292
prolemur_simus ENSPSMG00000023905
propithecus_coquereli ENSPCOG00000002891
microcebus_murinus ENSMICG00000043951
otolemur_garnettii ENSOGAG00000008402
cavia_porcellus ENSCPOG00000040190
chinchilla_lanigera ENSCLAG00000004430
octodon_degus ENSODEG00000003018
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015202
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006316
fukomys_damarensis ENSFDAG00000014452
urocitellus_parryii ENSUPAG00010012276
oryctolagus_cuniculus ENSOCUG00000004419
ochotona_princeps ENSOPRG00000014256
capra_hircus ENSCHIG00000016164
capra_hircus ENSCHIG00000002910
bos_taurus ENSBTAG00000039582
bos_mutus ENSBMUG00000011575
bison_bison_bison ENSBBBG00000011947
bos_taurus ENSBTAG00000025383
bison_bison_bison ENSBBBG00000002800
sus_scrofa ENSSSCG00000037953
tursiops_truncatus ENSTTRG00000001107
vicugna_pacos ENSVPAG00000007703
equus_caballus ENSECAG00000021948
equus_asinus_asinus ENSEASG00005007866
panthera_tigris_altaica ENSPTIG00000008073
panthera_pardus ENSPPRG00000006889
felis_catus ENSFCAG00000041632
panthera_tigris_altaica ENSPTIG00000020136
panthera_pardus ENSPPRG00000000384
canis_lupus_familiaris ENSCAFG00000028661
canis_lupus_dingo ENSCAFG00020015636
vulpes_vulpes ENSVVUG00000006163
canis_lupus_dingo ENSCAFG00020008184
vulpes_vulpes ENSVVUG00000006857
ursus_americanus ENSUAMG00000011477
ursus_maritimus ENSUMAG00000014966
ailuropoda_melanoleuca ENSAMEG00000011040
neovison_vison ENSNVIG00000020086
neovison_vison ENSNVIG00000014107
neovison_vison ENSNVIG00000011129
mustela_putorius_furo ENSMPUG00000016130
pteropus_vampyrus ENSPVAG00000009582
dasypus_novemcinctus ENSDNOG00000001984
dasypus_novemcinctus ENSDNOG00000025202
choloepus_hoffmanni ENSCHOG00000004288
sorex_araneus ENSSARG00000009453
canis_lupus_dingo ENSCAFG00020020841
myotis_lucifugus ENSMLUG00000009082
castor_canadensis ENSCCNG00000004310
dipodomys_ordii ENSDORG00000005485
marmota_marmota_marmota ENSMMMG00000014960
spermophilus_dauricus ENSSDAG00000015565
ictidomys_tridecemlineatus ENSSTOG00000023590
loxodonta_africana ENSLAFG00000010459
loxodonta_africana ENSLAFG00000031957
echinops_telfairi ENSETEG00000004800
phascolarctos_cinereus ENSPCIG00000028567
phascolarctos_cinereus ENSPCIG00000002464
phascolarctos_cinereus ENSPCIG00000036146
phascolarctos_cinereus ENSPCIG00000034284
monodelphis_domestica ENSMODG00000000098
xenopus_tropicalis ENSXETG00000031514
paramormyrops_kingsleyae ENSPKIG00000022143
