anolis_carolinensis ENSACAG00000001031
pogona_vitticeps ENSPVIG00000012050
notechis_scutatus ENSNSUG00000013600
salvator_merianae ENSSMRG00000010798
sphenodon_punctatus ENSSPUG00000001832
apteryx_owenii ENSAOWG00000015527
apteryx_haastii ENSAHAG00000012247
apteryx_rowi ENSARWG00000013742
dromaius_novaehollandiae ENSDNVG00000000548
nothoprocta_perdicaria ENSNPEG00000006855
lepidothrix_coronata ENSLCOG00000006002
manacus_vitellinus ENSMVIG00005013175
lonchura_striata_domestica ENSLSDG00000007759
taeniopygia_guttata ENSTGUG00000011244
zonotrichia_albicollis ENSZALG00000011982
junco_hyemalis ENSJHYG00000005175
serinus_canaria ENSSCAG00000004708
parus_major ENSPMJG00000017647
cyanistes_caeruleus ENSCCEG00000023873
ficedula_albicollis ENSFALG00000008776
melopsittacus_undulatus ENSMUNG00000003649
calidris_pygmaea ENSCPGG00000002341
calidris_pugnax ENSCPUG00000014771
meleagris_gallopavo ENSMGAG00000015143
coturnix_japonica ENSCJPG00005001767
gallus_gallus ENSGALG00000017154
numida_meleagris ENSNMEG00000019562
anser_brachyrhynchus ENSABRG00000016557
anas_platyrhynchos_platyrhynchos ENSAPLG00000002854
crocodylus_porosus ENSCPRG00005013268
chelonoidis_abingdonii ENSCABG00000021512
gopherus_agassizii ENSGAGG00000024154
chrysemys_picta_bellii ENSCPBG00000021043
pelodiscus_sinensis ENSPSIG00000005959
phascolarctos_cinereus ENSPCIG00000022169
notamacropus_eugenii ENSMEUG00000015398
sarcophilus_harrisii ENSSHAG00000005597
monodelphis_domestica ENSMODG00000014555
mus_spicilegus ENSMSIG00000023596
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000035164
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033350
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032210
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015078
rattus_norvegicus ENSRNOG00000012470
meriones_unguiculatus ENSMUGG00000023657
microtus_ochrogaster ENSMOCG00000020090
peromyscus_maniculatus_bairdii ENSPEMG00000008502
cricetulus_griseus_crigri-picr ENSCGRG00015026624
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013672
cricetulus_griseus_crigri_1.0 ENSCGRG00000001308
mesocricetus_auratus ENSMAUG00000020412
nannospalax_galili ENSNGAG00000023957
jaculus_jaculus ENSJJAG00000001147
ictidomys_tridecemlineatus ENSSTOG00000022143
urocitellus_parryii ENSUPAG00010020063
spermophilus_dauricus ENSSDAG00000021030
marmota_marmota_marmota ENSMMMG00000000255
castor_canadensis ENSCCNG00000019705
dipodomys_ordii ENSDORG00000009134
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019021
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007295
fukomys_damarensis ENSFDAG00000017997
cavia_aperea ENSCAPG00000011610
cavia_porcellus ENSCPOG00000032962
octodon_degus ENSODEG00000011026
chinchilla_lanigera ENSCLAG00000012577
ochotona_princeps ENSOPRG00000003370
tupaia_belangeri ENSTBEG00000000993
oryctolagus_cuniculus ENSOCUG00000005283
propithecus_coquereli ENSPCOG00000024737
microcebus_murinus ENSMICG00000011455
prolemur_simus ENSPSMG00000019264
otolemur_garnettii ENSOGAG00000013223
pan_troglodytes ENSPTRG00000050494
pan_paniscus ENSPPAG00000041914
gorilla_gorilla ENSGGOG00000010117
homo_sapiens ENSG00000149289
pongo_abelii ENSPPYG00000003851
nomascus_leucogenys ENSNLEG00000029829
piliocolobus_tephrosceles ENSPTEG00000028869
colobus_angolensis_palliatus ENSCANG00000040994
rhinopithecus_roxellana ENSRROG00000004335
rhinopithecus_bieti ENSRBIG00000040441
macaca_nemestrina ENSMNEG00000032663
macaca_fascicularis ENSMFAG00000042068
macaca_mulatta ENSMMUG00000048435
papio_anubis ENSPANG00000023930
cercocebus_atys ENSCATG00000041641
theropithecus_gelada ENSTGEG00000016676
mandrillus_leucophaeus ENSMLEG00000032083
chlorocebus_sabaeus ENSCSAG00000002945
saimiri_boliviensis_boliviensis ENSSBOG00000025582
callithrix_jacchus ENSCJAG00000010319
cebus_capucinus_imitator ENSCCAG00000022395
aotus_nancymaae ENSANAG00000026999
tursiops_truncatus ENSTTRG00000005096
sus_scrofa ENSSSCG00000015014
equus_asinus_asinus ENSEASG00005010098
equus_caballus ENSECAG00000000462
pteropus_vampyrus ENSPVAG00000014329
myotis_lucifugus ENSMLUG00000017189
erinaceus_europaeus ENSEEUG00000005709
erinaceus_europaeus ENSEEUG00000002629
sorex_araneus ENSSARG00000003433
capra_hircus ENSCHIG00000021221
ovis_aries ENSOARG00000012999
bos_mutus ENSBMUG00000026539
bos_taurus ENSBTAG00000008732
bison_bison_bison ENSBBBG00000008823
vicugna_pacos ENSVPAG00000003110
ursus_maritimus ENSUMAG00000007283
ursus_americanus ENSUAMG00000006051
ailuropoda_melanoleuca ENSAMEG00000009188
mustela_putorius_furo ENSMPUG00000005888
neovison_vison ENSNVIG00000019415
canis_lupus_familiaris ENSCAFG00000014297
canis_lupus_dingo ENSCAFG00020006999
vulpes_vulpes ENSVVUG00000015552
panthera_pardus ENSPPRG00000006582
panthera_tigris_altaica ENSPTIG00000009995
felis_catus ENSFCAG00000010665
carlito_syrichta ENSTSYG00000005412
echinops_telfairi ENSETEG00000008027
loxodonta_africana ENSLAFG00000016296
procavia_capensis ENSPCAG00000015682
choloepus_hoffmanni ENSCHOG00000013202
dasypus_novemcinctus ENSDNOG00000013040
ochotona_princeps ENSOPRG00000016726
tupaia_belangeri ENSTBEG00000011179
vicugna_pacos ENSVPAG00000008724
pteropus_vampyrus ENSPVAG00000007044
tursiops_truncatus ENSTTRG00000012569
procavia_capensis ENSPCAG00000005569
erinaceus_europaeus ENSEEUG00000000564
choloepus_hoffmanni ENSCHOG00000003280
echinops_telfairi ENSETEG00000007080
ornithorhynchus_anatinus ENSOANG00000006242
ornithorhynchus_anatinus ENSOANG00000005155
xenopus_tropicalis ENSXETG00000033837
latimeria_chalumnae ENSLACG00000009305
