lepisosteus_oculatus ENSLOCG00000006772
esox_lucius ENSELUG00000010198
myotis_lucifugus ENSMLUG00000005996
pteropus_vampyrus ENSPVAG00000009010
erinaceus_europaeus ENSEEUG00000010345
sorex_araneus ENSSARG00000006864
equus_asinus_asinus ENSEASG00005015321
equus_caballus ENSECAG00000024959
papio_anubis ENSPANG00000024260
theropithecus_gelada ENSTGEG00000021960
mandrillus_leucophaeus ENSMLEG00000035098
macaca_fascicularis ENSMFAG00000035935
macaca_mulatta ENSMMUG00000009604
macaca_nemestrina ENSMNEG00000033346
cercocebus_atys ENSCATG00000035409
chlorocebus_sabaeus ENSCSAG00000012357
rhinopithecus_bieti ENSRBIG00000026028
rhinopithecus_roxellana ENSRROG00000034818
piliocolobus_tephrosceles ENSPTEG00000018163
colobus_angolensis_palliatus ENSCANG00000014158
pan_paniscus ENSPPAG00000029992
pan_troglodytes ENSPTRG00000008650
gorilla_gorilla ENSGGOG00000023510
homo_sapiens ENSG00000177294
pongo_abelii ENSPPYG00000007885
nomascus_leucogenys ENSNLEG00000009306
cebus_capucinus_imitator ENSCCAG00000033134
saimiri_boliviensis_boliviensis ENSSBOG00000031118
callithrix_jacchus ENSCJAG00000017188
aotus_nancymaae ENSANAG00000032356
carlito_syrichta ENSTSYG00000001905
propithecus_coquereli ENSPCOG00000019281
microcebus_murinus ENSMICG00000006646
prolemur_simus ENSPSMG00000016014
otolemur_garnettii ENSOGAG00000016939
oryctolagus_cuniculus ENSOCUG00000024705
ochotona_princeps ENSOPRG00000004840
tupaia_belangeri ENSTBEG00000008908
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070388
mus_spicilegus ENSMSIG00000013651
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017507
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016670
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017803
rattus_norvegicus ENSRNOG00000014953
meriones_unguiculatus ENSMUGG00000010781
peromyscus_maniculatus_bairdii ENSPEMG00000016779
microtus_ochrogaster ENSMOCG00000006866
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020628
cricetulus_griseus_crigri-picr ENSCGRG00015001999
cricetulus_griseus_crigri_1.0 ENSCGRG00000014972
mesocricetus_auratus ENSMAUG00000017927
nannospalax_galili ENSNGAG00000000183
jaculus_jaculus ENSJJAG00000001723
castor_canadensis ENSCCNG00000008024
urocitellus_parryii ENSUPAG00010019725
ictidomys_tridecemlineatus ENSSTOG00000026210
spermophilus_dauricus ENSSDAG00000002138
spermophilus_dauricus ENSSDAG00000002147
marmota_marmota_marmota ENSMMMG00000018902
chinchilla_lanigera ENSCLAG00000010324
octodon_degus ENSODEG00000016674
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009555
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005836
fukomys_damarensis ENSFDAG00000010153
cavia_porcellus ENSCPOG00000012216
cavia_aperea ENSCAPG00000015914
bos_mutus ENSBMUG00000010351
bos_taurus ENSBTAG00000018345
bison_bison_bison ENSBBBG00000013464
ovis_aries ENSOARG00000000799
capra_hircus ENSCHIG00000008258
vicugna_pacos ENSVPAG00000010690
sus_scrofa ENSSSCG00000017886
ursus_maritimus ENSUMAG00000013011
ursus_americanus ENSUAMG00000022018
ailuropoda_melanoleuca ENSAMEG00000007200
neovison_vison ENSNVIG00000018323
mustela_putorius_furo ENSMPUG00000011363
canis_lupus_familiaris ENSCAFG00000015305
canis_lupus_dingo ENSCAFG00020016121
vulpes_vulpes ENSVVUG00000027227
panthera_tigris_altaica ENSPTIG00000010459
panthera_pardus ENSPPRG00000000935
felis_catus ENSFCAG00000013073
dasypus_novemcinctus ENSDNOG00000007240
