cyprinodon_variegatus ENSCVAG00000022361
fundulus_heteroclitus ENSFHEG00000015518
poecilia_latipinna ENSPLAG00000001563
poecilia_reticulata ENSPREG00000017277
xiphophorus_couchianus ENSXCOG00000019029
xiphophorus_maculatus ENSXMAG00000006433
gambusia_affinis ENSGAFG00000005482
oryzias_latipes_asm223467v1 ENSORLG00000025043
oryzias_latipes_asm223471v1 ENSORLG00020000544
oryzias_latipes_asm223469v1 ENSORLG00015017101
oryzias_melastigma ENSOMEG00000000626
amphiprion_percula ENSAPEG00000011163
acanthochromis_polyacanthus ENSAPOG00000014255
stegastes_partitus ENSSPAG00000021576
maylandia_zebra ENSMZEG00005005918
astatotilapia_calliptera ENSACLG00000000061
neolamprologus_brichardi ENSNBRG00000009892
amphilophus_citrinellus ENSACIG00000008560
hippocampus_comes ENSHCOG00000002280
periophthalmus_magnuspinnatus ENSPMGG00000003825
seriola_dumerili ENSSDUG00000007263
scophthalmus_maximus ENSSMAG00000012622
amphiprion_ocellaris ENSAOCG00000016551
amphilophus_citrinellus ENSACIG00000009704
mola_mola ENSMMOG00000010121
periophthalmus_magnuspinnatus ENSPMGG00000000724
esox_lucius ENSELUG00000022647
eptatretus_burgeri ENSEBUG00000001839
