spermophilus_dauricus ENSSDAG00000020945
cavia_porcellus ENSCPOG00000026823
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000067610
mus_spicilegus ENSMSIG00000003944
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029985
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028940
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022703
rattus_norvegicus ENSRNOG00000052803
meriones_unguiculatus ENSMUGG00000023291
mesocricetus_auratus ENSMAUG00000001962
mesocricetus_auratus ENSMAUG00000005190
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020039
cricetulus_griseus_crigri_1.0 ENSCGRG00000012927
cricetulus_griseus_crigri-picr ENSCGRG00015025712
peromyscus_maniculatus_bairdii ENSPEMG00000015819
microtus_ochrogaster ENSMOCG00000006877
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043932
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028941
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029986
mus_spicilegus ENSMSIG00000003963
rattus_norvegicus ENSRNOG00000057643
peromyscus_maniculatus_bairdii ENSPEMG00000005466
nannospalax_galili ENSNGAG00000018953
castor_canadensis ENSCCNG00000011799
oryctolagus_cuniculus ENSOCUG00000025495
capra_hircus ENSCHIG00000011347
ovis_aries ENSOARG00000020983
bos_taurus ENSBTAG00000051183
bos_taurus ENSBTAG00000049823
bos_mutus ENSBMUG00000010507
ovis_aries ENSOARG00000020985
sus_scrofa ENSSSCG00000000639
equus_asinus_asinus ENSEASG00005014754
equus_caballus ENSECAG00000016712
