gambusia_affinis ENSGAFG00000009455
xiphophorus_couchianus ENSXCOG00000010138
fundulus_heteroclitus ENSFHEG00000010198
oryzias_melastigma ENSOMEG00000015389
oryzias_latipes_asm223471v1 ENSORLG00020004985
astatotilapia_calliptera ENSACLG00000009234
pundamilia_nyererei ENSPNYG00000020988
maylandia_zebra ENSMZEG00005022776
haplochromis_burtoni ENSHBUG00000007733
neolamprologus_brichardi ENSNBRG00000004724
amphilophus_citrinellus ENSACIG00000011702
stegastes_partitus ENSSPAG00000013264
mola_mola ENSMMOG00000015253
tetraodon_nigroviridis ENSTNIG00000005999
labrus_bergylta ENSLBEG00000021467
mastacembelus_armatus ENSMAMG00000006318
anabas_testudineus ENSATEG00000015523
hippocampus_comes ENSHCOG00000007912
