junco_hyemalis ENSJHYG00000015895
serinus_canaria ENSSCAG00000001691
mus_spicilegus ENSMSIG00000017321
cricetulus_griseus_crigri_1.0 ENSCGRG00000016949
neovison_vison ENSNVIG00000011173
poecilia_reticulata ENSPREG00000013448
poecilia_latipinna ENSPLAG00000009451
poecilia_mexicana ENSPMEG00000002225
xiphophorus_maculatus ENSXMAG00000022890
gambusia_affinis ENSGAFG00000005558
xiphophorus_couchianus ENSXCOG00000001843
cyprinodon_variegatus ENSCVAG00000004018
fundulus_heteroclitus ENSFHEG00000001835
kryptolebias_marmoratus ENSKMAG00000022049
oryzias_latipes_asm223471v1 ENSORLG00020010484
oryzias_latipes_asm223467v1 ENSORLG00000021916
oryzias_melastigma ENSOMEG00000010345
takifugu_rubripes ENSTRUG00000011597
astatotilapia_calliptera ENSACLG00000004351
oryzias_latipes_asm223469v1 ENSORLG00015007429
labrus_bergylta ENSLBEG00000026361
mola_mola ENSMMOG00000012496
periophthalmus_magnuspinnatus ENSPMGG00000022305
amphiprion_percula ENSAPEG00000014101
amphiprion_ocellaris ENSAOCG00000003867
acanthochromis_polyacanthus ENSAPOG00000012133
stegastes_partitus ENSSPAG00000016481
pundamilia_nyererei ENSPNYG00000006571
haplochromis_burtoni ENSHBUG00000002469
maylandia_zebra ENSMZEG00005021737
neolamprologus_brichardi ENSNBRG00000021196
amphilophus_citrinellus ENSACIG00000014438
seriola_dumerili ENSSDUG00000020299
seriola_lalandi_dorsalis ENSSLDG00000010385
scophthalmus_maximus ENSSMAG00000009350
anabas_testudineus ENSATEG00000019419
monopterus_albus ENSMALG00000008449
cynoglossus_semilaevis ENSCSEG00000002569
gasterosteus_aculeatus ENSGACG00000019396
hippocampus_comes ENSHCOG00000008895
gadus_morhua ENSGMOG00000007826
esox_lucius ENSELUG00000014596
astyanax_mexicanus ENSAMXG00000039481
pygocentrus_nattereri ENSPNAG00000011021
ictalurus_punctatus ENSIPUG00000005735
ictalurus_punctatus ENSIPUG00000001603
danio_rerio ENSDARG00000052082
paramormyrops_kingsleyae ENSPKIG00000005326
danio_rerio ENSDARG00000035557
esox_lucius ENSELUG00000001933
scleropages_formosus ENSSFOG00015022765
paramormyrops_kingsleyae ENSPKIG00000001666
pygocentrus_nattereri ENSPNAG00000007205
ictalurus_punctatus ENSIPUG00000021410
lepisosteus_oculatus ENSLOCG00000014491
scleropages_formosus ENSSFOG00015000238
eptatretus_burgeri ENSEBUG00000015205
drosophila_melanogaster FBgn0052672
