monopterus_albus ENSMALG00000017876
anabas_testudineus ENSATEG00000020198
tetraodon_nigroviridis ENSTNIG00000001587
takifugu_rubripes ENSTRUG00000021330
mola_mola ENSMMOG00000020984
seriola_lalandi_dorsalis ENSSLDG00000018698
seriola_dumerili ENSSDUG00000009144
amphiprion_percula ENSAPEG00000023395
amphiprion_ocellaris ENSAOCG00000010236
acanthochromis_polyacanthus ENSAPOG00000004319
stegastes_partitus ENSSPAG00000005900
haplochromis_burtoni ENSHBUG00000007756
pundamilia_nyererei ENSPNYG00000006259
maylandia_zebra ENSMZEG00005024339
astatotilapia_calliptera ENSACLG00000008653
neolamprologus_brichardi ENSNBRG00000013793
oreochromis_niloticus ENSONIG00000018506
scophthalmus_maximus ENSSMAG00000013329
labrus_bergylta ENSLBEG00000014920
xiphophorus_couchianus ENSXCOG00000019275
xiphophorus_maculatus ENSXMAG00000029380
gambusia_affinis ENSGAFG00000020905
poecilia_mexicana ENSPMEG00000014300
poecilia_latipinna ENSPLAG00000001512
poecilia_reticulata ENSPREG00000010776
fundulus_heteroclitus ENSFHEG00000003782
cyprinodon_variegatus ENSCVAG00000004034
mastacembelus_armatus ENSMAMG00000006261
oryzias_latipes_asm223471v1 ENSORLG00020002813
oryzias_latipes_asm223469v1 ENSORLG00015002219
oryzias_latipes_asm223467v1 ENSORLG00000020356
oryzias_melastigma ENSOMEG00000013655
kryptolebias_marmoratus ENSKMAG00000020463
periophthalmus_magnuspinnatus ENSPMGG00000018462
cynoglossus_semilaevis ENSCSEG00000016623
hippocampus_comes ENSHCOG00000013819
esox_lucius ENSELUG00000006460
danio_rerio ENSDARG00000116628
