tursiops_truncatus ENSTTRG00000014072
sus_scrofa ENSSSCG00000023018
bos_mutus ENSBMUG00000013579
bos_taurus ENSBTAG00000045577
bison_bison_bison ENSBBBG00000018441
capra_hircus ENSCHIG00000011440
ovis_aries ENSOARG00000008895
vicugna_pacos ENSVPAG00000007186
sorex_araneus ENSSARG00000005218
sorex_araneus ENSSARG00000005247
ursus_americanus ENSUAMG00000027330
ursus_maritimus ENSUMAG00000015229
ailuropoda_melanoleuca ENSAMEG00000009531
neovison_vison ENSNVIG00000016622
canis_lupus_dingo ENSCAFG00020020528
canis_lupus_familiaris ENSCAFG00000000506
vulpes_vulpes ENSVVUG00000019488
panthera_pardus ENSPPRG00000023392
panthera_tigris_altaica ENSPTIG00000017715
felis_catus ENSFCAG00000032719
otolemur_garnettii ENSOGAG00000009066
microcebus_murinus ENSMICG00000017347
gorilla_gorilla ENSGGOG00000005984
homo_sapiens ENSG00000204511
pan_troglodytes ENSPTRG00000017959
pan_paniscus ENSPPAG00000030583
pongo_abelii ENSPPYG00000016432
nomascus_leucogenys ENSNLEG00000006091
rhinopithecus_bieti ENSRBIG00000044899
rhinopithecus_roxellana ENSRROG00000024016
piliocolobus_tephrosceles ENSPTEG00000035907
colobus_angolensis_palliatus ENSCANG00000034423
colobus_angolensis_palliatus ENSCANG00000034150
papio_anubis ENSPANG00000015292
cercocebus_atys ENSCATG00000041640
macaca_fascicularis ENSMFAG00000045858
macaca_nemestrina ENSMNEG00000040715
macaca_mulatta ENSMMUG00000008838
theropithecus_gelada ENSTGEG00000029366
mandrillus_leucophaeus ENSMLEG00000034043
chlorocebus_sabaeus ENSCSAG00000008503
saimiri_boliviensis_boliviensis ENSSBOG00000027725
callithrix_jacchus ENSCJAG00000040018
cebus_capucinus_imitator ENSCCAG00000020373
cebus_capucinus_imitator ENSCCAG00000038028
aotus_nancymaae ENSANAG00000024127
carlito_syrichta ENSTSYG00000031275
urocitellus_parryii ENSUPAG00010020638
spermophilus_dauricus ENSSDAG00000022607
tupaia_belangeri ENSTBEG00000003445
dasypus_novemcinctus ENSDNOG00000037924
echinops_telfairi ENSETEG00000009648
myotis_lucifugus ENSMLUG00000001680
monodelphis_domestica ENSMODG00000015794
sarcophilus_harrisii ENSSHAG00000003182
phascolarctos_cinereus ENSPCIG00000017573
