cavia_aperea ENSCAPG00000013119
cavia_porcellus ENSCPOG00000001459
octodon_degus ENSODEG00000006625
chinchilla_lanigera ENSCLAG00000009171
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017075
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007428
fukomys_damarensis ENSFDAG00000010445
urocitellus_parryii ENSUPAG00010000730
ictidomys_tridecemlineatus ENSSTOG00000012458
spermophilus_dauricus ENSSDAG00000017391
marmota_marmota_marmota ENSMMMG00000006547
castor_canadensis ENSCCNG00000020332
dipodomys_ordii ENSDORG00000016460
peromyscus_maniculatus_bairdii ENSPEMG00000021908
microtus_ochrogaster ENSMOCG00000015041
cricetulus_griseus_crigri-picr ENSCGRG00015014803
cricetulus_griseus_crigri_1.0 ENSCGRG00000016066
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019816
mesocricetus_auratus ENSMAUG00000021867
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033862
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032717
mus_spicilegus ENSMSIG00000002972
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025645
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015585
rattus_norvegicus ENSRNOG00000020688
meriones_unguiculatus ENSMUGG00000019072
nannospalax_galili ENSNGAG00000018471
jaculus_jaculus ENSJJAG00000020589
oryctolagus_cuniculus ENSOCUG00000001931
ochotona_princeps ENSOPRG00000017222
pan_paniscus ENSPPAG00000013899
pan_troglodytes ENSPTRG00000014885
pongo_abelii ENSPPYG00000013905
homo_sapiens ENSG00000164051
gorilla_gorilla ENSGGOG00000006256
nomascus_leucogenys ENSNLEG00000006454
macaca_fascicularis ENSMFAG00000035841
macaca_nemestrina ENSMNEG00000039774
macaca_mulatta ENSMMUG00000041032
cercocebus_atys ENSCATG00000039399
theropithecus_gelada ENSTGEG00000009044
papio_anubis ENSPANG00000032892
mandrillus_leucophaeus ENSMLEG00000043149
chlorocebus_sabaeus ENSCSAG00000015828
rhinopithecus_bieti ENSRBIG00000035427
rhinopithecus_roxellana ENSRROG00000041061
colobus_angolensis_palliatus ENSCANG00000042423
piliocolobus_tephrosceles ENSPTEG00000003207
cebus_capucinus_imitator ENSCCAG00000035757
saimiri_boliviensis_boliviensis ENSSBOG00000034836
callithrix_jacchus ENSCJAG00000038163
aotus_nancymaae ENSANAG00000037005
carlito_syrichta ENSTSYG00000001647
propithecus_coquereli ENSPCOG00000021612
prolemur_simus ENSPSMG00000025974
microcebus_murinus ENSMICG00000013899
otolemur_garnettii ENSOGAG00000014333
tupaia_belangeri ENSTBEG00000012199
sorex_araneus ENSSARG00000003085
erinaceus_europaeus ENSEEUG00000005446
equus_caballus ENSECAG00000014543
equus_asinus_asinus ENSEASG00005009089
pteropus_vampyrus ENSPVAG00000011222
capra_hircus ENSCHIG00000005377
ovis_aries ENSOARG00000000409
bos_taurus ENSBTAG00000013413
bos_mutus ENSBMUG00000011832
bison_bison_bison ENSBBBG00000012907
tursiops_truncatus ENSTTRG00000017322
sus_scrofa ENSSSCG00000011350
neovison_vison ENSNVIG00000023248
mustela_putorius_furo ENSMPUG00000014935
ursus_americanus ENSUAMG00000019067
ursus_maritimus ENSUMAG00000000685
ailuropoda_melanoleuca ENSAMEG00000001197
canis_lupus_familiaris ENSCAFG00000012548
canis_lupus_dingo ENSCAFG00020020574
vulpes_vulpes ENSVVUG00000029756
panthera_pardus ENSPPRG00000007777
panthera_tigris_altaica ENSPTIG00000016210
felis_catus ENSFCAG00000014469
loxodonta_africana ENSLAFG00000000529
procavia_capensis ENSPCAG00000002927
echinops_telfairi ENSETEG00000014505
dasypus_novemcinctus ENSDNOG00000037611
