dromaius_novaehollandiae ENSDNVG00000015243
nothoprocta_perdicaria ENSNPEG00000010083
taeniopygia_guttata ENSTGUG00000003135
lonchura_striata_domestica ENSLSDG00000003229
zonotrichia_albicollis ENSZALG00000007510
junco_hyemalis ENSJHYG00000005723
serinus_canaria ENSSCAG00000011978
cyanistes_caeruleus ENSCCEG00000017918
parus_major ENSPMJG00000016637
ficedula_albicollis ENSFALG00000012369
manacus_vitellinus ENSMVIG00005013076
melopsittacus_undulatus ENSMUNG00000000617
calidris_pygmaea ENSCPGG00000014734
calidris_pugnax ENSCPUG00000010735
anser_brachyrhynchus ENSABRG00000000183
anas_platyrhynchos_platyrhynchos ENSAPLG00000002081
gallus_gallus ENSGALG00000007042
meleagris_gallopavo ENSMGAG00000006047
coturnix_japonica ENSCJPG00005021192
numida_meleagris ENSNMEG00000002635
crocodylus_porosus ENSCPRG00005018028
gopherus_agassizii ENSGAGG00000009809
chelonoidis_abingdonii ENSCABG00000014126
chrysemys_picta_bellii ENSCPBG00000010862
pelodiscus_sinensis ENSPSIG00000002581
pogona_vitticeps ENSPVIG00000010130
anolis_carolinensis ENSACAG00000015957
salvator_merianae ENSSMRG00000003639
sphenodon_punctatus ENSSPUG00000011933
propithecus_coquereli ENSPCOG00000021050
prolemur_simus ENSPSMG00000005524
microcebus_murinus ENSMICG00000004043
pan_troglodytes ENSPTRG00000009735
pan_paniscus ENSPPAG00000027589
homo_sapiens ENSG00000141519
gorilla_gorilla ENSGGOG00000012650
pongo_abelii ENSPPYG00000008712
nomascus_leucogenys ENSNLEG00000015540
rhinopithecus_roxellana ENSRROG00000035514
rhinopithecus_bieti ENSRBIG00000044004
piliocolobus_tephrosceles ENSPTEG00000033705
colobus_angolensis_palliatus ENSCANG00000043822
macaca_mulatta ENSMMUG00000009588
macaca_fascicularis ENSMFAG00000032264
macaca_nemestrina ENSMNEG00000040404
chlorocebus_sabaeus ENSCSAG00000002343
mandrillus_leucophaeus ENSMLEG00000034478
cercocebus_atys ENSCATG00000045165
papio_anubis ENSPANG00000019680
theropithecus_gelada ENSTGEG00000007306
cebus_capucinus_imitator ENSCCAG00000035661
saimiri_boliviensis_boliviensis ENSSBOG00000033300
callithrix_jacchus ENSCJAG00000009194
aotus_nancymaae ENSANAG00000035002
rattus_norvegicus ENSRNOG00000059401
rattus_norvegicus ENSRNOG00000055889
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018337
mus_spicilegus ENSMSIG00000016659
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039963
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017493
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018620
meriones_unguiculatus ENSMUGG00000010087
peromyscus_maniculatus_bairdii ENSPEMG00000012452
microtus_ochrogaster ENSMOCG00000020436
cricetulus_griseus_crigri-picr ENSCGRG00015002793
cricetulus_griseus_crigri_1.0 ENSCGRG00000017859
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000517
mesocricetus_auratus ENSMAUG00000013111
nannospalax_galili ENSNGAG00000018507
jaculus_jaculus ENSJJAG00000014308
chinchilla_lanigera ENSCLAG00000005932
octodon_degus ENSODEG00000009922
cavia_aperea ENSCAPG00000016727
cavia_porcellus ENSCPOG00000006970
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007128
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003305
fukomys_damarensis ENSFDAG00000016053
castor_canadensis ENSCCNG00000030667
dipodomys_ordii ENSDORG00000003355
marmota_marmota_marmota ENSMMMG00000007338
spermophilus_dauricus ENSSDAG00000013466
urocitellus_parryii ENSUPAG00010004274
ictidomys_tridecemlineatus ENSSTOG00000021542
carlito_syrichta ENSTSYG00000003297
carlito_syrichta ENSTSYG00000036048
otolemur_garnettii ENSOGAG00000006083
ochotona_princeps ENSOPRG00000003238
erinaceus_europaeus ENSEEUG00000007112
choloepus_hoffmanni ENSCHOG00000002022
dasypus_novemcinctus ENSDNOG00000025342
loxodonta_africana ENSLAFG00000010511
procavia_capensis ENSPCAG00000002722
echinops_telfairi ENSETEG00000014288
ursus_americanus ENSUAMG00000027451
ursus_maritimus ENSUMAG00000014300
ailuropoda_melanoleuca ENSAMEG00000015141
mustela_putorius_furo ENSMPUG00000012231
neovison_vison ENSNVIG00000014521
canis_lupus_dingo ENSCAFG00020008223
canis_lupus_familiaris ENSCAFG00000005580
vulpes_vulpes ENSVVUG00000017960
panthera_pardus ENSPPRG00000014197
panthera_tigris_altaica ENSPTIG00000009561
felis_catus ENSFCAG00000008244
equus_caballus ENSECAG00000014278
equus_asinus_asinus ENSEASG00005005090
pteropus_vampyrus ENSPVAG00000003619
sus_scrofa ENSSSCG00000017158
vicugna_pacos ENSVPAG00000008389
bos_taurus ENSBTAG00000016017
bos_mutus ENSBMUG00000021680
capra_hircus ENSCHIG00000006318
ovis_aries ENSOARG00000002415
tursiops_truncatus ENSTTRG00000000512
bison_bison_bison ENSBBBG00000018281
eptatretus_burgeri ENSEBUG00000002257
phascolarctos_cinereus ENSPCIG00000005809
notamacropus_eugenii ENSMEUG00000011274
sarcophilus_harrisii ENSSHAG00000006697
monodelphis_domestica ENSMODG00000002168
ornithorhynchus_anatinus ENSOANG00000005233
xenopus_tropicalis ENSXETG00000004201
