rhinopithecus_bieti ENSRBIG00000038015
nomascus_leucogenys ENSNLEG00000033819
microcebus_murinus ENSMICG00000026640
salvator_merianae ENSSMRG00000012427
xiphophorus_couchianus ENSXCOG00000011094
acanthochromis_polyacanthus ENSAPOG00000014415
acanthochromis_polyacanthus ENSAPOG00000014794
fundulus_heteroclitus ENSFHEG00000007754
seriola_lalandi_dorsalis ENSSLDG00000011866
lepidothrix_coronata ENSLCOG00000003005
gopherus_agassizii ENSGAGG00000003576
chelonoidis_abingdonii ENSCABG00000001817
seriola_lalandi_dorsalis ENSSLDG00000004875
