cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018249
cricetulus_griseus_crigri-picr ENSCGRG00015024750
cricetulus_griseus_crigri_1.0 ENSCGRG00000014928
mesocricetus_auratus ENSMAUG00000015368
microtus_ochrogaster ENSMOCG00000014775
peromyscus_maniculatus_bairdii ENSPEMG00000001711
rattus_norvegicus ENSRNOG00000048233
rattus_norvegicus ENSRNOG00000046526
mus_spicilegus ENSMSIG00000031759
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022627
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094928
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021715
meriones_unguiculatus ENSMUGG00000018237
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020705
urocitellus_parryii ENSUPAG00010017118
dasypus_novemcinctus ENSDNOG00000049043
