vulpes_vulpes ENSVVUG00000026042
canis_lupus_dingo ENSCAFG00020002821
ursus_americanus ENSUAMG00000001845
panthera_tigris_altaica ENSPTIG00000015265
panthera_pardus ENSPPRG00000006789
felis_catus ENSFCAG00000038234
sus_scrofa ENSSSCG00000032001
mandrillus_leucophaeus ENSMLEG00000017866
cercocebus_atys ENSCATG00000033500
macaca_mulatta ENSMMUG00000043069
macaca_nemestrina ENSMNEG00000039377
macaca_fascicularis ENSMFAG00000033128
papio_anubis ENSPANG00000035802
rhinopithecus_bieti ENSRBIG00000029363
colobus_angolensis_palliatus ENSCANG00000043099
pan_paniscus ENSPPAG00000040511
pan_troglodytes ENSPTRG00000043752
gorilla_gorilla ENSGGOG00000043105
saimiri_boliviensis_boliviensis ENSSBOG00000027471
cebus_capucinus_imitator ENSCCAG00000022896
aotus_nancymaae ENSANAG00000024923
peromyscus_maniculatus_bairdii ENSPEMG00000028250
phascolarctos_cinereus ENSPCIG00000036756
calidris_pugnax ENSCPUG00000007996
melopsittacus_undulatus ENSMUNG00000012165
anas_platyrhynchos_platyrhynchos ENSAPLG00000016650
coturnix_japonica ENSCJPG00005015804
lonchura_striata_domestica ENSLSDG00000014787
cyanistes_caeruleus ENSCCEG00000023098
lepidothrix_coronata ENSLCOG00000003137
apteryx_haastii ENSAHAG00000012085
apteryx_owenii ENSAOWG00000000700
dromaius_novaehollandiae ENSDNVG00000003145
nothoprocta_perdicaria ENSNPEG00000004568
chelonoidis_abingdonii ENSCABG00000008802
pogona_vitticeps ENSPVIG00000001063
