urocitellus_parryii ENSUPAG00010021706
spermophilus_dauricus ENSSDAG00000018779
ictidomys_tridecemlineatus ENSSTOG00000032687
marmota_marmota_marmota ENSMMMG00000014217
octodon_degus ENSODEG00000003889
chinchilla_lanigera ENSCLAG00000010913
cavia_porcellus ENSCPOG00000031348
cavia_aperea ENSCAPG00000017213
microcebus_murinus ENSMICG00000034234
propithecus_coquereli ENSPCOG00000015503
prolemur_simus ENSPSMG00000012045
equus_asinus_asinus ENSEASG00005004026
equus_caballus ENSECAG00000039066
bos_mutus ENSBMUG00000016158
bison_bison_bison ENSBBBG00000003222
capra_hircus ENSCHIG00000020316
ursus_americanus ENSUAMG00000007144
ursus_maritimus ENSUMAG00000012749
neovison_vison ENSNVIG00000023604
vulpes_vulpes ENSVVUG00000011703
canis_lupus_dingo ENSCAFG00020021229
panthera_pardus ENSPPRG00000000378
panthera_tigris_altaica ENSPTIG00000015167
felis_catus ENSFCAG00000032124
