macaca_nemestrina ENSMNEG00000000511
macaca_fascicularis ENSMFAG00000037540
papio_anubis ENSPANG00000018793
cercocebus_atys ENSCATG00000041494
mandrillus_leucophaeus ENSMLEG00000002853
theropithecus_gelada ENSTGEG00000012330
chlorocebus_sabaeus ENSCSAG00000002111
rhinopithecus_bieti ENSRBIG00000035752
rhinopithecus_roxellana ENSRROG00000034769
colobus_angolensis_palliatus ENSCANG00000040511
piliocolobus_tephrosceles ENSPTEG00000029293
gorilla_gorilla ENSGGOG00000001586
homo_sapiens ENSG00000178927
pongo_abelii ENSPPYG00000008780
nomascus_leucogenys ENSNLEG00000002286
saimiri_boliviensis_boliviensis ENSSBOG00000028740
callithrix_jacchus ENSCJAG00000017943
cebus_capucinus_imitator ENSCCAG00000027014
aotus_nancymaae ENSANAG00000029825
carlito_syrichta ENSTSYG00000034729
microcebus_murinus ENSMICG00000038561
prolemur_simus ENSPSMG00000003167
otolemur_garnettii ENSOGAG00000033853
equus_asinus_asinus ENSEASG00005005915
ursus_maritimus ENSUMAG00000017726
pan_troglodytes ENSPTRG00000009804
pan_paniscus ENSPPAG00000037586
macaca_mulatta ENSMMUG00000019222
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008112
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005561
fukomys_damarensis ENSFDAG00000004331
chinchilla_lanigera ENSCLAG00000005191
octodon_degus ENSODEG00000008201
cavia_porcellus ENSCPOG00000037808
spermophilus_dauricus ENSSDAG00000002177
spermophilus_dauricus ENSSDAG00000002191
urocitellus_parryii ENSUPAG00010017062
marmota_marmota_marmota ENSMMMG00000003130
ictidomys_tridecemlineatus ENSSTOG00000026147
jaculus_jaculus ENSJJAG00000011450
jaculus_jaculus ENSJJAG00000003089
castor_canadensis ENSCCNG00000010415
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039294
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017559
mus_spicilegus ENSMSIG00000011664
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018403
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018686
rattus_norvegicus ENSRNOG00000036666
meriones_unguiculatus ENSMUGG00000018979
peromyscus_maniculatus_bairdii ENSPEMG00000000898
microtus_ochrogaster ENSMOCG00000021991
cricetulus_griseus_crigri_1.0 ENSCGRG00000017240
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019641
cricetulus_griseus_crigri-picr ENSCGRG00015024304
mesocricetus_auratus ENSMAUG00000001824
dipodomys_ordii ENSDORG00000024907
jaculus_jaculus ENSJJAG00000010158
nannospalax_galili ENSNGAG00000021384
cavia_aperea ENSCAPG00000014155
oryctolagus_cuniculus ENSOCUG00000026027
propithecus_coquereli ENSPCOG00000023512
bos_mutus ENSBMUG00000015779
bos_taurus ENSBTAG00000018176
bison_bison_bison ENSBBBG00000001112
capra_hircus ENSCHIG00000005493
ovis_aries ENSOARG00000016516
sus_scrofa ENSSSCG00000017127
ailuropoda_melanoleuca ENSAMEG00000001207
ursus_americanus ENSUAMG00000000466
neovison_vison ENSNVIG00000023622
mustela_putorius_furo ENSMPUG00000011020
canis_lupus_dingo ENSCAFG00020013669
canis_lupus_familiaris ENSCAFG00000012962
vulpes_vulpes ENSVVUG00000005400
panthera_tigris_altaica ENSPTIG00000015430
panthera_pardus ENSPPRG00000005401
felis_catus ENSFCAG00000038788
equus_caballus ENSECAG00000016280
dasypus_novemcinctus ENSDNOG00000046108
loxodonta_africana ENSLAFG00000028699
phascolarctos_cinereus ENSPCIG00000016183
sarcophilus_harrisii ENSSHAG00000004016
monodelphis_domestica ENSMODG00000007122
ornithorhynchus_anatinus ENSOANG00000005216
chelonoidis_abingdonii ENSCABG00000008503
gopherus_agassizii ENSGAGG00000001318
chrysemys_picta_bellii ENSCPBG00000027934
pelodiscus_sinensis ENSPSIG00000010251
parus_major ENSPMJG00000008408
cyanistes_caeruleus ENSCCEG00000011050
taeniopygia_guttata ENSTGUG00000007675
lonchura_striata_domestica ENSLSDG00000006040
serinus_canaria ENSSCAG00000003370
junco_hyemalis ENSJHYG00000011753
zonotrichia_albicollis ENSZALG00000008791
ficedula_albicollis ENSFALG00000000791
lepidothrix_coronata ENSLCOG00000003487
manacus_vitellinus ENSMVIG00005019012
melopsittacus_undulatus ENSMUNG00000010358
calidris_pugnax ENSCPUG00000004099
calidris_pygmaea ENSCPGG00000010330
anser_brachyrhynchus ENSABRG00000019306
anas_platyrhynchos_platyrhynchos ENSAPLG00000008407
gallus_gallus ENSGALG00000001607
meleagris_gallopavo ENSMGAG00000003785
coturnix_japonica ENSCJPG00005020610
numida_meleagris ENSNMEG00000015807
dromaius_novaehollandiae ENSDNVG00000005782
nothoprocta_perdicaria ENSNPEG00000014271
apteryx_owenii ENSAOWG00000015911
apteryx_rowi ENSARWG00000010185
apteryx_haastii ENSAHAG00000008252
crocodylus_porosus ENSCPRG00005007423
anolis_carolinensis ENSACAG00000016885
pogona_vitticeps ENSPVIG00000019874
notechis_scutatus ENSNSUG00000015897
salvator_merianae ENSSMRG00000023129
sphenodon_punctatus ENSSPUG00000007237
xenopus_tropicalis ENSXETG00000012235
latimeria_chalumnae ENSLACG00000013019
astyanax_mexicanus ENSAMXG00000040081
pygocentrus_nattereri ENSPNAG00000001175
ictalurus_punctatus ENSIPUG00000009877
danio_rerio ENSDARG00000071414
seriola_lalandi_dorsalis ENSSLDG00000019176
seriola_dumerili ENSSDUG00000009309
cynoglossus_semilaevis ENSCSEG00000000320
xiphophorus_couchianus ENSXCOG00000002605
xiphophorus_maculatus ENSXMAG00000012738
gambusia_affinis ENSGAFG00000001514
poecilia_formosa ENSPFOG00000018276
poecilia_formosa ENSPFOG00000001849
poecilia_mexicana ENSPMEG00000005216
poecilia_latipinna ENSPLAG00000023758
poecilia_reticulata ENSPREG00000001092
cyprinodon_variegatus ENSCVAG00000010760
fundulus_heteroclitus ENSFHEG00000017367
