ictalurus_punctatus ENSIPUG00000008530
danio_rerio ENSDARG00000103980
amphiprion_ocellaris ENSAOCG00000013805
amphiprion_percula ENSAPEG00000010704
acanthochromis_polyacanthus ENSAPOG00000019547
acanthochromis_polyacanthus ENSAPOG00000019518
haplochromis_burtoni ENSHBUG00000011504
pundamilia_nyererei ENSPNYG00000004788
astatotilapia_calliptera ENSACLG00000007262
maylandia_zebra ENSMZEG00005009116
neolamprologus_brichardi ENSNBRG00000017469
oreochromis_niloticus ENSONIG00000015717
amphilophus_citrinellus ENSACIG00000016611
poecilia_mexicana ENSPMEG00000005648
poecilia_latipinna ENSPLAG00000017998
poecilia_reticulata ENSPREG00000004252
gambusia_affinis ENSGAFG00000019280
xiphophorus_couchianus ENSXCOG00000003699
xiphophorus_maculatus ENSXMAG00000007724
fundulus_heteroclitus ENSFHEG00000022597
cyprinodon_variegatus ENSCVAG00000001651
kryptolebias_marmoratus ENSKMAG00000005741
oryzias_latipes_asm223469v1 ENSORLG00015011881
oryzias_latipes_asm223471v1 ENSORLG00020011100
oryzias_melastigma ENSOMEG00000005134
gasterosteus_aculeatus ENSGACG00000000840
labrus_bergylta ENSLBEG00000020079
mola_mola ENSMMOG00000020380
tetraodon_nigroviridis ENSTNIG00000005401
seriola_dumerili ENSSDUG00000003715
seriola_lalandi_dorsalis ENSSLDG00000012988
anabas_testudineus ENSATEG00000001728
cynoglossus_semilaevis ENSCSEG00000014401
oryzias_latipes_asm223467v1 ENSORLG00000028709
periophthalmus_magnuspinnatus ENSPMGG00000004384
gadus_morhua ENSGMOG00000007489
esox_lucius ENSELUG00000010094
pygocentrus_nattereri ENSPNAG00000016666
latimeria_chalumnae ENSLACG00000013416
petromyzon_marinus ENSPMAG00000001439
