kryptolebias_marmoratus ENSKMAG00000010817
fundulus_heteroclitus ENSFHEG00000018982
oryzias_melastigma ENSOMEG00000007013
oryzias_melastigma ENSOMEG00000009225
oryzias_latipes_asm223467v1 ENSORLG00000024515
oryzias_latipes_asm223469v1 ENSORLG00015019888
stegastes_partitus ENSSPAG00000006845
stegastes_partitus ENSSPAG00000020892
amphiprion_percula ENSAPEG00000002100
amphiprion_percula ENSAPEG00000018659
amphiprion_ocellaris ENSAOCG00000009523
amphiprion_percula ENSAPEG00000020531
acanthochromis_polyacanthus ENSAPOG00000010495
mola_mola ENSMMOG00000019282
amphilophus_citrinellus ENSACIG00000023302
amphilophus_citrinellus ENSACIG00000023353
mastacembelus_armatus ENSMAMG00000023764
mastacembelus_armatus ENSMAMG00000000446
mastacembelus_armatus ENSMAMG00000013792
mastacembelus_armatus ENSMAMG00000006888
periophthalmus_magnuspinnatus ENSPMGG00000022891
paramormyrops_kingsleyae ENSPKIG00000022683
